카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2021년02월_계_총인구수,"94,318","6,987","11,938","5,125","3,084","27,497","25,411","8,825","5,451"
2021년02월_계_연령구간인구수,"94,318","6,987","11,938","5,125","3,084","27,497","25,411","8,825","5,451"
2021년02월_계_0~9세,"6,182",481,757,141,144,"1,897","2,103",404,255
2021년02월_계_10~19세,"8,534",582,"1,199",206,204,"2,610","2,942",506,285
2021년02월_계_20~29세,"11,272",756,"1,344",498,330,"3,502","3,327",918,597
2021년02월_계_30~39세,"10,103",763,"1,183",432,286,"2,984","3,043",786,626
2021년02월_계_40~49세,"14,269",950,"1,894",584,385,"4,140","4,502","1,167",647
2021년02월_계_50~59세,"16,518","1,253","2,025","1,044",579,"4,948","4,069","1,597","1,003"
2021년02월_계_60~69세,"13,446","1,129","1,661","1,087",544,"3,795","2,574","1,665",991
2021년02월_계_70~79세,"8,790",656,"1,161",653,392,"2,316","1,859","1,112",641
2021년02월_계_80~89세,"4,493",375,641,373,191,"1,147",862,569,335
2021년02월_계_90~99세,625,38,66,82,27,146,125,79,62
2021년02월_계_100세 이상,86,4,7,25,2,12,5,22,9
2021년02월_남_총인구수,"47,005","3,472","5,873","2,670","1,462","13,571","12,506","4,569","2,882"
2021년02월_남_연령구간인구수,"47,005","3,472","5,873","2,670","1,462","13,571","12,506","4,569","2,882"
2021년02월_남_0~9세,"3,187",257,402,78,65,963,"1,076",201,145
2021년02월_남_10~19세,"4,306",278,614,108,94,"1,312","1,492",271,137
2021년02월_남_20~29세,"6,132",421,753,281,196,"1,863","1,745",534,339
2021년02월_남_30~39세,"5,223",388,585,247,150,"1,527","1,536",422,368
2021년02월_남_40~49세,"7,380",503,966,347,197,"2,066","2,256",671,374
2021년02월_남_50~59세,"8,672",646,"1,057",602,282,"2,530","2,116",870,569
2021년02월_남_60~69세,"6,584",556,773,579,272,"1,874","1,165",840,525
2021년02월_남_70~79세,"3,668",269,455,279,141,969,744,524,287
2021년02월_남_80~89세,"1,657",141,251,114,58,422,345,208,118
2021년02월_남_90~99세,174,12,15,29,7,41,29,24,17
2021년02월_남_100세 이상,22,1,2,6,0,4,2,4,3
2021년02월_여_총인구수,"47,313","3,515","6,065","2,455","1,622","13,926","12,905","4,256","2,569"
2021년02월_여_연령구간인구수,"47,313","3,515","6,065","2,455","1,622","13,926","12,905","4,256","2,569"
2021년02월_여_0~9세,"2,995",224,355,63,79,934,"1,027",203,110
2021년02월_여_10~19세,"4,228",304,585,98,110,"1,298","1,450",235,148
2021년02월_여_20~29세,"5,140",335,591,217,134,"1,639","1,582",384,258
2021년02월_여_30~39세,"4,880",375,598,185,136,"1,457","1,507",364,258
2021년02월_여_40~49세,"6,889",447,928,237,188,"2,074","2,246",496,273
2021년02월_여_50~59세,"7,846",607,968,442,297,"2,418","1,953",727,434
2021년02월_여_60~69세,"6,862",573,888,508,272,"1,921","1,409",825,466
2021년02월_여_70~79세,"5,122",387,706,374,251,"1,347","1,115",588,354
2021년02월_여_80~89세,"2,836",234,390,259,133,725,517,361,217
2021년02월_여_90~99세,451,26,51,53,20,105,96,55,45
2021년02월_여_100세 이상,64,3,5,19,2,8,3,18,6
