카테고리,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2021년12월_계_총인구수,"848,482","193,827","2,236","4,898","3,859","6,852","3,891","6,925","6,834","8,591","10,548","31,021","13,402","54,832","39,938","192,899","10,073","3,230","6,515","13,728","14,622","15,644","26,382","30,172","13,247","15,920","43,366","267,429","24,178","10,742","17,932","16,746","50,588","15,840","55,569","9,666","24,028","28,535","13,605","194,327","19,127","70,536","4,534","12,332","8,474","13,379","47,655","18,290"
2021년12월_계_연령구간인구수,"848,482","193,827","2,236","4,898","3,859","6,852","3,891","6,925","6,834","8,591","10,548","31,021","13,402","54,832","39,938","192,899","10,073","3,230","6,515","13,728","14,622","15,644","26,382","30,172","13,247","15,920","43,366","267,429","24,178","10,742","17,932","16,746","50,588","15,840","55,569","9,666","24,028","28,535","13,605","194,327","19,127","70,536","4,534","12,332","8,474","13,379","47,655","18,290"
2021년12월_계_0~9세,"71,136","15,904",50,102,84,390,80,370,237,374,568,"2,496","1,467","5,353","4,333","12,811",628,74,260,"1,305",596,708,"2,227","2,337",493,886,"3,297","23,434","2,169",644,"2,240",815,"5,519",584,"4,896",441,"1,596","1,981","2,549","18,987","1,362","9,693",79,491,301,819,"4,013","2,229"
2021년12월_계_10~19세,"84,739","19,650",52,175,114,444,180,520,358,649,850,"3,712","1,966","6,314","4,316","19,409",618,110,417,"1,364",921,"1,038","3,836","3,904",903,"1,359","4,939","26,297","2,400","1,018","1,280","1,399","6,408","1,029","6,754",555,"2,216","2,227","1,011","19,383","1,797","7,639",152,741,532,"1,058","5,041","2,423"
2021년12월_계_20~29세,"118,755","24,415",155,299,296,690,283,"1,052",962,982,"1,249","4,072","1,463","7,514","5,398","28,114","1,068",182,793,"1,529","3,442","2,498","3,681","4,344","1,973","1,961","6,643","40,499","3,330","1,395","1,817","2,442","7,129","3,278","7,635","2,045","4,217","5,332","1,879","25,727","2,216","8,844",325,"2,112","1,053","2,034","7,267","1,876"
2021년12월_계_30~39세,"117,775","23,399",123,288,205,676,211,859,684,753,"1,144","3,402","1,514","7,554","5,986","22,254","1,103",197,643,"1,798","1,960","1,768","3,054","3,243","1,321","1,723","5,444","41,340","3,987","1,085","3,420","1,836","8,254","1,894","7,122","1,620","3,954","4,693","3,475","30,782","1,928","15,105",296,"1,486",784,"1,621","6,783","2,779"
2021년12월_계_40~49세,"135,963","30,482",170,380,351,781,354,917,786,"1,151","1,492","5,393","2,498","9,469","6,740","29,693","1,198",305,846,"2,031","1,795","1,993","4,974","5,347","1,656","2,065","7,483","43,211","4,186","1,546","2,644","2,319","9,897","1,962","9,301","1,288","3,788","4,257","2,023","32,577","2,977","13,153",398,"1,474","1,118","1,977","7,871","3,609"
2021년12월_계_50~59세,"137,868","33,421",434,831,825,"1,301",736,"1,096","1,158","1,567","1,890","5,272","2,151","9,319","6,841","33,740","2,076",564,"1,292","2,183","2,076","2,730","4,609","5,588","2,375","3,108","7,139","42,996","3,325","2,019","2,680","3,357","7,357","2,794","10,162","1,531","3,966","4,546","1,259","27,711","3,541","7,550",841,"2,003","1,494","2,218","7,749","2,315"
2021년12월_계_60~69세,"105,609","26,351",635,"1,379",991,"1,403",904,"1,031","1,331","1,549","1,843","3,823","1,343","5,992","4,127","27,020","1,948",802,"1,239","2,093","2,071","2,845","2,398","3,122","2,456","2,776","5,270","30,094","2,637","1,668","2,215","2,738","3,815","2,509","6,389","1,305","2,725","3,278",815,"22,144","2,889","5,083","1,191","2,031","1,653","1,947","5,599","1,751"
2021년12월_계_70~79세,"47,969","12,455",323,796,567,622,600,641,788,990,"1,005","1,895",652,"2,146","1,430","12,532",843,530,633,879,"1,198","1,326","1,034","1,377","1,335","1,284","2,093","12,507","1,337",824,"1,002","1,155","1,440","1,232","2,186",608,"1,019","1,377",327,"10,475","1,426","2,145",680,"1,227",984,"1,107","2,118",788
