카테고리,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2020년01월_계_총인구수,"166,815","9,383","30,486","5,559","9,640","2,467","3,731","3,592","5,191","5,250","16,159","12,121","23,914","20,627","18,695"
2020년01월_계_연령구간인구수,"166,815","9,383","30,486","5,559","9,640","2,467","3,731","3,592","5,191","5,250","16,159","12,121","23,914","20,627","18,695"
2020년01월_계_0~9세,"16,527",373,"4,211",202,479,61,108,118,197,213,"1,646","1,318","2,664","2,553","2,384"
2020년01월_계_10~19세,"15,768",599,"2,518",299,505,102,199,184,329,376,"1,834","1,013","2,474","2,521","2,815"
2020년01월_계_20~29세,"16,625",769,"2,551",409,979,152,320,288,402,402,"1,513","1,119","3,402","2,188","2,131"
2020년01월_계_30~39세,"23,913",789,"5,899",346,"1,175",135,235,234,312,355,"1,907","2,144","4,429","3,161","2,792"
2020년01월_계_40~49세,"26,418","1,158","5,250",584,"1,321",225,341,376,568,597,"2,608","2,000","4,040","3,675","3,675"
2020년01월_계_50~59세,"25,929","1,666","4,325","1,009","1,941",386,665,699,"1,002",933,"2,572","1,795","3,280","3,025","2,631"
2020년01월_계_60~69세,"19,853","1,830","3,039","1,151","1,550",597,798,736,"1,015","1,009","1,947","1,266","1,940","1,832","1,143"
2020년01월_계_70~79세,"12,877","1,286","1,626",839,"1,011",474,599,530,757,793,"1,278",856,"1,117","1,028",683
2020년01월_계_80~89세,"7,805",792,941,632,600,301,404,370,523,502,751,540,504,563,382
2020년01월_계_90~99세,"1,035",106,119,85,74,31,61,55,81,69,95,68,63,71,57
2020년01월_계_100세 이상,65,15,7,3,5,3,1,2,5,1,8,2,1,10,2
2020년01월_남_총인구수,"88,199","4,956","16,833","2,828","5,518","1,237","1,889","1,843","2,640","2,640","8,239","6,850","12,625","10,507","9,594"
2020년01월_남_연령구간인구수,"88,199","4,956","16,833","2,828","5,518","1,237","1,889","1,843","2,640","2,640","8,239","6,850","12,625","10,507","9,594"
2020년01월_남_0~9세,"8,448",207,"2,188",106,256,34,51,60,104,102,815,650,"1,345","1,304","1,226"
2020년01월_남_10~19세,"8,252",332,"1,344",145,267,57,99,95,176,214,942,515,"1,257","1,318","1,491"
2020년01월_남_20~29세,"9,635",462,"1,425",244,634,89,191,178,231,225,875,705,"1,958","1,215","1,203"
2020년01월_남_30~39세,"13,518",477,"3,340",198,794,87,127,142,184,207,989,"1,358","2,553","1,636","1,426"
2020년01월_남_40~49세,"14,833",705,"3,225",337,879,137,195,231,331,337,"1,401","1,258","2,136","1,872","1,789"
2020년01월_남_50~59세,"14,440",940,"2,555",577,"1,163",194,366,366,556,511,"1,402","1,076","1,718","1,576","1,440"
2020년01월_남_60~69세,"10,001",895,"1,608",570,802,298,407,363,493,498,943,684,968,911,561
2020년01월_남_70~79세,"6,009",601,798,398,477,235,284,262,361,337,586,390,491,474,315
2020년01월_남_80~89세,"2,793",309,314,231,223,99,160,125,182,188,262,198,184,186,132
2020년01월_남_90~99세,257,27,36,22,21,6,9,19,21,20,22,16,15,13,10
2020년01월_남_100세 이상,13,1,0,0,2,1,0,2,1,1,2,0,0,2,1
2020년01월_여_총인구수,"78,616","4,427","13,653","2,731","4,122","1,230","1,842","1,749","2,551","2,610","7,920","5,271","11,289","10,120","9,101"
2020년01월_여_연령구간인구수,"78,616","4,427","13,653","2,731","4,122","1,230","1,842","1,749","2,551","2,610","7,920","5,271","11,289","10,120","9,101"
2020년01월_여_0~9세,"8,079",166,"2,023",96,223,27,57,58,93,111,831,668,"1,319","1,249","1,158"
2020년01월_여_10~19세,"7,516",267,"1,174",154,238,45,100,89,153,162,892,498,"1,217","1,203","1,324"
2020년01월_여_20~29세,"6,990",307,"1,126",165,345,63,129,110,171,177,638,414,"1,444",973,928
2020년01월_여_30~39세,"10,395",312,"2,559",148,381,48,108,92,128,148,918,786,"1,876","1,525","1,366"
2020년01월_여_40~49세,"11,585",453,"2,025",247,442,88,146,145,237,260,"1,207",742,"1,904","1,803","1,886"
2020년01월_여_50~59세,"11,489",726,"1,770",432,778,192,299,333,446,422,"1,170",719,"1,562","1,449","1,191"
2020년01월_여_60~69세,"9,852",935,"1,431",581,748,299,391,373,522,511,"1,004",582,972,921,582
2020년01월_여_70~79세,"6,868",685,828,441,534,239,315,268,396,456,692,466,626,554,368
2020년01월_여_80~89세,"5,012",483,627,401,377,202,244,245,341,314,489,342,320,377,250
2020년01월_여_90~99세,778,79,83,63,53,25,52,36,60,49,73,52,48,58,47
2020년01월_여_100세 이상,52,14,7,3,3,2,1,0,4,0,6,2,1,8,1
