카테고리,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2020년02월_계_총인구수,"31,385","10,170","2,191","2,286","3,596","1,562","1,965","2,385","2,795","2,230","2,205"
2020년02월_계_연령구간인구수,"31,385","10,170","2,191","2,286","3,596","1,562","1,965","2,385","2,795","2,230","2,205"
2020년02월_계_0~9세,"1,350",692,55,82,158,30,48,81,86,66,52
2020년02월_계_10~19세,"2,127","1,004",98,93,278,81,118,125,106,113,111
2020년02월_계_20~29세,"2,839","1,349",166,162,335,113,124,130,197,125,138
2020년02월_계_30~39세,"2,199",948,112,121,282,81,105,133,152,123,142
2020년02월_계_40~49세,"3,285","1,302",191,224,419,140,194,227,231,175,182
2020년02월_계_50~59세,"5,461","1,697",388,443,630,310,319,375,499,387,413
2020년02월_계_60~69세,"5,902","1,494",439,494,632,324,427,526,575,502,489
2020년02월_계_70~79세,"4,512",948,391,354,497,247,346,455,511,394,369
2020년02월_계_80~89세,"3,271",632,320,282,321,210,241,294,392,308,271
2020년02월_계_90~99세,419,97,31,31,42,25,41,36,46,36,34
2020년02월_계_100세 이상,20,7,0,0,2,1,2,3,0,1,4
2020년02월_남_총인구수,"15,853","5,088","1,092","1,195","1,858",808,"1,005","1,194","1,397","1,124","1,092"
2020년02월_남_연령구간인구수,"15,853","5,088","1,092","1,195","1,858",808,"1,005","1,194","1,397","1,124","1,092"
2020년02월_남_0~9세,695,358,29,39,86,20,18,41,42,36,26
2020년02월_남_10~19세,"1,116",509,58,56,147,46,62,64,60,50,64
2020년02월_남_20~29세,"1,617",749,91,90,213,64,78,60,112,80,80
2020년02월_남_30~39세,"1,249",486,70,76,165,47,65,85,94,75,86
2020년02월_남_40~49세,"1,920",693,108,141,234,88,126,152,149,115,114
2020년02월_남_50~59세,"2,963",890,208,255,345,172,180,207,277,206,223
2020년02월_남_60~69세,"3,011",724,242,271,325,176,223,262,292,246,250
2020년02월_남_70~79세,"1,996",431,172,153,211,112,157,196,225,185,154
2020년02월_남_80~89세,"1,177",224,108,105,113,79,85,119,137,119,88
2020년02월_남_90~99세,106,21,6,9,19,4,11,8,9,12,7
2020년02월_남_100세 이상,3,3,0,0,0,0,0,0,0,0,0
2020년02월_여_총인구수,"15,532","5,082","1,099","1,091","1,738",754,960,"1,191","1,398","1,106","1,113"
2020년02월_여_연령구간인구수,"15,532","5,082","1,099","1,091","1,738",754,960,"1,191","1,398","1,106","1,113"
2020년02월_여_0~9세,655,334,26,43,72,10,30,40,44,30,26
2020년02월_여_10~19세,"1,011",495,40,37,131,35,56,61,46,63,47
2020년02월_여_20~29세,"1,222",600,75,72,122,49,46,70,85,45,58
2020년02월_여_30~39세,950,462,42,45,117,34,40,48,58,48,56
2020년02월_여_40~49세,"1,365",609,83,83,185,52,68,75,82,60,68
2020년02월_여_50~59세,"2,498",807,180,188,285,138,139,168,222,181,190
2020년02월_여_60~69세,"2,891",770,197,223,307,148,204,264,283,256,239
2020년02월_여_70~79세,"2,516",517,219,201,286,135,189,259,286,209,215
2020년02월_여_80~89세,"2,094",408,212,177,208,131,156,175,255,189,183
2020년02월_여_90~99세,313,76,25,22,23,21,30,28,37,24,27
2020년02월_여_100세 이상,17,4,0,0,2,1,2,3,0,1,4
