카테고리,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2020년11월_계_총인구수,"43,033","13,233","3,771","1,614","3,904","2,349","3,533","2,634","3,538","2,875","5,582"
2020년11월_계_연령구간인구수,"43,033","13,233","3,771","1,614","3,904","2,349","3,533","2,634","3,538","2,875","5,582"
2020년11월_계_0~9세,"1,587",865,78,35,123,89,65,50,100,47,135
2020년11월_계_10~19세,"2,984","1,445",233,94,177,175,206,92,174,114,274
2020년11월_계_20~29세,"3,301","1,541",233,107,203,191,193,131,224,161,317
2020년11월_계_30~39세,"2,480","1,147",163,74,202,130,154,99,162,113,236
2020년11월_계_40~49세,"4,617","1,951",339,137,377,259,316,226,311,207,494
2020년11월_계_50~59세,"7,376","2,226",633,312,670,478,577,431,579,474,996
2020년11월_계_60~69세,"8,277","1,947",776,319,844,497,714,542,700,675,"1,263"
2020년11월_계_70~79세,"6,703","1,225",697,272,702,323,700,525,646,546,"1,067"
2020년11월_계_80~89세,"4,865",759,534,230,506,171,523,468,530,442,702
2020년11월_계_90~99세,826,126,84,34,98,35,80,69,110,93,97
2020년11월_계_100세 이상,17,1,1,0,2,1,5,1,2,3,1
2020년11월_남_총인구수,"20,757","6,475","1,818",791,"1,877","1,213","1,665","1,260","1,650","1,361","2,647"
2020년11월_남_연령구간인구수,"20,757","6,475","1,818",791,"1,877","1,213","1,665","1,260","1,650","1,361","2,647"
2020년11월_남_0~9세,837,438,38,22,70,43,38,27,54,28,79
2020년11월_남_10~19세,"1,599",752,147,48,102,88,101,54,105,55,147
2020년11월_남_20~29세,"2,033",932,148,68,122,134,123,94,114,106,192
2020년11월_남_30~39세,"1,290",565,86,41,108,69,88,57,87,59,130
2020년11월_남_40~49세,"2,489",930,186,78,215,147,184,141,189,117,302
2020년11월_남_50~59세,"3,921","1,127",360,175,370,257,317,248,300,253,514
2020년11월_남_60~69세,"4,047",931,371,158,414,254,337,268,338,345,631
2020년11월_남_70~79세,"2,924",539,299,117,312,160,317,223,281,241,435
2020년11월_남_80~89세,"1,468",244,160,79,148,56,142,139,156,141,203
2020년11월_남_90~99세,147,17,22,5,15,5,18,9,26,16,14
2020년11월_남_100세 이상,2,0,1,0,1,0,0,0,0,0,0
2020년11월_여_총인구수,"22,276","6,758","1,953",823,"2,027","1,136","1,868","1,374","1,888","1,514","2,935"
2020년11월_여_연령구간인구수,"22,276","6,758","1,953",823,"2,027","1,136","1,868","1,374","1,888","1,514","2,935"
2020년11월_여_0~9세,750,427,40,13,53,46,27,23,46,19,56
2020년11월_여_10~19세,"1,385",693,86,46,75,87,105,38,69,59,127
2020년11월_여_20~29세,"1,268",609,85,39,81,57,70,37,110,55,125
2020년11월_여_30~39세,"1,190",582,77,33,94,61,66,42,75,54,106
2020년11월_여_40~49세,"2,128","1,021",153,59,162,112,132,85,122,90,192
2020년11월_여_50~59세,"3,455","1,099",273,137,300,221,260,183,279,221,482
2020년11월_여_60~69세,"4,230","1,016",405,161,430,243,377,274,362,330,632
2020년11월_여_70~79세,"3,779",686,398,155,390,163,383,302,365,305,632
2020년11월_여_80~89세,"3,397",515,374,151,358,115,381,329,374,301,499
2020년11월_여_90~99세,679,109,62,29,83,30,62,60,84,77,83
2020년11월_여_100세 이상,15,1,0,0,1,1,5,1,2,3,1
