,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2020년08월_계_총인구수,"215,701","7,420","7,138","9,258","14,233","29,414","5,501","7,708","8,966","6,654","12,673","6,204","19,741","8,478","46,612","19,873","5,828"
2020년08월_계_연령구간인구수,"215,701","7,420","7,138","9,258","14,233","29,414","5,501","7,708","8,966","6,654","12,673","6,204","19,741","8,478","46,612","19,873","5,828"
2020년08월_계_0~9세,"17,645",533,568,518,922,"2,962",296,406,377,258,"1,077",421,"1,430",512,"4,029","3,012",324
2020년08월_계_10~19세,"22,988",752,688,776,"1,401","4,945",294,442,623,370,"1,170",412,"2,070",628,"6,039","2,020",358
2020년08월_계_20~29세,"28,162",849,894,"1,270","2,008","3,452",670,897,"1,238",974,"1,539",940,"2,807","1,160","6,621","2,328",515
2020년08월_계_30~39세,"26,107",713,906,947,"1,628","2,972",673,854,"1,098",749,"1,598",866,"2,302",939,"5,561","3,830",471
2020년08월_계_40~49세,"34,243","1,107","1,149","1,275","2,237","5,620",758,"1,026","1,224",850,"1,924",850,"3,098","1,165","7,875","3,357",728
2020년08월_계_50~59세,"33,251","1,158","1,025","1,536","2,263","4,356",919,"1,271","1,563","1,250","1,929",901,"3,329","1,479","6,850","2,481",941
2020년08월_계_60~69세,"27,721","1,033",932,"1,399","1,919","2,900",858,"1,223","1,504","1,203","1,806",888,"2,618","1,388","5,225","1,734","1,091"
2020년08월_계_70~79세,"17,238",865,689,"1,027","1,167","1,412",713,"1,094",939,706,"1,094",641,"1,485",862,"3,015",720,809
2020년08월_계_80~89세,"7,153",345,250,434,588,673,276,420,352,255,462,245,524,298,"1,207",317,507
2020년08월_계_90~99세,"1,096",57,30,67,97,118,30,69,46,34,72,31,73,42,181,71,78
2020년08월_계_100세 이상,97,8,7,9,3,4,14,6,2,5,2,9,5,5,9,3,6
2020년08월_남_총인구수,"103,846","3,398","3,421","4,370","6,709","13,792","2,813","3,946","4,581","3,330","5,993","3,057","9,613","4,239","22,062","9,649","2,873"
2020년08월_남_연령구간인구수,"103,846","3,398","3,421","4,370","6,709","13,792","2,813","3,946","4,581","3,330","5,993","3,057","9,613","4,239","22,062","9,649","2,873"
2020년08월_남_0~9세,"9,017",274,299,265,492,"1,445",138,199,198,126,553,222,742,261,"2,055","1,576",172
2020년08월_남_10~19세,"11,557",365,336,399,712,"2,529",164,236,335,195,569,199,"1,070",328,"2,930","1,018",172
2020년08월_남_20~29세,"14,498",429,470,649,"1,034","1,769",350,508,665,528,789,441,"1,459",629,"3,303","1,177",298
2020년08월_남_30~39세,"12,948",340,444,491,800,"1,318",369,471,625,422,789,449,"1,165",514,"2,634","1,864",253
2020년08월_남_40~49세,"16,853",542,571,633,"1,073","2,529",443,611,697,481,927,491,"1,509",589,"3,697","1,642",418
2020년08월_남_50~59세,"15,721",519,493,707,"1,028","2,010",496,680,780,589,897,436,"1,569",701,"3,164","1,154",498
2020년08월_남_60~69세,"12,686",423,403,602,864,"1,318",408,579,700,572,796,403,"1,224",669,"2,385",785,555
2020년08월_남_70~79세,"7,711",357,299,452,487,609,320,493,444,323,471,300,666,415,"1,393",334,348
2020년08월_남_80~89세,"2,596",127,95,159,197,239,115,154,124,87,182,103,200,119,455,91,149
2020년08월_남_90~99세,247,21,9,13,21,25,7,15,13,6,20,11,9,14,46,8,9
2020년08월_남_100세 이상,12,1,2,0,1,1,3,0,0,1,0,2,0,0,0,0,1
2020년08월_여_총인구수,"111,855","4,022","3,717","4,888","7,524","15,622","2,688","3,762","4,385","3,324","6,680","3,147","10,128","4,239","24,550","10,224","2,955"
2020년08월_여_연령구간인구수,"111,855","4,022","3,717","4,888","7,524","15,622","2,688","3,762","4,385","3,324","6,680","3,147","10,128","4,239","24,550","10,224","2,955"
2020년08월_여_0~9세,"8,628",259,269,253,430,"1,517",158,207,179,132,524,199,688,251,"1,974","1,436",152
2020년08월_여_10~19세,"11,431",387,352,377,689,"2,416",130,206,288,175,601,213,"1,000",300,"3,109","1,002",186
2020년08월_여_20~29세,"13,664",420,424,621,974,"1,683",320,389,573,446,750,499,"1,348",531,"3,318","1,151",217
2020년08월_여_30~39세,"13,159",373,462,456,828,"1,654",304,383,473,327,809,417,"1,137",425,"2,927","1,966",218
2020년08월_여_40~49세,"17,390",565,578,642,"1,164","3,091",315,415,527,369,997,359,"1,589",576,"4,178","1,715",310
2020년08월_여_50~59세,"17,530",639,532,829,"1,235","2,346",423,591,783,661,"1,032",465,"1,760",778,"3,686","1,327",443
2020년08월_여_60~69세,"15,035",610,529,797,"1,055","1,582",450,644,804,631,"1,010",485,"1,394",719,"2,840",949,536
2020년08월_여_70~79세,"9,527",508,390,575,680,803,393,601,495,383,623,341,819,447,"1,622",386,461
2020년08월_여_80~89세,"4,557",218,155,275,391,434,161,266,228,168,280,142,324,179,752,226,358
2020년08월_여_90~99세,849,36,21,54,76,93,23,54,33,28,52,20,64,28,135,63,69
2020년08월_여_100세 이상,85,7,5,9,2,3,11,6,2,4,2,7,5,5,9,3,5
