카테고리,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2020년11월_계_총인구수,"158,803","6,401","4,116","3,038","3,580","6,636","2,790","1,797","2,117","2,887","2,724","1,755","1,879","1,634","1,772","5,073","5,068","22,279","9,194","13,397","6,379","6,309","21,909","15,687","10,382"
2020년11월_계_연령구간인구수,"158,803","6,401","4,116","3,038","3,580","6,636","2,790","1,797","2,117","2,887","2,724","1,755","1,879","1,634","1,772","5,073","5,068","22,279","9,194","13,397","6,379","6,309","21,909","15,687","10,382"
2020년11월_계_0~9세,"10,695",189,99,66,87,403,48,33,54,59,45,30,44,26,32,241,308,"1,919",653,936,397,350,"2,060","1,505","1,111"
2020년11월_계_10~19세,"13,779",285,205,88,145,362,127,65,81,115,76,50,53,48,72,339,418,"2,358",889,959,543,595,"2,641","1,712","1,553"
2020년11월_계_20~29세,"16,704",455,310,154,311,901,148,83,162,188,131,80,85,68,66,524,538,"2,985",839,"1,455",648,688,"2,747","1,881","1,257"
2020년11월_계_30~39세,"15,469",376,203,165,214,980,116,80,137,151,123,60,79,62,74,493,440,"2,552",833,"1,572",603,562,"2,493","1,982","1,119"
2020년11월_계_40~49세,"22,359",578,347,326,365,775,250,164,173,278,181,150,118,122,135,633,717,"3,567","1,403","1,864",911,893,"3,804","2,540","2,065"
2020년11월_계_50~59세,"26,525","1,116",696,547,611,939,449,291,438,525,515,312,383,284,297,845,951,"3,519","1,461","2,261","1,045","1,190","3,603","2,692","1,555"
2020년11월_계_60~69세,"25,514","1,406",888,654,853,973,633,387,477,700,690,460,483,436,464,912,839,"2,773","1,497","2,225","1,157","1,141","2,590","1,945",931
2020년11월_계_70~79세,"16,642","1,109",743,556,538,764,561,361,323,484,552,347,356,341,356,700,552,"1,638","1,015","1,403",694,625,"1,235",879,510
2020년11월_계_80~89세,"9,605",763,539,415,380,462,389,283,232,321,364,239,251,212,247,329,269,846,529,638,323,229,634,471,240
2020년11월_계_90~99세,"1,449",117,82,66,76,73,66,49,40,64,46,23,25,35,29,55,36,116,70,77,56,36,100,74,38
2020년11월_계_100세 이상,62,7,4,1,0,4,3,1,0,2,1,4,2,0,0,2,0,6,5,7,2,0,2,6,3
2020년11월_남_총인구수,"78,632","3,229","2,124","1,600","1,887","3,419","1,356",900,"1,086","1,505","1,372",900,974,853,918,"2,475","2,448","11,054","4,431","6,644","3,092","3,136","10,438","7,649","5,142"
2020년11월_남_연령구간인구수,"78,632","3,229","2,124","1,600","1,887","3,419","1,356",900,"1,086","1,505","1,372",900,974,853,918,"2,475","2,448","11,054","4,431","6,644","3,092","3,136","10,438","7,649","5,142"
2020년11월_남_0~9세,"5,615",99,53,37,41,206,25,19,28,26,17,19,25,13,21,135,171,"1,007",352,473,194,192,"1,072",807,583
2020년11월_남_10~19세,"7,225",155,124,53,91,190,80,38,40,60,40,25,34,28,33,179,197,"1,231",455,523,290,307,"1,353",876,823
2020년11월_남_20~29세,"9,151",267,177,106,175,490,85,51,100,112,75,48,56,42,37,295,292,"1,686",452,803,370,370,"1,395","1,018",649
