,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2021년07월_계_총인구수,"42,572","13,128","3,690","1,651","3,878","2,288","3,458","2,597","3,527","2,835","5,520"
2021년07월_계_연령구간인구수,"42,572","13,128","3,690","1,651","3,878","2,288","3,458","2,597","3,527","2,835","5,520"
2021년07월_계_0~9세,"1,536",831,72,50,120,79,49,53,110,49,123
2021년07월_계_10~19세,"2,863","1,379",238,106,174,166,181,88,175,106,250
2021년07월_계_20~29세,"3,156","1,534",204,94,204,170,191,114,193,156,296
2021년07월_계_30~39세,"2,376","1,102",132,87,177,126,130,103,169,103,247
2021년07월_계_40~49세,"4,464","1,895",327,135,380,237,307,211,310,187,475
2021년07월_계_50~59세,"7,119","2,201",626,302,642,451,570,403,554,452,918
2021년07월_계_60~69세,"8,545","2,028",793,341,869,508,703,570,716,689,"1,328"
2021년07월_계_70~79세,"6,647","1,228",679,266,704,340,709,493,648,530,"1,050"
2021년07월_계_80~89세,"4,937",792,522,229,508,174,518,483,526,463,722
2021년07월_계_90~99세,915,137,95,41,99,37,95,77,125,100,109
2021년07월_계_100세 이상,14,1,2,0,1,0,5,2,1,0,2
2021년07월_남_총인구수,"20,597","6,431","1,773",808,"1,882","1,187","1,652","1,243","1,653","1,346","2,622"
2021년07월_남_연령구간인구수,"20,597","6,431","1,773",808,"1,882","1,187","1,652","1,243","1,653","1,346","2,622"
2021년07월_남_0~9세,793,408,35,28,69,37,26,32,59,26,73
2021년07월_남_10~19세,"1,572",740,148,54,101,87,96,53,104,52,137
2021년07월_남_20~29세,"1,948",923,127,64,127,120,119,85,101,99,183
2021년07월_남_30~39세,"1,236",544,71,40,93,68,78,58,92,58,134
2021년07월_남_40~49세,"2,392",905,179,74,216,133,181,130,183,103,288
2021년07월_남_50~59세,"3,847","1,127",358,174,360,246,321,238,297,241,485
2021년07월_남_60~69세,"4,189",959,382,177,422,264,339,278,342,361,665
2021년07월_남_70~79세,"2,937",547,290,112,322,166,324,210,289,240,437
2021년07월_남_80~89세,"1,523",260,161,80,156,61,145,151,157,148,204
2021년07월_남_90~99세,159,18,21,5,16,5,23,8,29,18,16
2021년07월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"21,975","6,697","1,917",843,"1,996","1,101","1,806","1,354","1,874","1,489","2,898"
2021년07월_여_연령구간인구수,"21,975","6,697","1,917",843,"1,996","1,101","1,806","1,354","1,874","1,489","2,898"
2021년07월_여_0~9세,743,423,37,22,51,42,23,21,51,23,50
2021년07월_여_10~19세,"1,291",639,90,52,73,79,85,35,71,54,113
2021년07월_여_20~29세,"1,208",611,77,30,77,50,72,29,92,57,113
2021년07월_여_30~39세,"1,140",558,61,47,84,58,52,45,77,45,113
2021년07월_여_40~49세,"2,072",990,148,61,164,104,126,81,127,84,187
2021년07월_여_50~59세,"3,272","1,074",268,128,282,205,249,165,257,211,433
2021년07월_여_60~69세,"4,356","1,069",411,164,447,244,364,292,374,328,663
2021년07월_여_70~79세,"3,710",681,389,154,382,174,385,283,359,290,613
2021년07월_여_80~89세,"3,414",532,361,149,352,113,373,332,369,315,518
2021년07월_여_90~99세,756,119,74,36,83,32,72,69,96,82,93
2021년07월_여_100세 이상,13,1,1,0,1,0,5,2,1,0,2
