카테고리,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2021년04월_계_총인구수,"175,817","13,674","7,335","5,339","3,339","8,119","15,473","9,370","5,050","7,303","6,174","19,209","18,732","8,799","15,891","32,010"
2021년04월_계_연령구간인구수,"175,817","13,674","7,335","5,339","3,339","8,119","15,473","9,370","5,050","7,303","6,174","19,209","18,732","8,799","15,891","32,010"
2021년04월_계_0~9세,"15,196",694,492,123,61,579,"2,903",498,129,245,345,"1,663","1,632",555,"1,346","3,931"
2021년04월_계_10~19세,"17,147","1,004",701,199,110,750,"1,215",754,259,445,452,"2,024","2,290",882,"1,938","4,124"
2021년04월_계_20~29세,"19,056","1,803",610,284,160,647,"1,614",842,281,688,555,"2,573","2,127","1,081","1,994","3,797"
2021년04월_계_30~39세,"21,905","1,463",609,266,147,936,"3,846",826,257,476,539,"2,705","2,116",851,"1,898","4,970"
2021년04월_계_40~49세,"27,842","1,968","1,101",480,287,"1,227","2,391","1,340",531,835,826,"3,262","3,356","1,434","2,817","5,987"
2021년04월_계_50~59세,"28,376","3,074","1,323",860,577,"1,378","1,627","1,689",828,"1,304",819,"3,140","3,227","1,519","2,499","4,512"
2021년04월_계_60~69세,"22,809","1,985","1,126","1,327",867,"1,264","1,008","1,572","1,147","1,455","1,121","2,092","2,123","1,325","1,830","2,567"
2021년04월_계_70~79세,"13,934",980,758,"1,009",685,792,511,"1,030",923,"1,125",831,"1,080","1,165",751,982,"1,312"
2021년04월_계_80~89세,"8,266",604,542,694,391,463,312,721,610,632,604,572,584,344,510,683
2021년04월_계_90~99세,"1,246",97,68,96,52,81,45,96,81,97,76,95,106,55,77,124
2021년04월_계_100세 이상,40,2,5,1,2,2,1,2,4,1,6,3,6,2,0,3
2021년04월_남_총인구수,"91,664","7,964","3,763","2,718","1,709","4,367","8,115","4,838","2,573","3,782","3,194","9,968","9,781","4,468","8,028","16,396"
2021년04월_남_연령구간인구수,"91,664","7,964","3,763","2,718","1,709","4,367","8,115","4,838","2,573","3,782","3,194","9,968","9,781","4,468","8,028","16,396"
2021년04월_남_0~9세,"7,772",358,257,59,37,283,"1,501",258,73,127,175,885,851,296,662,"1,950"
2021년04월_남_10~19세,"9,103",538,371,109,56,393,610,407,137,250,235,"1,065","1,357",463,929,"2,183"
2021년04월_남_20~29세,"11,355","1,246",372,180,98,407,913,509,169,430,375,"1,460","1,276",619,"1,133","2,168"
2021년04월_남_30~39세,"12,157",988,326,167,89,597,"2,058",454,144,279,313,"1,505","1,122",469,"1,067","2,579"
2021년04월_남_40~49세,"14,910","1,198",568,304,176,726,"1,322",746,326,492,481,"1,687","1,689",747,"1,420","3,028"
2021년04월_남_50~59세,"15,211","1,859",745,468,327,741,835,907,465,708,448,"1,630","1,648",785,"1,291","2,354"
2021년04월_남_60~69세,"11,443","1,093",575,665,436,671,530,790,562,728,542,"1,019","1,038",618,909,"1,267"
2021년04월_남_70~79세,"6,537",470,348,482,347,375,236,492,449,531,384,492,556,330,439,606
2021년04월_남_80~89세,"2,922",187,186,266,135,159,101,257,231,219,223,209,221,127,163,238
2021년04월_남_90~99세,251,27,15,18,8,15,9,18,16,18,17,16,22,14,15,23
2021년04월_남_100세 이상,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2021년04월_여_총인구수,"84,153","5,710","3,572","2,621","1,630","3,752","7,358","4,532","2,477","3,521","2,980","9,241","8,951","4,331","7,863","15,614"
2021년04월_여_연령구간인구수,"84,153","5,710","3,572","2,621","1,630","3,752","7,358","4,532","2,477","3,521","2,980","9,241","8,951","4,331","7,863","15,614"
2021년04월_여_0~9세,"7,424",336,235,64,24,296,"1,402",240,56,118,170,778,781,259,684,"1,981"
2021년04월_여_10~19세,"8,044",466,330,90,54,357,605,347,122,195,217,959,933,419,"1,009","1,941"
2021년04월_여_20~29세,"7,701",557,238,104,62,240,701,333,112,258,180,"1,113",851,462,861,"1,629"
2021년04월_여_30~39세,"9,748",475,283,99,58,339,"1,788",372,113,197,226,"1,200",994,382,831,"2,391"
2021년04월_여_40~49세,"12,932",770,533,176,111,501,"1,069",594,205,343,345,"1,575","1,667",687,"1,397","2,959"
2021년04월_여_50~59세,"13,165","1,215",578,392,250,637,792,782,363,596,371,"1,510","1,579",734,"1,208","2,158"
2021년04월_여_60~69세,"11,366",892,551,662,431,593,478,782,585,727,579,"1,073","1,085",707,921,"1,300"
2021년04월_여_70~79세,"7,397",510,410,527,338,417,275,538,474,594,447,588,609,421,543,706
2021년04월_여_80~89세,"5,344",417,356,428,256,304,211,464,379,413,381,363,363,217,347,445
2021년04월_여_90~99세,995,70,53,78,44,66,36,78,65,79,59,79,84,41,62,101
2021년04월_여_100세 이상,37,2,5,1,2,2,1,2,3,1,5,3,5,2,0,3
