,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2020년11월_계_총인구수,"175,487","13,905","7,442","5,348","3,355","8,176","15,309","9,489","5,152","7,442","6,391","19,537","19,024","9,020","16,359","29,538"
2020년11월_계_연령구간인구수,"175,487","13,905","7,442","5,348","3,355","8,176","15,309","9,489","5,152","7,442","6,391","19,537","19,024","9,020","16,359","29,538"
2020년11월_계_0~9세,"15,479",755,532,120,62,617,"2,881",544,143,274,398,"1,765","1,735",608,"1,449","3,596"
2020년11월_계_10~19세,"17,283","1,092",716,217,113,745,"1,158",782,271,460,489,"2,084","2,344",899,"2,030","3,883"
2020년11월_계_20~29세,"19,236","1,866",644,290,180,689,"1,645",867,288,744,589,"2,635","2,200","1,111","2,022","3,466"
2020년11월_계_30~39세,"22,141","1,511",669,269,149,978,"3,904",861,272,497,583,"2,777","2,197",907,"2,033","4,534"
2020년11월_계_40~49세,"27,862","2,020","1,144",497,291,"1,236","2,276","1,422",554,869,891,"3,330","3,467","1,469","2,921","5,475"
2020년11월_계_50~59세,"28,357","3,069","1,306",884,592,"1,370","1,616","1,691",899,"1,352",843,"3,185","3,235","1,548","2,576","4,191"
2020년11월_계_60~69세,"21,869","1,906","1,072","1,296",853,"1,221",955,"1,504","1,101","1,417","1,078","2,014","2,023","1,330","1,767","2,332"
2020년11월_계_70~79세,"13,889",977,758,"1,027",670,776,512,"1,028",932,"1,140",846,"1,075","1,150",750,983,"1,265"
2020년11월_계_80~89세,"8,110",609,527,664,389,463,318,703,606,603,585,566,570,335,500,672
2020년11월_계_90~99세,"1,204",97,69,83,54,80,41,84,84,83,84,96,95,56,77,121
2020년11월_계_100세 이상,57,3,5,1,2,1,3,3,2,3,5,10,8,7,1,3
2020년11월_남_총인구수,"91,321","8,036","3,800","2,723","1,713","4,384","8,025","4,897","2,608","3,863","3,305","10,113","9,914","4,584","8,239","15,117"
2020년11월_남_연령구간인구수,"91,321","8,036","3,800","2,723","1,713","4,384","8,025","4,897","2,608","3,863","3,305","10,113","9,914","4,584","8,239","15,117"
2020년11월_남_0~9세,"7,972",396,281,56,36,306,"1,488",280,78,143,213,948,907,321,730,"1,789"
2020년11월_남_10~19세,"9,185",587,379,116,56,396,584,431,141,262,255,"1,092","1,379",470,976,"2,061"
2020년11월_남_20~29세,"11,372","1,278",384,179,114,427,917,518,178,456,389,"1,484","1,297",634,"1,136","1,981"
2020년11월_남_30~39세,"12,256","1,014",349,169,88,609,"2,096",469,149,298,342,"1,539","1,175",508,"1,117","2,334"
2020년11월_남_40~49세,"14,909","1,198",600,315,179,730,"1,269",794,339,515,515,"1,713","1,722",764,"1,477","2,779"
2020년11월_남_50~59세,"15,150","1,830",731,479,336,729,829,914,495,722,453,"1,649","1,685",802,"1,321","2,175"
2020년11월_남_60~69세,"10,924","1,051",537,655,427,651,496,747,536,711,516,974,975,622,863,"1,163"
2020년11월_남_70~79세,"6,467",470,348,490,333,361,235,479,457,531,380,486,540,326,441,590
2020년11월_남_80~89세,"2,842",184,176,247,134,162,104,252,221,211,222,210,212,121,162,224
2020년11월_남_90~99세,237,28,15,17,10,13,6,13,13,14,19,18,20,15,16,20
2020년11월_남_100세 이상,7,0,0,0,0,0,1,0,1,0,1,0,2,1,0,1
2020년11월_여_총인구수,"84,166","5,869","3,642","2,625","1,642","3,792","7,284","4,592","2,544","3,579","3,086","9,424","9,110","4,436","8,120","14,421"
2020년11월_여_연령구간인구수,"84,166","5,869","3,642","2,625","1,642","3,792","7,284","4,592","2,544","3,579","3,086","9,424","9,110","4,436","8,120","14,421"
2020년11월_여_0~9세,"7,507",359,251,64,26,311,"1,393",264,65,131,185,817,828,287,719,"1,807"
2020년11월_여_10~19세,"8,098",505,337,101,57,349,574,351,130,198,234,992,965,429,"1,054","1,822"
2020년11월_여_20~29세,"7,864",588,260,111,66,262,728,349,110,288,200,"1,151",903,477,886,"1,485"
2020년11월_여_30~39세,"9,885",497,320,100,61,369,"1,808",392,123,199,241,"1,238","1,022",399,916,"2,200"
2020년11월_여_40~49세,"12,953",822,544,182,112,506,"1,007",628,215,354,376,"1,617","1,745",705,"1,444","2,696"
2020년11월_여_50~59세,"13,207","1,239",575,405,256,641,787,777,404,630,390,"1,536","1,550",746,"1,255","2,016"
2020년11월_여_60~69세,"10,945",855,535,641,426,570,459,757,565,706,562,"1,040","1,048",708,904,"1,169"
2020년11월_여_70~79세,"7,422",507,410,537,337,415,277,549,475,609,466,589,610,424,542,675
2020년11월_여_80~89세,"5,268",425,351,417,255,301,214,451,385,392,363,356,358,214,338,448
2020년11월_여_90~99세,967,69,54,66,44,67,35,71,71,69,65,78,75,41,61,101
2020년11월_여_100세 이상,50,3,5,1,2,1,2,3,1,3,4,10,6,6,1,2
