카테고리,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2021년04월_계_총인구수,"102,703","10,721","2,357","1,445","1,953","2,185","2,992","2,732","2,010","1,874","3,097","7,705","6,241","4,014","3,551","6,641","8,228","7,926","19,037","7,994"
2021년04월_계_연령구간인구수,"102,703","10,721","2,357","1,445","1,953","2,185","2,992","2,732","2,010","1,874","3,097","7,705","6,241","4,014","3,551","6,641","8,228","7,926","19,037","7,994"
2021년04월_계_0~9세,"5,944",452,55,22,53,53,81,69,37,25,55,465,349,153,171,482,431,430,"2,034",527
2021년04월_계_10~19세,"8,779",751,100,55,86,101,126,130,74,59,112,914,584,290,246,866,620,679,"2,191",795
2021년04월_계_20~29세,"9,591",954,176,84,135,162,188,164,129,103,132,740,612,314,281,697,955,925,"1,968",872
2021년04월_계_30~39세,"8,384",736,112,47,106,109,146,125,83,80,140,574,474,282,248,519,686,632,"2,502",783
2021년04월_계_40~49세,"13,692","1,208",184,95,160,177,258,256,137,149,204,"1,237",857,476,417,"1,128","1,046","1,028","3,458","1,217"
2021년04월_계_50~59세,"17,601","1,835",470,253,339,363,477,493,358,329,563,"1,326","1,143",665,618,"1,204","1,528","1,572","2,681","1,384"
2021년04월_계_60~69세,"18,803","2,346",570,344,460,523,743,731,564,474,855,"1,188","1,069",875,757,858,"1,511","1,432","2,238","1,265"
2021년04월_계_70~79세,"11,797","1,450",349,285,311,363,529,451,344,331,576,769,716,579,526,559,945,778,"1,246",690
2021년04월_계_80~89세,"7,003",836,297,219,247,274,377,266,242,281,399,419,391,337,248,290,449,388,638,405
2021년04월_계_90~99세,"1,057",143,44,39,54,57,66,40,40,42,60,71,41,40,38,36,54,61,78,53
2021년04월_계_100세 이상,52,10,0,2,2,3,1,7,2,1,1,2,5,3,1,2,3,1,3,3
2021년04월_남_총인구수,"50,952","5,315","1,217",729,997,"1,106","1,514","1,387","1,010",935,"1,534","3,849","2,979","1,945","1,710","3,299","4,056","3,952","9,571","3,847"
2021년04월_남_연령구간인구수,"50,952","5,315","1,217",729,997,"1,106","1,514","1,387","1,010",935,"1,534","3,849","2,979","1,945","1,710","3,299","4,056","3,952","9,571","3,847"
2021년04월_남_0~9세,"3,081",233,25,16,28,28,40,30,19,13,30,243,178,86,104,240,205,222,"1,062",279
2021년04월_남_10~19세,"4,617",403,51,25,46,51,71,68,42,31,59,486,302,139,134,458,334,368,"1,130",419
2021년04월_남_20~29세,"5,621",594,114,59,86,103,117,97,83,75,78,457,337,186,156,427,540,550,"1,111",451
2021년04월_남_30~39세,"4,486",392,63,25,67,69,95,73,52,50,83,300,256,150,127,258,388,343,"1,283",412
2021년04월_남_40~49세,"7,077",649,107,64,99,102,163,154,77,93,132,605,419,248,209,539,543,500,"1,779",595
2021년04월_남_50~59세,"9,021",919,270,137,181,198,253,257,190,173,302,697,585,366,315,617,721,779,"1,398",663
2021년04월_남_60~69세,"9,011","1,158",297,181,251,275,382,371,291,259,416,558,474,387,330,387,690,665,"1,043",596
2021년04월_남_70~79세,"5,341",644,173,136,144,172,252,231,158,146,278,340,285,250,238,259,437,372,522,304
2021년04월_남_80~89세,"2,466",292,108,75,85,98,129,92,91,86,143,157,131,118,89,102,184,138,228,120
2021년04월_남_90~99세,222,28,9,11,10,10,12,12,6,8,13,6,11,15,8,12,14,15,14,8
2021년04월_남_100세 이상,9,3,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0
2021년04월_여_총인구수,"51,751","5,406","1,140",716,956,"1,079","1,478","1,345","1,000",939,"1,563","3,856","3,262","2,069","1,841","3,342","4,172","3,974","9,466","4,147"
2021년04월_여_연령구간인구수,"51,751","5,406","1,140",716,956,"1,079","1,478","1,345","1,000",939,"1,563","3,856","3,262","2,069","1,841","3,342","4,172","3,974","9,466","4,147"
2021년04월_여_0~9세,"2,863",219,30,6,25,25,41,39,18,12,25,222,171,67,67,242,226,208,972,248
2021년04월_여_10~19세,"4,162",348,49,30,40,50,55,62,32,28,53,428,282,151,112,408,286,311,"1,061",376
2021년04월_여_20~29세,"3,970",360,62,25,49,59,71,67,46,28,54,283,275,128,125,270,415,375,857,421
2021년04월_여_30~39세,"3,898",344,49,22,39,40,51,52,31,30,57,274,218,132,121,261,298,289,"1,219",371
2021년04월_여_40~49세,"6,615",559,77,31,61,75,95,102,60,56,72,632,438,228,208,589,503,528,"1,679",622
2021년04월_여_50~59세,"8,580",916,200,116,158,165,224,236,168,156,261,629,558,299,303,587,807,793,"1,283",721
2021년04월_여_60~69세,"9,792","1,188",273,163,209,248,361,360,273,215,439,630,595,488,427,471,821,767,"1,195",669
2021년04월_여_70~79세,"6,456",806,176,149,167,191,277,220,186,185,298,429,431,329,288,300,508,406,724,386
2021년04월_여_80~89세,"4,537",544,189,144,162,176,248,174,151,195,256,262,260,219,159,188,265,250,410,285
2021년04월_여_90~99세,835,115,35,28,44,47,54,28,34,34,47,65,30,25,30,24,40,46,64,45
2021년04월_여_100세 이상,43,7,0,2,2,3,1,5,1,0,1,2,4,3,1,2,3,1,2,3
