,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2021년01월_계_총인구수,"51,262","22,829","3,307","2,814","2,461","2,518","2,850","2,142","3,209","3,063","6,069"
2021년01월_계_연령구간인구수,"51,262","22,829","3,307","2,814","2,461","2,518","2,850","2,142","3,209","3,063","6,069"
2021년01월_계_0~9세,"2,528","1,650",85,78,63,120,79,58,73,77,245
2021년01월_계_10~19세,"4,269","2,466",155,108,68,138,391,162,209,146,426
2021년01월_계_20~29세,"4,002","2,184",221,179,111,134,163,100,196,203,511
2021년01월_계_30~39세,"3,696","2,124",196,154,108,139,126,86,139,189,435
2021년01월_계_40~49세,"6,200","3,547",292,243,177,250,242,162,311,294,682
2021년01월_계_50~59세,"9,027","3,766",613,494,418,424,426,435,636,589,"1,226"
2021년01월_계_60~69세,"9,890","3,424",738,712,617,586,589,475,695,737,"1,317"
2021년01월_계_70~79세,"6,848","2,375",551,463,468,415,448,373,567,486,702
2021년01월_계_80~89세,"4,211","1,138",379,335,376,277,353,258,345,288,462
2021년01월_계_90~99세,560,140,74,47,52,35,32,31,36,52,61
2021년01월_계_100세 이상,31,15,3,1,3,0,1,2,2,2,2
2021년01월_남_총인구수,"25,821","11,205","1,704","1,464","1,230","1,259","1,436","1,104","1,616","1,615","3,188"
2021년01월_남_연령구간인구수,"25,821","11,205","1,704","1,464","1,230","1,259","1,436","1,104","1,616","1,615","3,188"
2021년01월_남_0~9세,"1,296",815,56,43,33,60,46,28,41,40,134
2021년01월_남_10~19세,"2,218","1,253",85,67,32,71,190,87,117,84,232
2021년01월_남_20~29세,"2,290","1,227",135,112,64,76,100,69,103,116,288
2021년01월_남_30~39세,"1,943","1,074",111,92,67,72,63,39,68,98,259
2021년01월_남_40~49세,"3,420","1,846",165,153,121,145,148,100,179,182,381
2021년01월_남_50~59세,"4,977","1,930",359,276,252,258,248,251,369,349,685
2021년01월_남_60~69세,"5,031","1,623",380,378,313,300,312,268,363,387,707
2021년01월_남_70~79세,"3,091",996,259,229,216,183,206,166,257,245,334
2021년01월_남_80~89세,"1,415",409,136,102,119,87,115,90,108,99,150
2021년01월_남_90~99세,131,28,17,12,13,7,8,5,9,14,18
2021년01월_남_100세 이상,9,4,1,0,0,0,0,1,2,1,0
2021년01월_여_총인구수,"25,441","11,624","1,603","1,350","1,231","1,259","1,414","1,038","1,593","1,448","2,881"
2021년01월_여_연령구간인구수,"25,441","11,624","1,603","1,350","1,231","1,259","1,414","1,038","1,593","1,448","2,881"
2021년01월_여_0~9세,"1,232",835,29,35,30,60,33,30,32,37,111
2021년01월_여_10~19세,"2,051","1,213",70,41,36,67,201,75,92,62,194
2021년01월_여_20~29세,"1,712",957,86,67,47,58,63,31,93,87,223
2021년01월_여_30~39세,"1,753","1,050",85,62,41,67,63,47,71,91,176
2021년01월_여_40~49세,"2,780","1,701",127,90,56,105,94,62,132,112,301
2021년01월_여_50~59세,"4,050","1,836",254,218,166,166,178,184,267,240,541
2021년01월_여_60~69세,"4,859","1,801",358,334,304,286,277,207,332,350,610
2021년01월_여_70~79세,"3,757","1,379",292,234,252,232,242,207,310,241,368
2021년01월_여_80~89세,"2,796",729,243,233,257,190,238,168,237,189,312
2021년01월_여_90~99세,429,112,57,35,39,28,24,26,27,38,43
2021년01월_여_100세 이상,22,11,2,1,3,0,1,1,0,1,2
