카테고리,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2020년07월_계_총인구수,"504,230","231,533","7,689","30,827","54,670","3,557","9,950","4,120","1,918","25,062","17,507","12,683","4,779","2,909","30,526","25,336","272,697","40,732","2,893","4,856","2,534","4,986","2,129",598,"1,294","15,824","17,290","19,843","22,452","32,024","22,948","72,717","9,577"
2020년07월_계_연령구간인구수,"504,230","231,533","7,689","30,827","54,670","3,557","9,950","4,120","1,918","25,062","17,507","12,683","4,779","2,909","30,526","25,336","272,697","40,732","2,893","4,856","2,534","4,986","2,129",598,"1,294","15,824","17,290","19,843","22,452","32,024","22,948","72,717","9,577"
2020년07월_계_0~9세,"40,718","17,995",159,"2,491","5,868",73,583,74,35,"1,255",653,454,217,172,"3,667","2,294","22,723","4,014",68,117,36,102,35,6,21,584,"1,265",810,"1,530","3,041","1,636","8,517",941
2020년07월_계_10~19세,"47,204","21,429",249,"3,744","5,842",153,794,130,77,"1,553",823,735,277,202,"3,786","3,064","25,775","3,645",85,225,87,192,58,16,41,819,"1,892","1,007","2,105","3,090","2,469","8,888","1,156"
2020년07월_계_20~29세,"56,870","26,511",508,"3,663","6,278",292,"1,009",200,106,"3,237","1,758","1,078",593,663,"3,583","3,543","30,359","4,168",186,316,165,305,72,36,52,"1,645","2,172","2,324","2,423","3,941","2,974","8,678",902
2020년07월_계_30~39세,"60,815","27,631",478,"3,234","8,375",281,958,187,85,"3,021","1,699","1,074",540,357,"3,924","3,418","33,184","5,254",132,281,106,244,71,13,56,"1,760","1,890","2,397","2,340","4,382","2,430","10,611","1,217"
2020년07월_계_40~49세,"77,634","35,841",780,"5,241","10,060",329,"1,295",311,179,"3,410","2,244","1,485",539,347,"5,192","4,429","41,793","6,296",220,496,200,383,129,42,103,"1,987","2,747","2,583","3,321","4,905","3,363","13,341","1,677"
2020년07월_계_50~59세,"90,860","41,864","1,487","6,047","8,431",730,"1,849",712,350,"4,613","3,443","2,425",863,497,"5,551","4,866","48,996","7,099",503,893,485,915,404,118,212,"2,840","3,494","3,504","4,201","6,045","4,678","12,117","1,488"
2020년07월_계_60~69세,"76,442","35,798","1,909","4,042","6,093",897,"1,781",976,457,"5,021","4,114","3,111",955,398,"3,612","2,432","40,644","5,624",742,"1,095",621,"1,224",573,192,349,"3,288","2,489","4,092","3,968","4,217","3,481","7,289","1,400"
2020년07월_계_70~79세,"36,431","16,967","1,346","1,634","2,492",536,"1,119",833,380,"2,308","2,114","1,693",580,192,873,867,"19,464","2,940",507,858,471,894,429,108,253,"2,025",957,"2,288","1,810","1,653","1,359","2,329",583
2020년07월_계_80~89세,"15,071","6,591",681,653,"1,098",229,487,604,221,564,594,541,193,74,282,370,"8,480","1,464",390,501,310,629,311,53,179,764,327,734,661,657,494,818,188
2020년07월_계_90~99세,"2,080",852,86,73,119,36,73,89,27,77,58,82,20,7,54,51,"1,228",219,58,72,52,96,47,14,26,103,53,99,88,90,62,126,23
2020년07월_계_100세 이상,105,54,6,5,14,1,2,4,1,3,7,5,2,0,2,2,51,9,2,2,1,2,0,0,2,9,4,5,5,3,2,3,2
2020년07월_남_총인구수,"254,899","119,323","3,878","15,718","28,936","1,850","5,019","2,022",930,"12,932","9,003","6,385","2,575","1,727","15,518","12,830","135,576","20,374","1,446","2,395","1,239","2,410","1,062",302,629,"7,744","8,563","9,797","11,003","15,678","11,416","36,803","4,715"
2020년07월_남_연령구간인구수,"254,899","119,323","3,878","15,718","28,936","1,850","5,019","2,022",930,"12,932","9,003","6,385","2,575","1,727","15,518","12,830","135,576","20,374","1,446","2,395","1,239","2,410","1,062",302,629,"7,744","8,563","9,797","11,003","15,678","11,416","36,803","4,715"
2020년07월_남_0~9세,"21,113","9,326",78,"1,305","2,999",35,300,41,19,654,343,253,109,96,"1,885","1,209","11,787","2,108",33,63,12,43,15,3,9,287,639,412,775,"1,608",867,"4,437",476
2020년07월_남_10~19세,"24,792","11,305",140,"1,961","3,106",76,404,61,46,816,442,391,147,105,"2,002","1,608","13,487","1,893",54,121,45,85,34,9,25,410,"1,012",513,"1,130","1,627","1,287","4,656",586
2020년07월_남_20~29세,"32,543","15,560",310,"2,112","3,711",171,567,122,62,"1,856","1,043",607,384,524,"2,106","1,985","16,983","2,349",113,195,92,186,55,18,27,892,"1,236","1,273","1,363","2,183","1,697","4,811",493
2020년07월_남_30~39세,"32,047","14,864",269,"1,625","4,527",172,523,109,50,"1,749","1,003",625,319,221,"1,878","1,794","17,183","2,700",77,159,71,163,45,13,34,"1,002",991,"1,358","1,189","2,224","1,273","5,281",603
2020년07월_남_40~49세,"38,975","18,490",491,"2,512","5,482",205,684,213,122,"1,860","1,270",817,326,187,"2,346","1,975","20,485","3,176",141,288,128,231,87,25,55,"1,059","1,236","1,388","1,575","2,262","1,550","6,453",831
2020년07월_남_50~59세,"45,619","21,709",858,"3,118","4,496",392,964,388,196,"2,237","1,747","1,239",469,263,"2,813","2,529","23,910","3,572",271,498,273,489,224,61,119,"1,403","1,645","1,643","2,009","2,803","2,166","6,013",721
2020년07월_남_60~69세,"37,540","17,744",930,"2,062","3,108",474,907,491,221,"2,352","1,873","1,469",467,208,"1,936","1,246","19,796","2,797",392,538,298,605,286,95,189,"1,519","1,236","1,802","1,841","2,081","1,727","3,732",658
2020년07월_남_70~79세,"16,983","8,060",566,808,"1,135",258,501,379,151,"1,187","1,040",787,277,95,474,402,"8,923","1,304",230,361,217,393,189,56,101,871,454,"1,090",851,718,657,"1,161",270
2020년07월_남_80~89세,"4,879","2,112",217,207,349,62,155,199,60,205,232,181,73,26,70,76,"2,767",428,129,163,93,190,112,17,64,280,102,292,246,160,179,239,73
2020년07월_남_90~99세,379,136,15,7,20,5,13,19,3,16,8,14,2,2,7,5,243,44,6,9,9,24,15,5,6,17,12,24,24,12,12,20,4
2020년07월_남_100세 이상,29,17,4,1,3,0,1,0,0,0,2,2,2,0,1,1,12,3,0,0,1,1,0,0,0,4,0,2,0,0,1,0,0
2020년07월_여_총인구수,"249,331","112,210","3,811","15,109","25,734","1,707","4,931","2,098",988,"12,130","8,504","6,298","2,204","1,182","15,008","12,506","137,121","20,358","1,447","2,461","1,295","2,576","1,067",296,665,"8,080","8,727","10,046","11,449","16,346","11,532","35,914","4,862"
2020년07월_여_연령구간인구수,"249,331","112,210","3,811","15,109","25,734","1,707","4,931","2,098",988,"12,130","8,504","6,298","2,204","1,182","15,008","12,506","137,121","20,358","1,447","2,461","1,295","2,576","1,067",296,665,"8,080","8,727","10,046","11,449","16,346","11,532","35,914","4,862"
2020년07월_여_0~9세,"19,605","8,669",81,"1,186","2,869",38,283,33,16,601,310,201,108,76,"1,782","1,085","10,936","1,906",35,54,24,59,20,3,12,297,626,398,755,"1,433",769,"4,080",465
