카테고리,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2021년09월_계_총인구수,"657,703","255,494","24,288","4,094","4,298","4,333","3,111","2,259","6,125","2,082","5,369","4,321","8,636","9,225","18,077","23,108","44,514","55,019","36,635","402,209","23,852","21,606","19,967","8,443","17,404","25,826","13,807","37,396","18,806","40,438","70,170","47,028","57,466"
2021년09월_계_연령구간인구수,"657,703","255,494","24,288","4,094","4,298","4,333","3,111","2,259","6,125","2,082","5,369","4,321","8,636","9,225","18,077","23,108","44,514","55,019","36,635","402,209","23,852","21,606","19,967","8,443","17,404","25,826","13,807","37,396","18,806","40,438","70,170","47,028","57,466"
2021년09월_계_0~9세,"59,535","19,158","1,572",112,113,117,68,46,241,23,175,166,387,269,"1,072","2,007","4,367","5,660","2,763","40,377","1,093","1,713","1,369",280,879,917,805,"3,185","1,326","5,385","10,283","3,987","9,155"
2021년09월_계_10~19세,"67,698","25,697","2,605",230,185,222,154,83,360,70,276,227,652,640,"1,398","3,173","5,779","6,978","2,665","42,001","2,172","2,331","1,845",512,"1,119","1,228","1,206","4,796","2,318","5,654","9,560","4,053","5,207"
2021년09월_계_20~29세,"95,609","34,768","2,855",377,345,385,230,169,762,128,540,639,"1,050","1,145","2,838","2,692","6,094","6,872","7,647","60,841","2,789","2,539","2,485",877,"2,610","6,555","2,386","5,957","2,605","5,066","8,685","10,214","8,073"
2021년09월_계_30~39세,"102,555","31,910","2,425",317,292,321,173,166,552,89,493,577,830,827,"2,481","2,405","6,535","7,917","5,510","70,645","1,999","2,646","2,680",700,"2,538","5,601","1,828","4,909","2,253","6,569","14,138","9,406","15,378"
2021년09월_계_40~49세,"111,388","41,865","4,320",434,417,512,313,228,732,166,645,571,"1,188","1,298","2,883","4,308","8,840","10,052","4,958","69,523","3,575","4,075","3,634","1,022","2,584","3,787","1,876","6,506","3,066","7,894","14,251","7,484","9,769"
2021년09월_계_50~59세,"103,429","43,257","4,551",743,838,832,586,413,"1,129",404,"1,021",735,"1,694","1,790","3,218","4,033","6,969","8,480","5,821","60,172","4,226","3,736","3,558","1,757","3,275","3,625","2,447","6,710","3,542","5,699","8,904","6,768","5,925"
2021년09월_계_60~69세,"68,880","33,564","3,254",964,"1,091","1,015",787,536,"1,209",544,"1,181",821,"1,553","1,694","2,573","2,601","3,674","5,571","4,496","35,316","4,077","2,647","2,495","1,705","2,576","2,597","2,057","3,442","2,167","2,777","2,968","3,131","2,677"
2021년09월_계_70~79세,"30,525","15,683","1,617",531,564,512,453,338,648,353,667,379,820,978,"1,088","1,237","1,404","2,251","1,843","14,842","2,447","1,197","1,159",944,"1,249","1,005",783,"1,230",923,916,867,"1,293",829
2021년09월_계_80~89세,"15,703","8,311",954,329,377,345,290,251,420,255,333,176,395,526,459,573,744,"1,064",820,"7,392","1,305",642,665,545,502,432,358,576,524,412,430,612,389
2021년09월_계_90~99세,"2,295","1,233",132,56,74,71,53,28,70,46,36,29,63,58,65,75,105,166,106,"1,062",163,77,74,100,67,75,60,84,81,61,79,78,63
2021년09월_계_100세 이상,86,48,3,1,2,1,4,1,2,4,2,1,4,0,2,4,3,8,6,38,6,3,3,1,5,4,1,1,1,5,5,2,1
2021년09월_남_총인구수,"336,088","129,472","12,420","2,247","2,166","2,264","1,630","1,235","3,264","1,115","2,820","2,263","4,462","4,747","9,271","11,503","22,714","27,487","17,864","206,616","12,442","11,327","10,888","4,563","9,177","13,953","6,765","18,394","9,066","20,322","35,172","24,264","30,283"
2021년09월_남_연령구간인구수,"336,088","129,472","12,420","2,247","2,166","2,264","1,630","1,235","3,264","1,115","2,820","2,263","4,462","4,747","9,271","11,503","22,714","27,487","17,864","206,616","12,442","11,327","10,888","4,563","9,177","13,953","6,765","18,394","9,066","20,322","35,172","24,264","30,283"
2021년09월_남_0~9세,"30,478","9,887",813,64,55,65,32,23,122,12,90,89,214,134,559,"1,007","2,293","2,911","1,404","20,591",580,850,720,146,471,476,428,"1,609",649,"2,729","5,257","2,039","4,637"
