,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2021년01월_계_총인구수,"283,452","14,673","26,204","20,408","38,980","42,565","15,376","30,290","12,257","12,414","11,089","12,851","27,177","19,168"
2021년01월_계_연령구간인구수,"283,452","14,673","26,204","20,408","38,980","42,565","15,376","30,290","12,257","12,414","11,089","12,851","27,177","19,168"
2021년01월_계_0~9세,"18,821",736,"1,426",965,"2,153","4,086",950,"2,610",460,442,449,972,"2,294","1,278"
2021년01월_계_10~19세,"23,181",704,"1,770","1,537","3,177","4,519","1,231","3,911",563,625,633,784,"2,379","1,348"
2021년01월_계_20~29세,"37,383","1,990","3,645","2,974","4,556","5,882","2,282","3,997","1,557","1,930","1,398","1,471","3,261","2,440"
2021년01월_계_30~39세,"33,415","2,002","3,286","2,036","3,856","5,437","1,659","3,158","1,482","1,513","1,176","2,040","3,384","2,386"
2021년01월_계_40~49세,"40,307","1,753","3,482","2,907","5,257","6,624","1,976","5,454","1,474","1,524","1,465","1,624","4,222","2,545"
2021년01월_계_50~59세,"53,738","2,887","5,228","4,300","7,570","8,358","3,198","5,440","2,229","2,326","1,989","2,189","4,571","3,453"
2021년01월_계_60~69세,"45,812","2,752","4,544","3,549","6,675","5,211","2,392","3,213","2,502","2,386","2,160","2,301","4,442","3,685"
2021년01월_계_70~79세,"21,368","1,283","2,025","1,577","3,634","1,768","1,130","1,718","1,318","1,152","1,279","1,080","1,920","1,484"
2021년01월_계_80~89세,"8,264",495,701,498,"1,901",587,447,700,596,448,479,339,602,471
2021년01월_계_90~99세,"1,054",65,78,61,198,87,72,88,70,64,55,46,95,75
2021년01월_계_100세 이상,109,6,19,4,3,6,39,1,6,4,6,5,7,3
2021년01월_남_총인구수,"140,245","7,421","13,459","10,492","18,907","20,929","7,515","14,838","6,034","6,187","5,420","6,316","13,346","9,381"
2021년01월_남_연령구간인구수,"140,245","7,421","13,459","10,492","18,907","20,929","7,515","14,838","6,034","6,187","5,420","6,316","13,346","9,381"
2021년01월_남_0~9세,"9,728",351,775,505,"1,124","2,110",499,"1,331",226,231,241,482,"1,187",666
2021년01월_남_10~19세,"12,079",344,944,831,"1,619","2,336",628,"2,052",310,325,329,402,"1,236",723
2021년01월_남_20~29세,"20,110","1,039","1,991","1,691","2,466","3,146","1,247","2,135",846,"1,003",756,765,"1,701","1,324"
2021년01월_남_30~39세,"17,307","1,122","1,791","1,131","2,038","2,576",861,"1,487",808,874,638,"1,052","1,701","1,228"
2021년01월_남_40~49세,"20,006",975,"1,830","1,489","2,565","3,083",941,"2,483",762,825,801,865,"2,107","1,280"
2021년01월_남_50~59세,"25,592","1,430","2,606","2,137","3,584","3,889","1,454","2,718","1,091","1,115",959,990,"2,132","1,487"
2021년01월_남_60~69세,"22,610","1,376","2,275","1,782","3,404","2,704","1,198","1,562","1,179","1,140",993,"1,117","2,125","1,755"
2021년01월_남_70~79세,"9,779",600,981,728,"1,490",879,513,759,597,513,541,518,932,728
2021년01월_남_80~89세,"2,800",167,255,189,572,196,139,288,196,147,148,122,204,177
2021년01월_남_90~99세,212,16,9,9,45,10,22,23,19,13,12,2,19,13
2021년01월_남_100세 이상,22,1,2,0,0,0,13,0,0,1,2,1,2,0
2021년01월_여_총인구수,"143,207","7,252","12,745","9,916","20,073","21,636","7,861","15,452","6,223","6,227","5,669","6,535","13,831","9,787"
2021년01월_여_연령구간인구수,"143,207","7,252","12,745","9,916","20,073","21,636","7,861","15,452","6,223","6,227","5,669","6,535","13,831","9,787"
2021년01월_여_0~9세,"9,093",385,651,460,"1,029","1,976",451,"1,279",234,211,208,490,"1,107",612
2021년01월_여_10~19세,"11,102",360,826,706,"1,558","2,183",603,"1,859",253,300,304,382,"1,143",625
2021년01월_여_20~29세,"17,273",951,"1,654","1,283","2,090","2,736","1,035","1,862",711,927,642,706,"1,560","1,116"
2021년01월_여_30~39세,"16,108",880,"1,495",905,"1,818","2,861",798,"1,671",674,639,538,988,"1,683","1,158"
2021년01월_여_40~49세,"20,301",778,"1,652","1,418","2,692","3,541","1,035","2,971",712,699,664,759,"2,115","1,265"
2021년01월_여_50~59세,"28,146","1,457","2,622","2,163","3,986","4,469","1,744","2,722","1,138","1,211","1,030","1,199","2,439","1,966"
2021년01월_여_60~69세,"23,202","1,376","2,269","1,767","3,271","2,507","1,194","1,651","1,323","1,246","1,167","1,184","2,317","1,930"
2021년01월_여_70~79세,"11,589",683,"1,044",849,"2,144",889,617,959,721,639,738,562,988,756
2021년01월_여_80~89세,"5,464",328,446,309,"1,329",391,308,412,400,301,331,217,398,294
2021년01월_여_90~99세,842,49,69,52,153,77,50,65,51,51,43,44,76,62
2021년01월_여_100세 이상,87,5,17,4,3,6,26,1,6,3,4,4,5,3
