카테고리,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2020년11월_계_총인구수,"108,119","4,559","7,646","7,757","13,466","8,671","7,917","7,889","7,102","4,659","10,106","5,090","9,645","13,612"
2020년11월_계_연령구간인구수,"108,119","4,559","7,646","7,757","13,466","8,671","7,917","7,889","7,102","4,659","10,106","5,090","9,645","13,612"
2020년11월_계_0~9세,"5,630",213,333,439,"1,092",603,633,453,106,116,496,138,339,669
2020년11월_계_10~19세,"7,302",286,533,518,"1,056",844,773,570,307,184,532,202,527,970
2020년11월_계_20~29세,"13,549",587,762,"1,185","1,716","1,044",942,"1,568",768,432,"1,403",463,903,"1,776"
2020년11월_계_30~39세,"11,252",487,664,893,"1,832",886,867,975,553,363,"1,214",464,762,"1,292"
2020년11월_계_40~49세,"14,728",597,"1,013","1,050","2,077","1,351","1,255","1,067",824,613,"1,312",599,"1,244","1,726"
2020년11월_계_50~59세,"18,011",760,"1,311","1,150","2,046","1,439","1,284","1,125","1,261",814,"1,740",945,"1,685","2,451"
2020년11월_계_60~69세,"19,049",787,"1,448","1,286","1,814","1,313","1,146","1,142","1,537",992,"1,750","1,131","2,089","2,614"
2020년11월_계_70~79세,"12,365",525,"1,033",803,"1,223",772,648,621,"1,107",749,"1,137",789,"1,486","1,472"
2020년11월_계_80~89세,"5,369",280,486,366,522,365,318,306,536,340,453,308,531,558
2020년11월_계_90~99세,741,33,59,58,83,51,47,54,74,46,55,44,67,70
2020년11월_계_100세 이상,123,4,4,9,5,3,4,8,29,10,14,7,12,14
2020년11월_남_총인구수,"52,358","2,172","3,729","3,620","6,359","4,004","3,850","3,752","3,583","2,340","4,839","2,580","4,826","6,704"
2020년11월_남_연령구간인구수,"52,358","2,172","3,729","3,620","6,359","4,004","3,850","3,752","3,583","2,340","4,839","2,580","4,826","6,704"
2020년11월_남_0~9세,"2,922",110,171,229,564,314,346,229,51,58,254,71,177,348
2020년11월_남_10~19세,"3,690",133,254,244,534,397,403,292,166,93,276,101,282,515
2020년11월_남_20~29세,"6,702",301,422,538,821,501,494,696,394,235,640,252,490,918
2020년11월_남_30~39세,"5,777",259,353,450,871,421,410,484,310,206,626,270,423,694
2020년11월_남_40~49세,"7,640",312,531,526,"1,035",628,601,532,483,365,679,355,682,911
2020년11월_남_50~59세,"9,184",382,646,570,999,662,626,577,697,452,886,520,931,"1,236"
2020년11월_남_60~69세,"8,887",344,682,569,814,607,557,535,773,484,805,529,999,"1,189"
2020년11월_남_70~79세,"5,392",227,462,347,520,341,281,271,485,327,475,347,648,661
2020년11월_남_80~89세,"1,958",94,197,128,180,121,123,124,196,104,176,123,180,212
2020년11월_남_90~99세,171,10,10,17,19,12,9,9,18,13,18,10,12,14
2020년11월_남_100세 이상,35,0,1,2,2,0,0,3,10,3,4,2,2,6
2020년11월_여_총인구수,"55,761","2,387","3,917","4,137","7,107","4,667","4,067","4,137","3,519","2,319","5,267","2,510","4,819","6,908"
2020년11월_여_연령구간인구수,"55,761","2,387","3,917","4,137","7,107","4,667","4,067","4,137","3,519","2,319","5,267","2,510","4,819","6,908"
2020년11월_여_0~9세,"2,708",103,162,210,528,289,287,224,55,58,242,67,162,321
2020년11월_여_10~19세,"3,612",153,279,274,522,447,370,278,141,91,256,101,245,455
2020년11월_여_20~29세,"6,847",286,340,647,895,543,448,872,374,197,763,211,413,858
2020년11월_여_30~39세,"5,475",228,311,443,961,465,457,491,243,157,588,194,339,598
2020년11월_여_40~49세,"7,088",285,482,524,"1,042",723,654,535,341,248,633,244,562,815
2020년11월_여_50~59세,"8,827",378,665,580,"1,047",777,658,548,564,362,854,425,754,"1,215"
2020년11월_여_60~69세,"10,162",443,766,717,"1,000",706,589,607,764,508,945,602,"1,090","1,425"
2020년11월_여_70~79세,"6,973",298,571,456,703,431,367,350,622,422,662,442,838,811
2020년11월_여_80~89세,"3,411",186,289,238,342,244,195,182,340,236,277,185,351,346
2020년11월_여_90~99세,570,23,49,41,64,39,38,45,56,33,37,34,55,56
2020년11월_여_100세 이상,88,4,3,7,3,3,4,5,19,7,10,5,10,8
