,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020년08월_계_총인구수,"357,768","15,569","10,111","20,652","22,457","20,548","13,070","18,089","21,403","22,748","18,189","24,151","10,350","11,930","20,187","17,101","17,275","11,534","29,769","12,026","20,609"
2020년08월_계_연령구간인구수,"357,768","15,569","10,111","20,652","22,457","20,548","13,070","18,089","21,403","22,748","18,189","24,151","10,350","11,930","20,187","17,101","17,275","11,534","29,769","12,026","20,609"
2020년08월_계_0~9세,"21,501",645,648,"1,469","1,326","1,242",580,900,"1,060","1,963","1,180","1,255",775,747,974,"1,059","1,269",684,"1,919",511,"1,295"
2020년08월_계_10~19세,"25,254",577,495,"1,864","1,577","1,590",638,"1,003","1,219","1,852","1,979","2,071",711,990,"1,276","1,379","1,009",888,"2,584",495,"1,057"
2020년08월_계_20~29세,"52,210","3,234","1,995","2,097","2,340","2,925","2,933","4,076","3,431","2,485","2,089","2,980","1,253","1,313","3,257","2,142","3,358","1,614","3,754","2,431","2,503"
2020년08월_계_30~39세,"47,622","2,451","1,785","2,339","2,502","2,503","2,299","3,140","3,116","3,034","1,817","2,420","1,671","1,379","2,342","1,923","2,811","1,220","3,477","2,203","3,190"
2020년08월_계_40~49세,"51,527","1,778","1,500","3,329","3,147","3,050","1,800","2,394","3,025","3,751","2,943","3,583","1,500","1,822","2,773","2,390","2,450","1,613","4,337","1,578","2,764"
2020년08월_계_50~59세,"58,725","2,543","1,563","3,271","3,701","3,632","1,694","2,288","3,131","3,727","3,451","4,538","1,546","2,310","3,467","2,914","2,552","1,967","5,499","1,724","3,207"
2020년08월_계_60~69세,"54,885","2,391","1,284","3,326","4,048","3,002","1,622","2,133","3,297","3,174","2,669","4,047","1,569","1,864","3,355","2,927","2,128","1,908","4,886","1,671","3,584"
2020년08월_계_70~79세,"31,695","1,341",570,"2,031","2,663","1,719","1,023","1,428","2,147","1,981","1,460","2,162",921,"1,045","1,975","1,691","1,199","1,148","2,187",938,"2,066"
2020년08월_계_80~89세,"12,619",526,218,822,"1,032",786,418,618,872,666,528,947,361,407,683,586,447,450,"1,006",414,832
2020년08월_계_90~99세,"1,502",69,46,98,108,87,55,93,92,84,62,136,36,45,77,78,49,39,111,52,85
2020년08월_계_100세 이상,228,14,7,6,13,12,8,16,13,31,11,12,7,8,8,12,3,3,9,9,26
