카테고리,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2021년06월_계_총인구수,"450,992","30,996","30,063","22,088","25,603","41,520","20,635","20,904","15,373","18,151","14,859","13,764","20,162","20,512","19,623","49,559","32,995","24,825","29,360"
2021년06월_계_연령구간인구수,"450,992","30,996","30,063","22,088","25,603","41,520","20,635","20,904","15,373","18,151","14,859","13,764","20,162","20,512","19,623","49,559","32,995","24,825","29,360"
2021년06월_계_0~9세,"30,688","2,874","1,659","1,269","1,341","3,256",957,"1,388",814,"1,402",943,"1,464","1,016","1,798","1,274","3,706","1,577","2,049","1,901"
2021년06월_계_10~19세,"50,002","5,033","2,456","1,526","3,255","7,409","1,287","1,772","1,104","1,602","1,258","1,215","1,312","2,930","2,948","5,621","2,288","3,616","3,370"
2021년06월_계_20~29세,"58,724","3,272","4,922","3,468","4,124","4,367","2,637","2,599","2,011","2,155","2,134","1,570","2,557","2,391","2,442","6,204","5,252","3,111","3,508"
2021년06월_계_30~39세,"56,731","3,193","5,228","3,948","2,726","3,799","2,711","2,917","1,954","2,373","2,053","2,562","2,604","2,008","1,790","6,113","4,921","2,708","3,123"
2021년06월_계_40~49세,"77,790","6,787","4,593","3,151","4,427","8,910","3,043","3,261","2,184","3,025","2,272","2,177","2,911","4,015","3,718","8,472","5,117","4,694","5,033"
2021년06월_계_50~59세,"76,068","4,956","4,827","3,576","4,842","6,734","3,735","3,273","2,863","2,823","2,506","2,014","3,505","3,489","3,528","8,484","5,352","4,383","5,178"
2021년06월_계_60~69세,"59,438","2,988","3,916","3,087","2,769","4,378","3,709","3,331","2,543","2,787","2,217","1,733","3,507","2,252","2,306","6,294","4,825","2,712","4,084"
2021년06월_계_70~79세,"28,814","1,316","1,705","1,377","1,483","1,763","1,857","1,739","1,363","1,395","1,055",770,"1,815","1,071","1,101","3,239","2,664","1,027","2,074"
2021년06월_계_80~89세,"11,008",487,664,600,549,743,599,542,484,523,369,225,837,458,443,"1,229",889,423,944
2021년06월_계_90~99세,"1,660",86,90,81,77,157,95,79,51,63,52,30,95,98,69,191,105,101,140
2021년06월_계_100세 이상,69,4,3,5,10,4,5,3,2,3,0,4,3,2,4,6,5,1,5
2021년06월_남_총인구수,"221,140","14,881","14,626","10,532","12,500","20,621","10,575","10,249","8,089","8,879","7,351","6,764","9,869","10,006","9,615","24,151","16,155","12,082","14,195"
2021년06월_남_연령구간인구수,"221,140","14,881","14,626","10,532","12,500","20,621","10,575","10,249","8,089","8,879","7,351","6,764","9,869","10,006","9,615","24,151","16,155","12,082","14,195"
2021년06월_남_0~9세,"15,754","1,441",854,662,633,"1,730",497,708,445,689,474,763,532,932,631,"1,889",843,"1,054",977
2021년06월_남_10~19세,"26,079","2,514","1,290",832,"1,749","4,067",654,880,567,848,674,591,669,"1,499","1,533","2,888","1,183","1,880","1,761"
2021년06월_남_20~29세,"29,849","1,610","2,411","1,656","2,194","2,274","1,369","1,330","1,066","1,123","1,075",791,"1,342","1,225","1,252","3,212","2,486","1,605","1,828"
2021년06월_남_30~39세,"28,000","1,353","2,667","1,951","1,359","1,680","1,496","1,488","1,056","1,164","1,077","1,277","1,391",873,853,"2,995","2,625","1,203","1,492"
2021년06월_남_40~49세,"37,181","3,070","2,210","1,502","1,973","3,948","1,608","1,658","1,208","1,533","1,131","1,101","1,493","1,889","1,711","4,078","2,536","2,125","2,407"
2021년06월_남_50~59세,"37,805","2,604","2,275","1,627","2,374","3,500","1,966","1,606","1,570","1,362","1,207",969,"1,706","1,786","1,811","4,164","2,567","2,162","2,549"
2021년06월_남_60~69세,"28,486","1,443","1,860","1,429","1,342","2,162","1,863","1,518","1,371","1,304","1,064",817,"1,647","1,087","1,159","2,921","2,233","1,331","1,935"
2021년06월_남_70~79세,"13,605",646,810,648,675,938,882,840,618,661,500,370,784,513,490,"1,511","1,262",543,914
2021년06월_남_80~89세,"3,970",173,226,203,180,279,225,206,179,175,141,80,283,179,158,449,390,147,297
2021년06월_남_90~99세,397,25,23,21,18,43,14,14,8,20,8,5,19,23,17,44,29,32,34
2021년06월_남_100세 이상,14,2,0,1,3,0,1,1,1,0,0,0,3,0,0,0,1,0,1
2021년06월_여_총인구수,"229,852","16,115","15,437","11,556","13,103","20,899","10,060","10,655","7,284","9,272","7,508","7,000","10,293","10,506","10,008","25,408","16,840","12,743","15,165"
2021년06월_여_연령구간인구수,"229,852","16,115","15,437","11,556","13,103","20,899","10,060","10,655","7,284","9,272","7,508","7,000","10,293","10,506","10,008","25,408","16,840","12,743","15,165"
2021년06월_여_0~9세,"14,934","1,433",805,607,708,"1,526",460,680,369,713,469,701,484,866,643,"1,817",734,995,924
2021년06월_여_10~19세,"23,923","2,519","1,166",694,"1,506","3,342",633,892,537,754,584,624,643,"1,431","1,415","2,733","1,105","1,736","1,609"
2021년06월_여_20~29세,"28,875","1,662","2,511","1,812","1,930","2,093","1,268","1,269",945,"1,032","1,059",779,"1,215","1,166","1,190","2,992","2,766","1,506","1,680"
2021년06월_여_30~39세,"28,731","1,840","2,561","1,997","1,367","2,119","1,215","1,429",898,"1,209",976,"1,285","1,213","1,135",937,"3,118","2,296","1,505","1,631"
2021년06월_여_40~49세,"40,609","3,717","2,383","1,649","2,454","4,962","1,435","1,603",976,"1,492","1,141","1,076","1,418","2,126","2,007","4,394","2,581","2,569","2,626"
2021년06월_여_50~59세,"38,263","2,352","2,552","1,949","2,468","3,234","1,769","1,667","1,293","1,461","1,299","1,045","1,799","1,703","1,717","4,320","2,785","2,221","2,629"
2021년06월_여_60~69세,"30,952","1,545","2,056","1,658","1,427","2,216","1,846","1,813","1,172","1,483","1,153",916,"1,860","1,165","1,147","3,373","2,592","1,381","2,149"
2021년06월_여_70~79세,"15,209",670,895,729,808,825,975,899,745,734,555,400,"1,031",558,611,"1,728","1,402",484,"1,160"
2021년06월_여_80~89세,"7,038",314,438,397,369,464,374,336,305,348,228,145,554,279,285,780,499,276,647
2021년06월_여_90~99세,"1,263",61,67,60,59,114,81,65,43,43,44,25,76,75,52,147,76,69,106
2021년06월_여_100세 이상,55,2,3,4,7,4,4,2,1,3,0,4,0,2,4,6,4,1,4
