,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2021년07월_계_총인구수,"50,312","29,077","3,223","1,399","1,905","2,367","2,984","4,148","2,221","2,988"
2021년07월_계_연령구간인구수,"50,312","29,077","3,223","1,399","1,905","2,367","2,984","4,148","2,221","2,988"
2021년07월_계_0~9세,"2,491","2,040",90,37,37,34,46,98,51,58
2021년07월_계_10~19세,"3,808","2,998",125,61,63,61,144,173,74,109
2021년07월_계_20~29세,"4,213","3,086",206,55,84,80,126,257,137,182
2021년07월_계_30~39세,"3,781","2,738",171,67,78,78,113,245,121,170
2021년07월_계_40~49세,"6,123","4,467",283,96,142,128,204,360,164,279
2021년07월_계_50~59세,"8,764","4,951",602,253,319,432,479,735,399,594
2021년07월_계_60~69세,"10,350","4,577",874,373,537,696,838,"1,044",586,825
2021년07월_계_70~79세,"6,328","2,705",477,242,340,417,595,714,386,452
2021년07월_계_80~89세,"3,828","1,313",335,176,261,378,387,448,258,272
2021년07월_계_90~99세,613,199,59,39,41,60,51,74,45,45
2021년07월_계_100세 이상,13,3,1,0,3,3,1,0,0,2
2021년07월_남_총인구수,"25,350","14,532","1,658",698,979,"1,191","1,451","2,133","1,154","1,554"
2021년07월_남_연령구간인구수,"25,350","14,532","1,658",698,979,"1,191","1,451","2,133","1,154","1,554"
2021년07월_남_0~9세,"1,277","1,047",47,19,21,18,17,46,31,31
2021년07월_남_10~19세,"2,016","1,592",61,33,33,33,81,94,33,56
2021년07월_남_20~29세,"2,412","1,717",139,34,52,55,71,156,79,109
2021년07월_남_30~39세,"1,947","1,367",90,41,48,38,61,143,63,96
2021년07월_남_40~49세,"3,290","2,271",158,62,92,84,124,236,109,154
2021년07월_남_50~59세,"4,720","2,575",338,133,189,245,276,408,222,334
2021년07월_남_60~69세,"5,299","2,230",473,198,284,383,423,546,319,443
2021년07월_남_70~79세,"2,934","1,202",226,115,164,194,271,351,197,214
2021년07월_남_80~89세,"1,300",489,109,53,83,122,112,135,92,105
2021년07월_남_90~99세,154,42,17,10,12,19,15,18,9,12
2021년07월_남_100세 이상,1,0,0,0,1,0,0,0,0,0
2021년07월_여_총인구수,"24,962","14,545","1,565",701,926,"1,176","1,533","2,015","1,067","1,434"
2021년07월_여_연령구간인구수,"24,962","14,545","1,565",701,926,"1,176","1,533","2,015","1,067","1,434"
2021년07월_여_0~9세,"1,214",993,43,18,16,16,29,52,20,27
2021년07월_여_10~19세,"1,792","1,406",64,28,30,28,63,79,41,53
2021년07월_여_20~29세,"1,801","1,369",67,21,32,25,55,101,58,73
2021년07월_여_30~39세,"1,834","1,371",81,26,30,40,52,102,58,74
2021년07월_여_40~49세,"2,833","2,196",125,34,50,44,80,124,55,125
2021년07월_여_50~59세,"4,044","2,376",264,120,130,187,203,327,177,260
2021년07월_여_60~69세,"5,051","2,347",401,175,253,313,415,498,267,382
2021년07월_여_70~79세,"3,394","1,503",251,127,176,223,324,363,189,238
2021년07월_여_80~89세,"2,528",824,226,123,178,256,275,313,166,167
2021년07월_여_90~99세,459,157,42,29,29,41,36,56,36,33
2021년07월_여_100세 이상,12,3,1,0,2,3,1,0,0,2
