,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2021년07월_계_총인구수,"51,384","20,953","1,909","2,808","2,190","3,362","2,421","4,433","2,273","2,518","2,200","2,631","2,533","1,153"
2021년07월_계_연령구간인구수,"51,384","20,953","1,909","2,808","2,190","3,362","2,421","4,433","2,273","2,518","2,200","2,631","2,533","1,153"
2021년07월_계_0~9세,"2,460","1,620",39,58,63,95,46,196,73,43,58,68,69,32
2021년07월_계_10~19세,"3,618","2,330",55,110,115,144,80,277,99,95,82,99,101,31
2021년07월_계_20~29세,"4,162","2,192",114,180,146,192,126,358,148,150,161,170,160,65
2021년07월_계_30~39세,"3,721","1,990",103,154,168,213,100,343,131,109,108,129,115,58
2021년07월_계_40~49세,"5,910","3,068",137,231,216,363,184,500,212,205,176,246,249,123
2021년07월_계_50~59세,"8,660","3,460",301,469,386,488,427,836,396,404,403,440,442,208
2021년07월_계_60~69세,"9,796","3,055",457,581,466,754,564,917,566,536,468,562,588,282
2021년07월_계_70~79세,"7,692","2,018",372,564,342,714,489,623,417,522,410,516,492,213
2021년07월_계_80~89세,"4,702","1,099",279,401,243,357,361,332,201,395,294,351,271,118
2021년07월_계_90~99세,642,116,51,60,43,40,42,50,27,57,39,48,46,23
2021년07월_계_100세 이상,21,5,1,0,2,2,2,1,3,2,1,2,0,0
2021년07월_남_총인구수,"25,528","10,243",932,"1,409","1,141","1,689","1,206","2,266","1,167","1,239","1,083","1,286","1,250",617
2021년07월_남_연령구간인구수,"25,528","10,243",932,"1,409","1,141","1,689","1,206","2,266","1,167","1,239","1,083","1,286","1,250",617
2021년07월_남_0~9세,"1,292",839,22,33,23,38,22,112,45,24,33,39,45,17
2021년07월_남_10~19세,"1,887","1,208",37,54,63,72,49,136,60,51,41,50,52,14
2021년07월_남_20~29세,"2,355","1,220",64,109,81,102,66,202,101,82,83,97,109,39
2021년07월_남_30~39세,"2,008",972,63,92,105,138,58,195,72,77,66,70,62,38
2021년07월_남_40~49세,"3,297","1,516",91,157,140,234,128,302,123,132,105,140,147,82
2021년07월_남_50~59세,"4,793","1,735",175,279,232,293,240,463,228,248,243,272,249,136
2021년07월_남_60~69세,"4,894","1,492",222,310,261,358,294,455,268,268,253,279,280,154
2021년07월_남_70~79세,"3,361",874,157,236,145,318,222,288,201,219,172,213,219,97
2021년07월_남_80~89세,"1,502",364,89,123,80,125,116,105,64,124,81,113,80,38
2021년07월_남_90~99세,137,23,12,16,10,11,10,8,5,14,6,13,7,2
2021년07월_남_100세 이상,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021년07월_여_총인구수,"25,856","10,710",977,"1,399","1,049","1,673","1,215","2,167","1,106","1,279","1,117","1,345","1,283",536
2021년07월_여_연령구간인구수,"25,856","10,710",977,"1,399","1,049","1,673","1,215","2,167","1,106","1,279","1,117","1,345","1,283",536
2021년07월_여_0~9세,"1,168",781,17,25,40,57,24,84,28,19,25,29,24,15
2021년07월_여_10~19세,"1,731","1,122",18,56,52,72,31,141,39,44,41,49,49,17
2021년07월_여_20~29세,"1,807",972,50,71,65,90,60,156,47,68,78,73,51,26
2021년07월_여_30~39세,"1,713","1,018",40,62,63,75,42,148,59,32,42,59,53,20
2021년07월_여_40~49세,"2,613","1,552",46,74,76,129,56,198,89,73,71,106,102,41
2021년07월_여_50~59세,"3,867","1,725",126,190,154,195,187,373,168,156,160,168,193,72
2021년07월_여_60~69세,"4,902","1,563",235,271,205,396,270,462,298,268,215,283,308,128
2021년07월_여_70~79세,"4,331","1,144",215,328,197,396,267,335,216,303,238,303,273,116
2021년07월_여_80~89세,"3,200",735,190,278,163,232,245,227,137,271,213,238,191,80
2021년07월_여_90~99세,505,93,39,44,33,29,32,42,22,43,33,35,39,21
2021년07월_여_100세 이상,19,5,1,0,1,2,1,1,3,2,1,2,0,0
