카테고리,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2021년01월_계_총인구수,"38,768","4,197",240,"5,785",243,225,"1,468",315,"3,148","2,250","3,546","2,501",221,"2,297",475,228,490,323,"1,764","1,544","1,547","2,700",273,966,"2,022"
2021년01월_계_연령구간인구수,"38,768","4,197",240,"5,785",243,225,"1,468",315,"3,148","2,250","3,546","2,501",221,"2,297",475,228,490,323,"1,764","1,544","1,547","2,700",273,966,"2,022"
2021년01월_계_0~9세,"1,529",132,5,221,10,13,45,6,172,81,137,104,9,70,13,15,27,11,77,70,72,117,11,19,92
2021년01월_계_10~19세,"2,038",226,6,286,6,6,47,11,221,97,214,218,5,123,28,14,30,20,107,101,63,99,8,30,72
2021년01월_계_20~29세,"2,755",281,13,503,9,6,100,21,227,135,214,163,8,203,64,17,47,33,119,133,81,195,16,46,121
2021년01월_계_30~39세,"2,658",256,16,414,15,11,92,18,213,136,228,166,13,190,57,14,50,25,120,121,104,178,31,63,127
2021년01월_계_40~49세,"4,273",441,15,635,22,20,192,35,398,209,410,267,31,295,83,27,89,41,196,213,158,215,25,80,176
2021년01월_계_50~59세,"7,010",770,54,"1,103",38,36,287,68,561,431,637,382,61,438,96,45,106,63,312,281,234,453,46,143,365
2021년01월_계_60~69세,"7,641",850,51,"1,238",64,48,234,71,590,452,690,456,45,392,70,45,69,66,332,283,335,552,63,218,427
2021년01월_계_70~79세,"6,372",734,41,824,55,56,289,58,504,426,627,411,30,324,39,25,41,41,284,198,289,477,45,214,340
2021년01월_계_80~89세,"3,970",442,37,482,22,27,165,26,244,258,341,305,16,215,24,23,31,18,194,127,189,352,25,135,272
2021년01월_계_90~99세,505,64,2,76,2,2,17,1,18,24,48,28,2,42,1,3,0,5,23,15,20,61,3,18,30
2021년01월_계_100세 이상,17,1,0,3,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,2,2,1,0,0,0
2021년01월_남_총인구수,"20,665","2,190",126,"3,118",123,131,799,183,"1,678","1,188","1,862","1,281",129,"1,273",310,127,281,193,936,842,811,"1,401",151,483,"1,049"
