,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2021년08월_계_총인구수,"122,852","2,223","4,848","2,854","4,043","4,588","5,219","1,714","7,579","13,957","16,796","13,648","10,364","10,402","12,510","12,107"
2021년08월_계_연령구간인구수,"122,852","2,223","4,848","2,854","4,043","4,588","5,219","1,714","7,579","13,957","16,796","13,648","10,364","10,402","12,510","12,107"
2021년08월_계_0~9세,"6,419",160,189,81,176,177,127,37,248,535,"1,016",714,550,690,731,988
2021년08월_계_10~19세,"6,602",120,209,130,185,264,184,38,280,789,934,846,540,841,497,745
2021년08월_계_20~29세,"18,344",258,494,374,742,"1,199","1,038",220,"1,343","2,311","2,037","1,901","1,644","1,357","2,062","1,364"
2021년08월_계_30~39세,"19,915",491,537,399,665,672,862,305,"1,326","2,202","2,374","2,126","1,682","1,324","2,793","2,157"
2021년08월_계_40~49세,"17,569",497,656,418,460,571,639,183,"1,043","1,966","2,386","1,867","1,532","1,523","1,805","2,023"
2021년08월_계_50~59세,"20,153",307,925,478,592,589,810,284,"1,319","2,275","2,779","2,305","1,858","1,929","1,792","1,911"
2021년08월_계_60~69세,"17,851",242,"1,036",502,617,534,834,381,"1,079","2,000","2,705","2,028","1,341","1,486","1,550","1,516"
2021년08월_계_70~79세,"10,300",99,524,307,356,362,504,175,635,"1,235","1,587","1,151",816,748,883,918
2021년08월_계_80~89세,"4,832",40,224,137,189,192,191,74,254,552,824,623,354,433,334,411
2021년08월_계_90~99세,807,8,53,24,52,27,28,17,50,82,150,85,44,62,62,63
2021년08월_계_100세 이상,60,1,1,4,9,1,2,0,2,10,4,2,3,9,1,11
2021년08월_남_총인구수,"59,868","1,063","2,530","1,246","2,057","2,336","2,671","1,044","3,774","6,772","7,846","6,461","5,050","5,034","5,975","6,009"
2021년08월_남_연령구간인구수,"59,868","1,063","2,530","1,246","2,057","2,336","2,671","1,044","3,774","6,772","7,846","6,461","5,050","5,034","5,975","6,009"
2021년08월_남_0~9세,"3,324",82,101,48,95,91,66,17,105,284,502,372,282,385,383,511
2021년08월_남_10~19세,"3,272",38,90,59,94,132,85,17,124,427,470,417,264,418,247,390
2021년08월_남_20~29세,"8,554",96,230,167,355,639,435,101,612,"1,114",965,917,743,672,846,662
2021년08월_남_30~39세,"9,945",224,242,216,353,357,489,176,672,"1,151","1,131","1,060",843,629,"1,391","1,011"
2021년08월_남_40~49세,"8,973",262,352,185,251,302,345,117,576,995,"1,179",912,786,743,904,"1,064"
2021년08월_남_50~59세,"10,204",151,531,201,344,298,454,209,712,"1,082","1,312","1,111",978,938,902,981
2021년08월_남_60~69세,"8,920",141,606,216,308,268,455,260,562,934,"1,253",970,657,745,750,795
2021년08월_남_70~79세,"4,654",52,269,110,171,166,256,105,295,562,696,449,355,333,414,421
2021년08월_남_80~89세,"1,787",14,96,39,68,75,74,35,102,202,297,230,127,150,123,155
2021년08월_남_90~99세,219,3,13,4,16,8,11,7,12,20,39,22,15,18,15,16
2021년08월_남_100세 이상,16,0,0,1,2,0,1,0,2,1,2,1,0,3,0,3
2021년08월_여_총인구수,"62,984","1,160","2,318","1,608","1,986","2,252","2,548",670,"3,805","7,185","8,950","7,187","5,314","5,368","6,535","6,098"
2021년08월_여_연령구간인구수,"62,984","1,160","2,318","1,608","1,986","2,252","2,548",670,"3,805","7,185","8,950","7,187","5,314","5,368","6,535","6,098"
2021년08월_여_0~9세,"3,095",78,88,33,81,86,61,20,143,251,514,342,268,305,348,477
2021년08월_여_10~19세,"3,330",82,119,71,91,132,99,21,156,362,464,429,276,423,250,355
2021년08월_여_20~29세,"9,790",162,264,207,387,560,603,119,731,"1,197","1,072",984,901,685,"1,216",702
2021년08월_여_30~39세,"9,970",267,295,183,312,315,373,129,654,"1,051","1,243","1,066",839,695,"1,402","1,146"
2021년08월_여_40~49세,"8,596",235,304,233,209,269,294,66,467,971,"1,207",955,746,780,901,959
2021년08월_여_50~59세,"9,949",156,394,277,248,291,356,75,607,"1,193","1,467","1,194",880,991,890,930
2021년08월_여_60~69세,"8,931",101,430,286,309,266,379,121,517,"1,066","1,452","1,058",684,741,800,721
2021년08월_여_70~79세,"5,646",47,255,197,185,196,248,70,340,673,891,702,461,415,469,497
2021년08월_여_80~89세,"3,045",26,128,98,121,117,117,39,152,350,527,393,227,283,211,256
2021년08월_여_90~99세,588,5,40,20,36,19,17,10,38,62,111,63,29,44,47,47
2021년08월_여_100세 이상,44,1,1,3,7,1,1,0,0,9,2,1,3,6,1,8
