카테고리,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2020년01월_계_총인구수,"159,844","6,569","4,200","3,084","3,707","5,252","2,904","1,865","2,151","2,996","2,790","1,806","1,922","1,678","1,796","5,246","5,186","22,365","9,416","13,687","6,565","6,478","22,480","15,790","9,911"
2020년01월_계_연령구간인구수,"159,844","6,569","4,200","3,084","3,707","5,252","2,904","1,865","2,151","2,996","2,790","1,806","1,922","1,678","1,796","5,246","5,186","22,365","9,416","13,687","6,565","6,478","22,480","15,790","9,911"
2020년01월_계_0~9세,"11,155",216,98,71,89,225,54,39,61,81,54,34,47,28,31,270,336,"1,959",722,967,437,411,"2,222","1,567","1,136"
2020년01월_계_10~19세,"14,160",292,227,99,170,273,141,72,88,118,78,54,56,52,71,387,429,"2,406",918,"1,031",570,630,"2,742","1,714","1,542"
2020년01월_계_20~29세,"16,937",498,325,160,394,588,157,87,187,228,154,96,102,67,84,573,550,"3,054",868,"1,521",669,717,"2,811","1,903","1,144"
2020년01월_계_30~39세,"16,072",422,198,184,224,592,138,93,132,174,130,73,88,80,80,564,498,"2,613",908,"1,659",682,634,"2,715","2,094","1,097"
2020년01월_계_40~49세,"22,799",642,384,343,384,589,285,180,190,298,196,165,135,142,153,662,756,"3,607","1,412","1,956",926,901,"3,922","2,595","1,976"
2020년01월_계_50~59세,"27,017","1,142",711,584,651,839,497,307,461,557,550,325,409,304,307,862,968,"3,538","1,527","2,330","1,102","1,264","3,664","2,726","1,392"
2020년01월_계_60~69세,"24,377","1,362",880,605,803,883,622,385,451,666,666,451,450,421,447,915,800,"2,662","1,466","2,142","1,112","1,075","2,465","1,799",849
2020년01월_계_70~79세,"16,640","1,132",764,567,552,749,561,382,328,493,570,350,382,346,358,675,568,"1,583","1,031","1,386",716,595,"1,211",852,489
2020년01월_계_80~89세,"9,258",744,538,401,366,448,384,274,217,317,350,234,222,209,236,284,250,831,492,611,290,219,630,468,243
2020년01월_계_90~99세,"1,366",111,71,68,73,63,63,45,36,61,41,20,29,29,28,52,31,106,67,77,59,32,96,67,41
2020년01월_계_100세 이상,63,8,4,2,1,3,2,1,0,3,1,4,2,0,1,2,0,6,5,7,2,0,2,5,2
2020년01월_남_총인구수,"79,122","3,314","2,171","1,616","1,939","2,720","1,414",908,"1,100","1,572","1,404",931,990,894,935,"2,570","2,495","11,091","4,525","6,819","3,198","3,226","10,723","7,638","4,929"
2020년01월_남_연령구간인구수,"79,122","3,314","2,171","1,616","1,939","2,720","1,414",908,"1,100","1,572","1,404",931,990,894,935,"2,570","2,495","11,091","4,525","6,819","3,198","3,226","10,723","7,638","4,929"
2020년01월_남_0~9세,"5,866",117,53,34,50,122,31,16,38,31,25,22,27,14,22,149,182,"1,035",387,497,209,218,"1,168",824,595
2020년01월_남_10~19세,"7,406",158,134,60,99,146,89,40,41,61,42,25,35,29,35,192,208,"1,226",468,579,303,322,"1,415",884,815
2020년01월_남_20~29세,"9,300",291,196,106,209,329,95,52,113,152,91,59,63,43,51,321,294,"1,706",464,846,381,381,"1,442","1,001",614
2020년01월_남_30~39세,"8,282",236,111,121,133,340,74,55,78,100,77,48,53,53,53,283,236,"1,325",455,868,360,347,"1,302","1,068",506
2020년01월_남_40~49세,"11,884",398,239,228,237,356,175,116,114,194,141,111,89,100,99,360,401,"1,795",710,"1,030",489,449,"1,885","1,233",935
2020년01월_남_50~59세,"13,739",634,396,343,375,474,276,179,253,328,311,187,219,179,172,447,482,"1,760",745,"1,128",509,617,"1,712","1,270",743
2020년01월_남_60~69세,"11,819",685,455,303,418,434,294,196,236,361,351,242,239,216,243,404,378,"1,259",654,998,496,509,"1,133",883,432
2020년01월_남_70~79세,"7,333",512,358,255,267,341,244,159,150,233,219,149,174,162,171,306,237,682,450,630,333,286,472,334,209
2020년01월_남_80~89세,"3,169",251,209,150,131,159,123,90,71,91,134,82,82,91,81,100,68,275,175,225,110,87,181,128,75
2020년01월_남_90~99세,310,30,20,16,20,18,13,5,6,20,13,6,9,7,7,6,9,25,17,16,8,10,13,11,5
2020년01월_남_100세 이상,14,2,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,3,0,2,0,0,0,2,0
2020년01월_여_총인구수,"80,722","3,255","2,029","1,468","1,768","2,532","1,490",957,"1,051","1,424","1,386",875,932,784,861,"2,676","2,691","11,274","4,891","6,868","3,367","3,252","11,757","8,152","4,982"
2020년01월_여_연령구간인구수,"80,722","3,255","2,029","1,468","1,768","2,532","1,490",957,"1,051","1,424","1,386",875,932,784,861,"2,676","2,691","11,274","4,891","6,868","3,367","3,252","11,757","8,152","4,982"
2020년01월_여_0~9세,"5,289",99,45,37,39,103,23,23,23,50,29,12,20,14,9,121,154,924,335,470,228,193,"1,054",743,541
2020년01월_여_10~19세,"6,754",134,93,39,71,127,52,32,47,57,36,29,21,23,36,195,221,"1,180",450,452,267,308,"1,327",830,727
2020년01월_여_20~29세,"7,637",207,129,54,185,259,62,35,74,76,63,37,39,24,33,252,256,"1,348",404,675,288,336,"1,369",902,530
2020년01월_여_30~39세,"7,790",186,87,63,91,252,64,38,54,74,53,25,35,27,27,281,262,"1,288",453,791,322,287,"1,413","1,026",591
2020년01월_여_40~49세,"10,915",244,145,115,147,233,110,64,76,104,55,54,46,42,54,302,355,"1,812",702,926,437,452,"2,037","1,362","1,041"
2020년01월_여_50~59세,"13,278",508,315,241,276,365,221,128,208,229,239,138,190,125,135,415,486,"1,778",782,"1,202",593,647,"1,952","1,456",649
2020년01월_여_60~69세,"12,558",677,425,302,385,449,328,189,215,305,315,209,211,205,204,511,422,"1,403",812,"1,144",616,566,"1,332",916,417
2020년01월_여_70~79세,"9,307",620,406,312,285,408,317,223,178,260,351,201,208,184,187,369,331,901,581,756,383,309,739,518,280
2020년01월_여_80~89세,"6,089",493,329,251,235,289,261,184,146,226,216,152,140,118,155,184,182,556,317,386,180,132,449,340,168
