카테고리,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2020년11월_계_총인구수,"43,531","7,891","19,333","3,229","3,939","2,637","1,783","1,028","2,769",197,725
2020년11월_계_연령구간인구수,"43,531","7,891","19,333","3,229","3,939","2,637","1,783","1,028","2,769",197,725
2020년11월_계_0~9세,"2,752",707,"1,583",93,122,81,50,23,60,9,24
2020년11월_계_10~19세,"3,191",449,"1,944",178,193,149,68,51,116,9,34
2020년11월_계_20~29세,"5,375","1,247","2,444",335,465,232,142,81,328,42,59
2020년11월_계_30~39세,"4,242","1,020","2,183",191,269,183,124,67,152,12,41
2020년11월_계_40~49세,"4,985",812,"2,690",297,407,248,144,80,231,17,59
2020년11월_계_50~59세,"7,163","1,064","3,184",591,700,513,342,157,439,32,141
2020년11월_계_60~69세,"7,507","1,115","2,731",695,855,552,472,238,651,35,163
2020년11월_계_70~79세,"5,053",878,"1,532",504,572,430,267,223,499,26,122
2020년11월_계_80~89세,"2,819",514,869,312,304,232,151,97,257,13,70
2020년11월_계_90~99세,399,81,152,29,44,15,21,10,34,1,12
2020년11월_계_100세 이상,45,4,21,4,8,2,2,1,2,1,0
2020년11월_남_총인구수,"22,801","4,291","9,818","1,711","2,096","1,424",950,549,"1,485",113,364
2020년11월_남_연령구간인구수,"22,801","4,291","9,818","1,711","2,096","1,424",950,549,"1,485",113,364
2020년11월_남_0~9세,"1,396",354,813,45,54,40,28,13,29,4,16
2020년11월_남_10~19세,"1,698",252,"1,002",97,116,87,38,32,54,3,17
2020년11월_남_20~29세,"3,419",869,"1,372",233,326,149,86,51,260,37,36
2020년11월_남_30~39세,"2,416",613,"1,175",111,163,115,72,41,96,7,23
2020년11월_남_40~49세,"2,726",458,"1,373",177,247,143,87,52,142,8,39
2020년11월_남_50~59세,"3,844",599,"1,661",318,377,284,182,91,246,18,68
2020년11월_남_60~69세,"3,869",556,"1,384",379,440,296,269,121,324,18,82
2020년11월_남_70~79세,"2,294",379,702,228,251,203,119,106,235,14,57
2020년11월_남_80~89세,"1,015",185,288,112,109,101,61,40,89,4,26
2020년11월_남_90~99세,108,26,39,9,12,5,7,1,9,0,0
2020년11월_남_100세 이상,16,0,9,2,1,1,1,1,1,0,0
2020년11월_여_총인구수,"20,730","3,600","9,515","1,518","1,843","1,213",833,479,"1,284",84,361
2020년11월_여_연령구간인구수,"20,730","3,600","9,515","1,518","1,843","1,213",833,479,"1,284",84,361
2020년11월_여_0~9세,"1,356",353,770,48,68,41,22,10,31,5,8
2020년11월_여_10~19세,"1,493",197,942,81,77,62,30,19,62,6,17
2020년11월_여_20~29세,"1,956",378,"1,072",102,139,83,56,30,68,5,23
2020년11월_여_30~39세,"1,826",407,"1,008",80,106,68,52,26,56,5,18
2020년11월_여_40~49세,"2,259",354,"1,317",120,160,105,57,28,89,9,20
2020년11월_여_50~59세,"3,319",465,"1,523",273,323,229,160,66,193,14,73
2020년11월_여_60~69세,"3,638",559,"1,347",316,415,256,203,117,327,17,81
2020년11월_여_70~79세,"2,759",499,830,276,321,227,148,117,264,12,65
2020년11월_여_80~89세,"1,804",329,581,200,195,131,90,57,168,9,44
2020년11월_여_90~99세,291,55,113,20,32,10,14,9,25,1,12
2020년11월_여_100세 이상,29,4,12,2,7,1,1,0,1,1,0
