카테고리,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2021년07월_계_총인구수,"77,284","32,870","10,075","2,433","3,054","3,129","1,773","2,520","6,695","2,471","4,467","3,480","4,317"
2021년07월_계_연령구간인구수,"77,284","32,870","10,075","2,433","3,054","3,129","1,773","2,520","6,695","2,471","4,467","3,480","4,317"
2021년07월_계_0~9세,"3,446","1,970",561,51,64,76,39,52,243,68,119,100,103
2021년07월_계_10~19세,"5,598","3,291",663,73,157,128,63,134,389,143,242,125,190
2021년07월_계_20~29세,"6,586","3,453","1,094",118,142,165,75,195,472,127,261,205,279
2021년07월_계_30~39세,"5,862","2,768","1,193",127,163,119,76,137,450,134,228,205,262
2021년07월_계_40~49세,"9,234","4,823","1,178",217,267,269,138,231,765,227,410,306,403
2021년07월_계_50~59세,"13,155","5,733","1,523",410,465,537,274,451,"1,276",407,731,576,772
2021년07월_계_60~69세,"15,469","5,643","1,746",613,763,705,492,608,"1,484",574,984,837,"1,020"
2021년07월_계_70~79세,"10,299","3,267","1,169",454,564,579,336,384,915,414,864,623,730
2021년07월_계_80~89세,"6,719","1,695",845,325,410,489,235,285,605,314,565,453,498
2021년07월_계_90~99세,883,217,100,42,56,59,45,40,92,62,61,50,59
2021년07월_계_100세 이상,33,10,3,3,3,3,0,3,4,1,2,0,1
2021년07월_남_총인구수,"38,882","16,348","5,074","1,249","1,547","1,548",898,"1,319","3,347","1,259","2,267","1,773","2,253"
2021년07월_남_연령구간인구수,"38,882","16,348","5,074","1,249","1,547","1,548",898,"1,319","3,347","1,259","2,267","1,773","2,253"
2021년07월_남_0~9세,"1,785","1,027",270,24,38,40,22,28,128,35,60,55,58
2021년07월_남_10~19세,"2,902","1,677",347,36,89,70,38,79,203,72,121,65,105
2021년07월_남_20~29세,"3,768","1,906",606,69,89,88,46,119,294,80,157,134,180
2021년07월_남_30~39세,"3,237","1,459",659,71,98,72,44,86,249,83,132,119,165
2021년07월_남_40~49세,"5,051","2,433",663,154,147,161,86,154,423,134,258,180,258
2021년07월_남_50~59세,"7,093","2,979",800,238,268,308,150,232,670,235,426,341,446
2021년07월_남_60~69세,"7,715","2,735",859,319,390,369,258,324,717,291,494,439,520
2021년07월_남_70~79세,"4,662","1,464",532,211,252,258,161,172,421,194,404,270,323
2021년07월_남_80~89세,"2,452",613,310,121,164,164,89,112,217,118,204,156,184
2021년07월_남_90~99세,211,52,28,5,12,17,4,12,25,17,11,14,14
2021년07월_남_100세 이상,6,3,0,1,0,1,0,1,0,0,0,0,0
2021년07월_여_총인구수,"38,402","16,522","5,001","1,184","1,507","1,581",875,"1,201","3,348","1,212","2,200","1,707","2,064"
2021년07월_여_연령구간인구수,"38,402","16,522","5,001","1,184","1,507","1,581",875,"1,201","3,348","1,212","2,200","1,707","2,064"
2021년07월_여_0~9세,"1,661",943,291,27,26,36,17,24,115,33,59,45,45
2021년07월_여_10~19세,"2,696","1,614",316,37,68,58,25,55,186,71,121,60,85
2021년07월_여_20~29세,"2,818","1,547",488,49,53,77,29,76,178,47,104,71,99
2021년07월_여_30~39세,"2,625","1,309",534,56,65,47,32,51,201,51,96,86,97
2021년07월_여_40~49세,"4,183","2,390",515,63,120,108,52,77,342,93,152,126,145
2021년07월_여_50~59세,"6,062","2,754",723,172,197,229,124,219,606,172,305,235,326
2021년07월_여_60~69세,"7,754","2,908",887,294,373,336,234,284,767,283,490,398,500
2021년07월_여_70~79세,"5,637","1,803",637,243,312,321,175,212,494,220,460,353,407
2021년07월_여_80~89세,"4,267","1,082",535,204,246,325,146,173,388,196,361,297,314
2021년07월_여_90~99세,672,165,72,37,44,42,41,28,67,45,50,36,45
2021년07월_여_100세 이상,27,7,3,2,3,2,0,2,4,1,2,0,1
