카테고리,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020년06월_계_80~89세,"336,956","24,312","7,321","7,321","4,735","4,935","24,264","6,071","5,527","12,666","13,481","13,910","6,832","7,078","19,350","7,706","13,594","4,172","14,005","8,004","6,001","31,878","14,390","8,508","8,980","1,813","4,723","17,799","3,861","8,479","7,351","4,154","5,471","26,574","7,235","10,506","8,833","13,578","6,582","7,384","9,980","13,948","7,953","6,793","6,270","5,168","2,736","3,577","6,090"
2020년06월_계_90~99세,"50,079","3,820","1,194","1,126",718,782,"4,069",913,876,"2,280","1,804","2,081",950,"1,131","2,979","1,125","1,907",593,"2,039","1,192",847,"4,564","1,979","1,317","1,268",364,675,"2,527",479,"1,227","1,147",691,965,"4,007","1,121","1,576","1,310","1,975",936,981,"1,413","1,950","1,206",961,963,780,399,510,942
2020년06월_계_100세 이상,"4,165",308,88,93,89,38,472,201,178,93,211,174,82,92,242,142,237,81,121,64,57,321,206,60,55,52,78,213,48,96,74,53,121,193,70,68,55,191,65,56,69,105,97,66,72,47,46,46,68
2020년06월_남_총인구수,"6,711,047","599,868","138,916","187,043","88,401","185,508","465,307","118,800","110,657","235,850","224,416","276,140","121,115","155,025","409,982","154,425","270,183","46,951","335,477","178,205","157,272","527,663","234,384","145,711","147,568","30,125","98,503","352,439","117,949","251,904","137,037","81,480","142,312","532,935","132,115","217,823","182,997","231,522","113,002","95,447","225,141","433,894","193,232","114,757","78,233","56,582","22,851","32,242","59,048"
2020년06월_남_연령구간인구수,"6,711,047","599,868","138,916","187,043","88,401","185,508","465,307","118,800","110,657","235,850","224,416","276,140","121,115","155,025","409,982","154,425","270,183","46,951","335,477","178,205","157,272","527,663","234,384","145,711","147,568","30,125","98,503","352,439","117,949","251,904","137,037","81,480","142,312","532,935","132,115","217,823","182,997","231,522","113,002","95,447","225,141","433,894","193,232","114,757","78,233","56,582","22,851","32,242","59,048"
2020년06월_남_0~9세,"597,691","51,999","9,918","17,310","5,043","19,728","36,058","7,834","7,146","21,078","17,912","20,904","8,243","12,661","30,639","12,742","24,774","3,427","23,322","12,259","11,063","42,918","19,925","10,976","12,017","2,586","8,150","34,117","12,497","23,908","11,116","6,986","15,438","52,977","11,063","22,762","19,152","22,703","10,012","7,435","26,808","54,183","18,399","10,117","4,644","3,930","1,466","1,731","3,793"
2020년06월_남_10~19세,"690,470","62,342","15,289","17,669","7,337","22,047","45,709","9,038","8,837","27,834","22,091","27,876","10,110","17,766","37,231","16,438","27,259","4,402","33,977","17,955","16,022","54,880","21,543","15,649","17,688","3,285","9,598","39,996","12,732","25,459","14,052","7,711","12,435","63,852","14,280","26,429","23,143","24,934","12,306","9,665","23,348","48,369","17,257","12,230","6,612","5,019","1,727","2,540","5,138"
2020년06월_남_20~29세,"942,471","98,563","24,145","28,656","14,924","30,838","67,800","17,943","16,354","33,503","32,317","41,290","18,321","22,969","61,334","21,179","38,937","6,079","56,397","30,636","25,761","77,275","32,586","22,621","22,068","4,444","14,076","43,628","16,713","36,449","20,174","12,178","17,509","70,494","18,487","28,841","23,166","29,332","16,744","12,118","25,376","54,306","23,523","14,441","10,415","6,634","3,432","3,525","5,789"
2020년06월_남_30~39세,"985,236","94,438","17,400","31,182","13,441","32,415","69,908","18,611","16,885","34,412","30,471","40,325","17,749","22,576","60,878","22,286","42,413","5,341","46,915","23,946","22,969","70,706","33,896","18,721","18,089","4,242","13,635","44,527","21,267","39,795","20,370","11,664","24,506","73,188","18,028","30,108","25,052","35,420","16,415","12,637","35,139","78,331","30,650","14,273","8,206","6,138","2,424","3,178","5,550"
2020년06월_남_40~49세,"1,166,172","103,127","23,025","31,914","14,307","33,881","78,371","19,497","17,854","41,020","37,335","43,937","18,287","25,650","66,188","26,748","48,529","7,455","55,953","29,693","26,260","89,330","39,691","24,708","24,931","4,529","16,462","65,224","22,592","46,904","22,305","12,321","26,047","99,353","22,903","41,512","34,938","40,720","18,038","16,090","43,324","85,399","34,743","20,092","11,238","8,346","2,745","4,317","8,410"
2020년06월_남_50~59세,"1,124,534","98,167","24,702","30,796","15,632","27,037","77,672","20,546","19,637","37,489","39,080","48,224","21,698","26,526","72,765","25,818","44,741","8,630","65,347","34,940","30,407","95,677","40,998","27,312","27,367","5,253","17,649","58,810","17,101","45,035","23,715","14,394","20,325","82,568","22,193","32,898","27,477","37,078","18,203","16,446","32,946","59,947","31,898","19,576","16,202","10,575","3,887","6,103","10,702"
2020년06월_남_60~69세,"728,210","56,981","14,595","18,908","10,587","12,891","53,820","15,383","14,882","23,555","26,312","33,985","16,488","17,497","52,777","18,151","25,898","6,246","35,461","18,612","16,849","57,941","27,001","15,747","15,193","3,458","11,824","38,828","9,338","22,939","15,777","10,422","16,159","48,645","14,902","18,585","15,158","23,321","12,675","12,094","22,488","33,424","23,033","13,823","12,673","9,051","3,765","6,080","10,821"
2020년06월_남_70~79세,"341,782","24,865","6,909","7,830","5,238","4,888","25,949","7,519","6,902","11,528","13,475","14,316","7,544","6,772","21,062","8,216","12,311","3,652","13,007","7,229","5,778","26,171","12,970","6,569","6,632","1,588","5,174","20,070","4,200","8,402","6,613","4,216","7,729","29,779","7,337","11,839","10,603","12,476","5,961","6,132","11,603","14,575","10,460","7,413","5,735","4,790","2,287","3,246","6,309"
2020년06월_남_80~89세,"121,415","8,440","2,626","2,505","1,695","1,614","8,891","2,150","1,932","4,809","4,942","4,741","2,435","2,306","6,378","2,547","4,744","1,532","4,639","2,666","1,973","11,491","5,210","3,054","3,227",645,"1,738","6,596","1,398","2,734","2,589","1,418","1,920","11,004","2,653","4,411","3,940","4,982","2,403","2,617","3,750","4,916","2,977","2,551","2,262","1,913",990,"1,369","2,298"
2020년06월_남_90~99세,"11,953",868,286,247,175,160,999,218,180,601,435,491,214,277,671,263,505,169,431,255,176,"1,190",510,335,345,86,173,581,97,252,303,154,210,"1,040",257,422,361,497,226,201,340,411,269,231,219,169,113,135,224
