,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2021년01월_계_총인구수,"2,637,639","502,736","230,381","272,355","253,475","140,511","158,675","415,949","103,043","101,799","97,159","70,919","264,150","23,216","51,601","25,030","16,638","36,245","42,245","31,310","43,335","114,777","55,709","31,407","48,675","9,035"
2021년01월_계_연령구간인구수,"2,637,639","502,736","230,381","272,355","253,475","140,511","158,675","415,949","103,043","101,799","97,159","70,919","264,150","23,216","51,601","25,030","16,638","36,245","42,245","31,310","43,335","114,777","55,709","31,407","48,675","9,035"
2021년01월_계_0~9세,"188,090","39,353","17,323","22,030","16,097","10,379","10,551","41,017","6,047","5,645","5,201","4,013","20,310",675,"1,894",973,728,"1,644","1,506","1,404","1,906","9,489","4,602","1,362","2,906",388
2021년01월_계_10~19세,"225,638","46,703","21,198","25,505","20,859","12,204","13,695","44,863","8,855","6,683","7,499","5,493","22,726",955,"2,292","1,212",924,"2,112","2,286","2,029","2,251","11,545","4,395","1,863","3,740",454
2021년01월_계_20~29세,"283,151","56,420","26,302","30,118","26,785","14,608","16,710","56,508","9,622","10,038","8,075","6,127","36,199","1,502","3,103","1,677","1,158","2,401","2,829","2,509","3,485","11,993","4,116","1,984","4,476",826
2021년01월_계_30~39세,"289,674","59,250","26,745","32,505","25,322","15,107","15,400","65,378","8,444","9,387","7,430","5,634","33,146","1,304","3,208","1,686","1,021","2,399","2,750","2,240","3,279","14,778","5,462","1,911","4,293",845
2021년01월_계_40~49세,"382,585","77,034","35,611","41,423","36,596","19,331","22,224","73,053","13,876","12,607","11,477","8,663","41,517","2,138","4,683","2,370","1,708","3,850","4,445","3,801","4,733","20,646","7,109","3,206","6,231","1,287"
2021년01월_계_50~59세,"458,984","89,959","41,325","48,634","46,852","23,878","26,412","69,826","17,887","18,213","16,668","11,940","45,038","4,280","8,657","4,715","2,961","6,145","7,258","5,918","8,459","19,673","8,067","5,746","8,602","1,830"
2021년01월_계_60~69세,"411,909","79,086","36,780","42,306","41,412","22,177","25,827","39,919","18,457","18,798","18,417","13,409","35,198","5,373","11,848","5,542","3,461","7,431","9,651","6,290","9,367","13,879","9,489","6,856","8,255","1,767"
2021년01월_계_70~79세,"241,832","37,235","17,369","19,866","24,600","13,409","16,599","16,090","11,877","12,584","12,627","9,242","19,520","4,015","8,905","4,036","2,677","5,904","6,617","4,108","5,843","7,691","6,795","4,722","5,686","1,050"
2021년01월_계_80~89세,"135,776","15,421","6,784","8,637","13,100","8,159","9,725","8,076","6,878","6,983","8,416","5,519","9,322","2,625","6,160","2,493","1,716","3,802","4,278","2,682","3,486","4,421","4,972","3,220","3,825",497
2021년01월_계_90~99세,"19,000","2,164",885,"1,279","1,762","1,205","1,467","1,167","1,039",817,"1,285",821,"1,108",333,802,305,255,527,605,318,499,622,668,507,645,79
2021년01월_계_100세 이상,"1,000",111,59,52,90,54,65,52,61,44,64,58,66,16,49,21,29,30,20,11,27,40,34,30,16,12
2021년01월_남_총인구수,"1,328,384","254,224","118,821","135,403","126,853","70,504","78,563","213,567","51,041","51,699","47,589","34,770","132,986","11,853","25,211","12,477","8,237","17,163","20,782","16,044","22,429","59,819","27,411","15,817","24,412","4,933"
2021년01월_남_연령구간인구수,"1,328,384","254,224","118,821","135,403","126,853","70,504","78,563","213,567","51,041","51,699","47,589","34,770","132,986","11,853","25,211","12,477","8,237","17,163","20,782","16,044","22,429","59,819","27,411","15,817","24,412","4,933"
2021년01월_남_0~9세,"97,000","20,438","8,974","11,464","8,241","5,391","5,530","21,139","3,127","2,868","2,688","2,074","10,354",362,994,499,386,818,769,729,963,"4,905","2,340",700,"1,485",200
2021년01월_남_10~19세,"118,494","24,464","11,136","13,328","10,903","6,583","7,163","23,361","4,615","3,588","3,921","2,974","11,795",521,"1,192",643,472,"1,080","1,169","1,080","1,259","6,096","2,354","1,001","2,027",233
2021년01월_남_20~29세,"160,287","32,356","15,544","16,812","15,109","8,202","9,152","31,358","5,659","5,935","4,692","3,481","19,862",914,"1,791","1,021",678,"1,395","1,683","1,457","2,073","6,813","2,329","1,169","2,662",496
2021년01월_남_30~39세,"154,509","31,345","14,471","16,874","13,513","7,965","7,979","34,873","4,490","5,106","3,997","2,973","17,795",750,"1,785",985,551,"1,232","1,464","1,220","1,799","8,037","2,759","1,046","2,337",508
2021년01월_남_40~49세,"199,686","38,761","18,378","20,383","19,060","10,197","11,568","36,922","7,200","6,950","6,085","4,653","21,271","1,259","2,734","1,358","1,006","2,140","2,488","2,139","2,815","11,134","3,874","1,867","3,415",790
2021년01월_남_50~59세,"237,416","45,143","21,460","23,683","24,210","12,451","13,551","35,619","9,115","9,735","8,811","6,172","22,566","2,409","4,691","2,504","1,625","3,271","3,865","3,321","4,641","10,674","4,204","3,109","4,658","1,071"
2021년01월_남_60~69세,"204,435","38,779","18,174","20,605","20,396","10,927","12,492","20,481","8,841","9,419","9,027","6,500","17,226","2,821","5,953","2,762","1,732","3,553","4,822","3,310","4,915","7,203","4,717","3,550","4,081",928
2021년01월_남_70~79세,"107,885","17,444","8,306","9,138","10,934","5,836","7,427","7,079","5,358","5,615","5,464","3,993","8,671","1,853","3,870","1,769","1,161","2,383","3,038","1,826","2,715","3,355","3,025","2,112","2,472",485
2021년01월_남_80~89세,"44,562","5,070","2,219","2,851","4,123","2,679","3,370","2,514","2,397","2,272","2,644","1,771","3,188",894,"2,015",872,558,"1,188","1,362",881,"1,130","1,452","1,682","1,135","1,170",195
2021년01월_남_90~99세,"3,895",394,142,252,342,262,316,214,228,197,247,164,247,69,177,58,60,96,121,76,113,142,124,123,103,22
2021년01월_남_100세 이상,215,30,17,13,22,11,15,7,11,14,13,15,11,1,9,6,8,7,1,5,6,8,3,5,2,5
2021년01월_여_총인구수,"1,309,255","248,512","111,560","136,952","126,622","70,007","80,112","202,382","52,002","50,100","49,570","36,149","131,164","11,363","26,390","12,553","8,401","19,082","21,463","15,266","20,906","54,958","28,298","15,590","24,263","4,102"
2021년01월_여_연령구간인구수,"1,309,255","248,512","111,560","136,952","126,622","70,007","80,112","202,382","52,002","50,100","49,570","36,149","131,164","11,363","26,390","12,553","8,401","19,082","21,463","15,266","20,906","54,958","28,298","15,590","24,263","4,102"
2021년01월_여_0~9세,"91,090","18,915","8,349","10,566","7,856","4,988","5,021","19,878","2,920","2,777","2,513","1,939","9,956",313,900,474,342,826,737,675,943,"4,584","2,262",662,"1,421",188
2021년01월_여_10~19세,"107,144","22,239","10,062","12,177","9,956","5,621","6,532","21,502","4,240","3,095","3,578","2,519","10,931",434,"1,100",569,452,"1,032","1,117",949,992,"5,449","2,041",862,"1,713",221
2021년01월_여_20~29세,"122,864","24,064","10,758","13,306","11,676","6,406","7,558","25,150","3,963","4,103","3,383","2,646","16,337",588,"1,312",656,480,"1,006","1,146","1,052","1,412","5,180","1,787",815,"1,814",330
2021년01월_여_30~39세,"135,165","27,905","12,274","15,631","11,809","7,142","7,421","30,505","3,954","4,281","3,433","2,661","15,351",554,"1,423",701,470,"1,167","1,286","1,020","1,480","6,741","2,703",865,"1,956",337
2021년01월_여_40~49세,"182,899","38,273","17,233","21,040","17,536","9,134","10,656","36,131","6,676","5,657","5,392","4,010","20,246",879,"1,949","1,012",702,"1,710","1,957","1,662","1,918","9,512","3,235","1,339","2,816",497
2021년01월_여_50~59세,"221,568","44,816","19,865","24,951","22,642","11,427","12,861","34,207","8,772","8,478","7,857","5,768","22,472","1,871","3,966","2,211","1,336","2,874","3,393","2,597","3,818","8,999","3,863","2,637","3,944",759
