,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2021년12월_계_총인구수,"262,069","15,794","32,729","12,382","17,004","15,382","44,281","16,850","12,228","8,542","8,249","12,970","6,768","12,818","13,577","8,564","15,632","8,299"
2021년12월_계_연령구간인구수,"262,069","15,794","32,729","12,382","17,004","15,382","44,281","16,850","12,228","8,542","8,249","12,970","6,768","12,818","13,577","8,564","15,632","8,299"
2021년12월_계_0~9세,"16,611",467,"2,562","1,025","1,032","1,693","3,210","1,342",470,480,480,587,266,559,694,342,"1,108",294
2021년12월_계_10~19세,"22,527",920,"3,187",872,"1,367","1,593","5,039","1,765",848,634,761,912,469,870,"1,150",378,"1,273",489
2021년12월_계_20~29세,"34,143","3,550","6,503","1,176","2,792","1,630","4,783","1,599","1,338",890,"1,027","1,381",628,"1,226","1,619","1,223","1,826",952
2021년12월_계_30~39세,"28,193","1,825","3,987","1,615","1,949","2,013","3,888","1,675","1,066",982,801,"1,278",600,"1,171","1,236","1,334","1,995",778
2021년12월_계_40~49세,"40,440","2,006","5,583","1,890","2,556","2,796","7,466","2,787","1,620","1,304","1,219","1,833",993,"1,752","2,031","1,148","2,404","1,052"
2021년12월_계_50~59세,"42,202","2,230","4,656","1,823","2,523","2,260","7,947","2,688","2,081","1,338","1,506","2,171","1,103","2,050","2,454","1,269","2,613","1,490"
2021년12월_계_60~69세,"41,484","2,345","3,519","2,021","2,467","1,870","6,596","2,785","2,549","1,626","1,369","2,596","1,327","2,708","2,334","1,401","2,360","1,611"
2021년12월_계_70~79세,"25,136","1,689","1,851","1,348","1,597","1,072","3,632","1,592","1,603",917,761,"1,543",956,"1,728","1,424",926,"1,413","1,084"
2021년12월_계_80~89세,"10,112",694,765,557,648,401,"1,507",537,585,324,289,611,393,657,578,489,577,500
2021년12월_계_90~99세,"1,191",65,112,53,72,52,210,80,66,42,35,58,32,95,57,52,63,47
2021년12월_계_100세 이상,30,3,4,2,1,2,3,0,2,5,1,0,1,2,0,2,0,2
2021년12월_남_총인구수,"127,955","7,975","16,000","6,067","8,156","7,396","21,254","8,240","5,915","4,107","4,152","6,623","3,318","6,321","6,610","4,213","7,566","4,042"
2021년12월_남_연령구간인구수,"127,955","7,975","16,000","6,067","8,156","7,396","21,254","8,240","5,915","4,107","4,152","6,623","3,318","6,321","6,610","4,213","7,566","4,042"
2021년12월_남_0~9세,"8,466",225,"1,330",528,544,836,"1,596",678,231,262,245,310,132,307,373,176,547,146
2021년12월_남_10~19세,"11,605",470,"1,648",471,701,818,"2,566",911,432,312,394,486,260,451,588,200,634,263
2021년12월_남_20~29세,"17,963","1,951","3,304",614,"1,322",830,"2,572",875,734,459,592,797,348,686,861,536,966,516
2021년12월_남_30~39세,"14,503","1,057","1,997",811,975,963,"1,840",834,588,510,427,717,326,628,635,731,"1,032",432
2021년12월_남_40~49세,"20,282","1,070","2,731","1,018","1,266","1,361","3,469","1,369",840,667,605,"1,011",531,945,"1,023",625,"1,196",555
2021년12월_남_50~59세,"20,677","1,117","2,238",884,"1,238","1,076","3,820","1,319",999,635,764,"1,110",582,"1,026","1,200",680,"1,269",720
2021년12월_남_60~69세,"19,089","1,020","1,584",916,"1,117",836,"3,126","1,288","1,136",707,679,"1,256",571,"1,231","1,107",689,"1,069",757
