,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2021년10월_계_총인구수,"418,833","17,044","15,614","16,273","20,051","22,885","11,027","19,858","18,060","11,936","14,795","23,912","10,952","11,019","16,316","12,635","14,109","22,000","18,840","11,375","17,209","30,831","28,698","33,394"
2021년10월_계_연령구간인구수,"418,833","17,044","15,614","16,273","20,051","22,885","11,027","19,858","18,060","11,936","14,795","23,912","10,952","11,019","16,316","12,635","14,109","22,000","18,840","11,375","17,209","30,831","28,698","33,394"
2021년10월_계_0~9세,"28,831","1,648","1,016","1,869","1,633","1,734",489,"1,255","1,165",989,796,"2,004",517,702,944,954,850,913,"1,017",342,"1,251","2,122","2,287","2,334"
2021년10월_계_10~19세,"49,571","2,196","1,784","2,037","4,508","2,386","1,064","3,831","2,150","1,697","1,386","4,006",818,707,"1,258",964,"1,114","1,748","1,761",597,"1,863","4,510","3,182","4,004"
2021년10월_계_20~29세,"53,359","1,941","2,213","2,038","1,939","2,884","1,786","2,462","2,093","1,249","2,013","2,672","1,722","1,395","1,981","1,180","2,136","3,162","2,456","1,265","2,081","4,205","3,866","4,620"
2021년10월_계_30~39세,"42,108","1,908","1,977","2,001","1,299","2,318","1,163","1,293","1,538","1,043","1,418","1,850","1,355","1,427","1,902","1,460","1,913","2,219","1,855",905,"1,800","2,781","3,317","3,366"
2021년10월_계_40~49세,"70,477","3,132","2,642","3,223","4,975","3,562","1,562","4,316","3,000","2,312","2,071","4,686","1,713","1,767","2,423","1,860","2,230","2,968","2,737","1,242","2,797","5,356","4,570","5,333"
2021년10월_계_50~59세,"74,814","2,819","2,682","2,651","3,024","4,097","2,069","3,483","3,188","1,895","2,906","4,262","1,887","1,895","2,789","2,055","2,734","4,131","3,567","2,084","3,124","5,769","5,054","6,649"
2021년10월_계_60~69세,"54,025","1,727","1,815","1,338","1,407","3,112","1,563","1,715","2,316","1,442","2,201","2,534","1,515","1,675","2,696","2,184","1,854","3,602","3,029","2,448","2,641","3,585","3,648","3,978"
2021년10월_계_70~79세,"29,064","1,068",988,741,824,"1,754",840,993,"1,614",866,"1,232","1,200",973,950,"1,502","1,325",838,"2,068","1,484","1,544","1,111","1,555","1,726","1,868"
2021년10월_계_80~89세,"14,561",537,442,328,385,921,441,449,879,398,681,601,405,443,698,565,385,"1,040",828,831,471,841,897,"1,095"
2021년10월_계_90~99세,"1,957",61,53,45,55,113,49,60,114,44,90,91,47,57,123,83,52,145,106,113,66,103,142,145
2021년10월_계_100세 이상,66,7,2,2,2,4,1,1,3,1,1,6,0,1,0,5,3,4,0,4,4,4,9,2
2021년10월_남_총인구수,"202,574","8,116","7,588","7,812","9,844","11,175","5,474","10,389","8,307","5,791","6,892","11,436","5,260","5,507","7,900","6,071","6,895","10,459","8,885","5,162","8,324","14,924","14,263","16,100"
