,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2021년08월_계_총인구수,"554,511","28,308","43,756","24,312","27,143","11,333","3,665","30,237","6,619","5,171","44,247","25,396","20,459","12,866","22,032","7,025","5,729","22,859","10,583","4,107","89,101","53,985","25,982","29,596"
2021년08월_계_연령구간인구수,"554,511","28,308","43,756","24,312","27,143","11,333","3,665","30,237","6,619","5,171","44,247","25,396","20,459","12,866","22,032","7,025","5,729","22,859","10,583","4,107","89,101","53,985","25,982","29,596"
2021년08월_계_0~9세,"49,589","1,621","3,757","1,783","3,926",454,116,"3,553",292,140,"2,774","1,223","2,389",655,"1,543",579,164,991,528,115,"11,322","5,665","3,405","2,594"
2021년08월_계_10~19세,"53,921","1,842","5,718","1,915","3,316",807,208,"2,200",478,267,"4,775","2,269","1,857",896,"2,131",483,273,"1,698",619,216,"9,707","6,178","3,182","2,886"
2021년08월_계_20~29세,"76,777","3,202","5,943","3,283","2,421","1,475",351,"4,729",681,433,"7,382","3,708","2,669","2,544","2,951","1,044",716,"4,065","1,608",623,"11,637","7,223","3,633","4,456"
2021년08월_계_30~39세,"84,010","3,204","5,577","3,840","4,689","1,329",336,"6,416",602,342,"5,388","3,038","3,502","2,334","2,579","1,216",659,"2,972","1,471",426,"17,021","7,954","4,733","4,382"
2021년08월_계_40~49세,"96,067","4,090","8,393","4,653","5,625","1,689",461,"4,791",869,585,"7,451","4,110","3,733","2,142","3,685","1,122",767,"3,403","1,552",522,"17,025","9,418","5,295","4,686"
2021년08월_계_50~59세,"89,253","5,101","7,141","3,937","3,041","2,114",666,"4,199","1,247",938,"8,215","4,810","3,282","1,979","4,058","1,089",992,"4,195","1,847",777,"12,128","8,787","3,332","5,378"
2021년08월_계_60~69세,"59,500","4,732","4,066","2,818","2,330","1,882",772,"2,571","1,239","1,150","4,784","3,422","1,886","1,249","2,909",774,"1,023","3,109","1,590",770,"6,465","5,275","1,573","3,111"
2021년08월_계_70~79세,"28,627","2,741","1,953","1,300","1,099","1,016",461,"1,135",692,788,"2,247","1,797",710,717,"1,381",449,676,"1,568",886,448,"2,487","2,203",547,"1,326"
2021년08월_계_80~89세,"14,705","1,580","1,058",663,582,504,264,550,454,457,"1,094",906,369,315,670,233,369,772,431,184,"1,155","1,149",249,697
2021년08월_계_90~99세,"1,967",186,146,116,110,61,30,91,65,68,132,110,61,33,111,35,66,83,50,26,149,126,33,79
2021년08월_계_100세 이상,95,9,4,4,4,2,0,2,0,3,5,3,1,2,14,1,24,3,1,0,5,7,0,1
2021년08월_남_총인구수,"288,302","14,767","22,595","14,668","14,375","6,261","2,013","16,006","3,563","2,736","22,824","12,916","10,691","7,097","11,046","3,654","2,936","11,858","5,533","2,144","45,241","26,824","13,632","14,922"
2021년08월_남_연령구간인구수,"288,302","14,767","22,595","14,668","14,375","6,261","2,013","16,006","3,563","2,736","22,824","12,916","10,691","7,097","11,046","3,654","2,936","11,858","5,533","2,144","45,241","26,824","13,632","14,922"
2021년08월_남_0~9세,"25,233",843,"1,860",884,"2,015",221,58,"1,761",167,79,"1,377",595,"1,230",315,770,296,98,523,260,52,"5,773","2,926","1,794","1,336"
2021년08월_남_10~19세,"27,807",961,"2,883","1,016","1,726",424,121,"1,102",243,137,"2,471","1,191",917,436,"1,076",252,150,899,318,118,"5,027","3,227","1,648","1,464"
2021년08월_남_20~29세,"42,367","1,806","3,222","2,150","1,352",917,220,"2,716",398,258,"4,169","2,034","1,460","1,497","1,628",587,397,"2,198",912,355,"6,030","3,755","1,933","2,373"
2021년08월_남_30~39세,"46,121","1,837","3,085","2,574","2,440",855,194,"3,552",376,203,"3,089","1,730","1,845","1,442","1,313",672,397,"1,749",891,266,"8,750","4,001","2,534","2,326"
2021년08월_남_40~49세,"51,447","2,262","4,302","3,050","3,168","1,020",304,"2,673",522,368,"3,804","2,197","2,049","1,259","1,918",621,469,"1,811",833,290,"8,782","4,563","2,798","2,384"
2021년08월_남_50~59세,"47,018","2,854","3,921","2,510","1,721","1,159",379,"2,167",712,541,"4,196","2,452","1,705","1,086","2,051",582,537,"2,150",980,417,"6,153","4,302","1,780","2,663"
2021년08월_남_60~69세,"29,962","2,381","2,066","1,586","1,190",991,427,"1,279",656,601,"2,362","1,615","1,011",632,"1,448",387,475,"1,528",784,369,"3,187","2,624",801,"1,562"
2021년08월_남_70~79세,"12,612","1,196",845,633,547,484,215,545,315,379,963,740,326,301,574,168,262,683,383,197,"1,103",944,257,552
2021년08월_남_80~89세,"5,253",584,379,235,192,177,89,195,151,154,360,326,138,123,233,82,125,296,163,73,399,451,82,246
2021년08월_남_90~99세,455,41,32,30,24,13,6,15,23,15,32,35,10,6,27,6,16,21,9,7,36,30,5,16
