카테고리,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2021년09월_계_총인구수,"140,061","7,294","3,046","3,100","2,412","3,284","3,988","3,081","3,405","1,943","2,204","2,780","1,524","1,241","2,294","1,037","6,574","7,556","3,881","25,287","20,271","11,023","22,836"
2021년09월_계_연령구간인구수,"140,061","7,294","3,046","3,100","2,412","3,284","3,988","3,081","3,405","1,943","2,204","2,780","1,524","1,241","2,294","1,037","6,574","7,556","3,881","25,287","20,271","11,023","22,836"
2021년09월_계_0~9세,"10,051",360,118,71,53,70,151,87,84,58,51,57,36,24,47,8,183,212,119,"1,984","1,324",855,"4,099"
2021년09월_계_10~19세,"12,291",422,130,133,95,100,166,133,180,75,83,78,53,36,314,33,345,415,223,"3,160","2,326","1,074","2,717"
2021년09월_계_20~29세,"14,235",568,258,213,174,161,285,228,269,142,133,149,77,57,109,43,616,786,297,"3,673","2,267","1,413","2,317"
2021년09월_계_30~39세,"14,548",554,212,198,137,154,205,177,198,105,120,117,65,49,101,21,528,664,244,"2,801","1,944","1,301","4,653"
2021년09월_계_40~49세,"19,212",841,309,279,195,239,395,266,309,186,184,191,90,97,143,89,790,861,384,"4,045","2,920","1,794","4,605"
2021년09월_계_50~59세,"23,485","1,485",552,587,450,573,721,570,693,367,394,508,258,204,353,209,"1,043","1,279",656,"4,320","3,682","1,912","2,669"
2021년09월_계_60~69세,"23,183","1,543",677,727,624,867,944,808,831,442,576,710,385,335,506,300,"1,549","1,625",877,"2,940","3,201","1,542","1,174"
2021년09월_계_70~79세,"13,402",873,441,470,381,554,641,491,463,290,344,510,291,218,365,157,979,"1,052",661,"1,433","1,628",754,406
2021년09월_계_80~89세,"8,371",549,307,357,257,481,406,276,317,241,279,382,236,191,312,159,484,590,371,828,857,328,163
2021년09월_계_90~99세,"1,250",97,41,63,45,85,73,45,58,37,38,77,31,27,42,18,57,69,48,97,121,49,32
2021년09월_계_100세 이상,33,2,1,2,1,0,1,0,3,0,2,1,2,3,2,0,0,3,1,6,1,1,1
2021년09월_남_총인구수,"70,263","3,682","1,601","1,590","1,223","1,629","2,034","1,592","1,735",996,"1,106","1,371",763,619,"1,147",499,"3,342","3,681","1,877","12,559","10,139","5,611","11,467"
2021년09월_남_연령구간인구수,"70,263","3,682","1,601","1,590","1,223","1,629","2,034","1,592","1,735",996,"1,106","1,371",763,619,"1,147",499,"3,342","3,681","1,877","12,559","10,139","5,611","11,467"
2021년09월_남_0~9세,"5,198",188,55,39,32,43,85,44,45,39,27,28,16,15,32,5,101,104,66,"1,022",674,436,"2,102"
2021년09월_남_10~19세,"6,674",223,76,73,49,52,103,83,95,45,43,49,34,19,164,18,168,234,121,"1,629","1,416",597,"1,383"
2021년09월_남_20~29세,"7,959",324,151,135,112,111,179,123,166,77,77,77,49,31,71,29,362,454,152,"2,031","1,318",784,"1,146"
2021년09월_남_30~39세,"7,658",290,125,110,80,84,113,114,116,70,72,69,44,29,58,8,331,397,131,"1,422",988,738,"2,269"
2021년09월_남_40~49세,"10,115",477,197,174,126,146,227,170,180,118,111,123,53,63,83,49,471,473,211,"1,974","1,434",918,"2,337"
2021년09월_남_50~59세,"12,261",786,329,332,246,314,394,308,368,197,213,287,157,120,190,125,577,648,353,"2,145","1,768",977,"1,427"
2021년09월_남_60~69세,"11,477",806,344,393,322,475,493,421,443,229,305,374,212,194,266,155,695,705,404,"1,462","1,482",723,574
2021년09월_남_70~79세,"5,892",388,190,211,170,235,295,226,208,134,167,230,114,86,171,64,446,424,285,597,731,335,185
2021년09월_남_80~89세,"2,752",178,121,114,75,151,131,87,107,80,82,115,73,54,103,43,177,230,140,254,303,95,39
2021년09월_남_90~99세,274,21,13,9,11,18,14,16,7,7,9,18,10,8,9,3,14,12,14,23,25,8,5
2021년09월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"69,798","3,612","1,445","1,510","1,189","1,655","1,954","1,489","1,670",947,"1,098","1,409",761,622,"1,147",538,"3,232","3,875","2,004","12,728","10,132","5,412","11,369"
2021년09월_여_연령구간인구수,"69,798","3,612","1,445","1,510","1,189","1,655","1,954","1,489","1,670",947,"1,098","1,409",761,622,"1,147",538,"3,232","3,875","2,004","12,728","10,132","5,412","11,369"
2021년09월_여_0~9세,"4,853",172,63,32,21,27,66,43,39,19,24,29,20,9,15,3,82,108,53,962,650,419,"1,997"
2021년09월_여_10~19세,"5,617",199,54,60,46,48,63,50,85,30,40,29,19,17,150,15,177,181,102,"1,531",910,477,"1,334"
2021년09월_여_20~29세,"6,276",244,107,78,62,50,106,105,103,65,56,72,28,26,38,14,254,332,145,"1,642",949,629,"1,171"
