,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020년09월_계_총인구수,"1,598,536","844,110","187,003","197,483","265,838","193,786","210,299","133,246","32,522","50,745","47,679","37,122","82,362","37,368","93,813","29,270"
2020년09월_계_연령구간인구수,"1,598,536","844,110","187,003","197,483","265,838","193,786","210,299","133,246","32,522","50,745","47,679","37,122","82,362","37,368","93,813","29,270"
2020년09월_계_0~9세,"125,126","75,212","15,892","14,398","24,486","20,436","14,800","8,916","1,480","2,676","2,427","3,385","7,625","1,267","6,125","1,213"
2020년09월_계_10~19세,"150,238","86,521","19,576","20,794","26,708","19,443","19,044","11,822","2,142","3,921","3,465","3,380","8,066","2,038","7,792","2,047"
2020년09월_계_20~29세,"198,166","119,555","24,111","28,579","41,042","25,823","24,313","14,757","2,399","4,417","4,474","4,544","8,995","2,900","9,547","2,265"
2020년09월_계_30~39세,"195,695","118,914","22,368","23,328","41,376","31,842","23,537","13,197","2,258","3,979","3,348","4,815","11,263","2,415","9,928","2,041"
2020년09월_계_40~49세,"241,797","136,850","29,931","31,313","43,415","32,191","31,082","18,578","3,366","6,315","5,444","5,669","13,293","3,868","13,974","3,358"
2020년09월_계_50~59세,"274,157","138,063","32,534","34,799","43,106","27,624","37,864","24,107","5,942","9,063","8,524","6,072","13,651","7,296","17,818","5,757"
2020년09월_계_60~69세,"218,639","95,022","23,189","24,893","27,003","19,937","31,080","22,428","6,724","9,730","9,039","4,918","10,044","8,414","14,985","6,255"
2020년09월_계_70~79세,"120,181","47,139","12,221","12,456","12,105","10,357","17,465","12,438","4,561","6,301","6,521","2,692","5,494","5,420","8,243","3,907"
2020년09월_계_80~89세,"64,820","23,258","6,141","6,014","5,753","5,350","9,765","6,116","3,129","3,732","3,870","1,463","3,450","3,274","4,641","2,122"
2020년09월_계_90~99세,"9,151","3,384",982,861,808,733,"1,277",815,494,582,529,172,462,447,705,284
2020년09월_계_100세 이상,566,192,58,48,36,50,72,72,27,29,38,12,19,29,55,21
2020년09월_남_총인구수,"810,302","425,345","93,049","98,107","134,895","99,294","106,352","66,825","16,359","25,548","23,694","19,283","43,149","19,145","49,775","14,827"
2020년09월_남_연령구간인구수,"810,302","425,345","93,049","98,107","134,895","99,294","106,352","66,825","16,359","25,548","23,694","19,283","43,149","19,145","49,775","14,827"
2020년09월_남_0~9세,"63,979","38,359","8,035","7,332","12,500","10,492","7,504","4,561",764,"1,392","1,254","1,740","3,935",642,"3,199",629
2020년09월_남_10~19세,"78,228","45,063","10,233","10,862","13,877","10,091","9,872","6,106","1,142","2,073","1,780","1,766","4,229","1,061","4,043","1,093"
2020년09월_남_20~29세,"110,161","65,137","13,072","15,515","22,211","14,339","13,964","8,194","1,413","2,498","2,509","2,634","5,191","1,724","5,585","1,312"
2020년09월_남_30~39세,"103,699","62,191","11,384","11,999","21,807","17,001","12,720","6,883","1,242","2,069","1,763","2,666","6,170","1,353","5,560","1,082"
2020년09월_남_40~49세,"125,311","69,238","14,853","15,432","22,021","16,932","15,962","9,574","1,896","3,395","2,959","3,073","7,279","2,224","7,866","1,845"
2020년09월_남_50~59세,"141,135","69,156","16,267","17,148","21,622","14,119","19,389","12,339","3,266","4,845","4,510","3,203","7,456","3,950","9,921","3,100"
2020년09월_남_60~69세,"109,389","46,553","11,489","12,019","13,268","9,777","15,553","11,130","3,439","4,979","4,591","2,463","5,130","4,411","7,931","3,209"
2020년09월_남_70~79세,"54,047","21,068","5,407","5,526","5,519","4,616","7,725","5,629","2,021","2,889","2,855","1,198","2,501","2,517","3,898","1,746"
2020년09월_남_80~89세,"22,147","7,837","2,069","2,090","1,912","1,766","3,335","2,205","1,067","1,253","1,333",492,"1,166","1,151","1,575",733
2020년09월_남_90~99세,"2,048",693,228,169,152,144,311,181,108,148,129,44,87,105,172,70
2020년09월_남_100세 이상,158,50,12,15,6,17,17,23,1,7,11,4,5,7,25,8
2020년09월_여_총인구수,"788,234","418,765","93,954","99,376","130,943","94,492","103,947","66,421","16,163","25,197","23,985","17,839","39,213","18,223","44,038","14,443"
2020년09월_여_연령구간인구수,"788,234","418,765","93,954","99,376","130,943","94,492","103,947","66,421","16,163","25,197","23,985","17,839","39,213","18,223","44,038","14,443"
2020년09월_여_0~9세,"61,147","36,853","7,857","7,066","11,986","9,944","7,296","4,355",716,"1,284","1,173","1,645","3,690",625,"2,926",584
2020년09월_여_10~19세,"72,010","41,458","9,343","9,932","12,831","9,352","9,172","5,716","1,000","1,848","1,685","1,614","3,837",977,"3,749",954
2020년09월_여_20~29세,"88,005","54,418","11,039","13,064","18,831","11,484","10,349","6,563",986,"1,919","1,965","1,910","3,804","1,176","3,962",953
2020년09월_여_30~39세,"91,996","56,723","10,984","11,329","19,569","14,841","10,817","6,314","1,016","1,910","1,585","2,149","5,093","1,062","4,368",959
2020년09월_여_40~49세,"116,486","67,612","15,078","15,881","21,394","15,259","15,120","9,004","1,470","2,920","2,485","2,596","6,014","1,644","6,108","1,513"
2020년09월_여_50~59세,"133,022","68,907","16,267","17,651","21,484","13,505","18,475","11,768","2,676","4,218","4,014","2,869","6,195","3,346","7,897","2,657"
2020년09월_여_60~69세,"109,250","48,469","11,700","12,874","13,735","10,160","15,527","11,298","3,285","4,751","4,448","2,455","4,914","4,003","7,054","3,046"
2020년09월_여_70~79세,"66,134","26,071","6,814","6,930","6,586","5,741","9,740","6,809","2,540","3,412","3,666","1,494","2,993","2,903","4,345","2,161"
2020년09월_여_80~89세,"42,673","15,421","4,072","3,924","3,841","3,584","6,430","3,911","2,062","2,479","2,537",971,"2,284","2,123","3,066","1,389"
2020년09월_여_90~99세,"7,103","2,691",754,692,656,589,966,634,386,434,400,128,375,342,533,214
2020년09월_여_100세 이상,408,142,46,33,30,33,55,49,26,22,27,8,14,22,30,13
