,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2020년09월_계_총인구수,"43,231","13,741","6,169","3,667","3,091","1,989","1,167","2,439","3,077","4,511","3,380"
2020년09월_계_연령구간인구수,"43,231","13,741","6,169","3,667","3,091","1,989","1,167","2,439","3,077","4,511","3,380"
2020년09월_계_0~9세,"1,925",946,202,109,83,53,29,80,104,187,132
2020년09월_계_10~19세,"2,296","1,289",193,113,103,39,36,103,85,220,115
2020년09월_계_20~29세,"3,511","1,486",478,224,157,125,67,173,201,337,263
2020년09월_계_30~39세,"3,277","1,389",474,250,184,108,53,133,163,303,220
2020년09월_계_40~49세,"4,770","2,050",587,347,235,170,96,248,267,465,305
2020년09월_계_50~59세,"8,556","2,473","1,409",798,606,411,226,434,616,896,687
2020년09월_계_60~69세,"9,115","2,081","1,448",924,749,506,279,550,797,989,792
2020년09월_계_70~79세,"5,816","1,255",868,517,519,314,202,428,520,669,524
2020년09월_계_80~89세,"3,459",671,438,333,385,235,160,254,273,404,306
2020년09월_계_90~99세,479,96,66,51,64,27,18,36,48,38,35
2020년09월_계_100세 이상,27,5,6,1,6,1,1,0,3,3,1
2020년09월_남_총인구수,"22,368","6,993","3,375","1,997","1,514",995,602,"1,232","1,575","2,302","1,783"
2020년09월_남_연령구간인구수,"22,368","6,993","3,375","1,997","1,514",995,602,"1,232","1,575","2,302","1,783"
2020년09월_남_0~9세,971,466,114,49,44,26,18,37,48,98,71
2020년09월_남_10~19세,"1,294",733,113,73,49,18,21,55,47,124,61
2020년09월_남_20~29세,"2,067",840,302,135,95,76,42,94,121,199,163
2020년09월_남_30~39세,"1,798",722,280,159,105,74,35,73,80,158,112
2020년09월_남_40~49세,"2,871","1,100",416,227,138,115,62,160,188,278,187
2020년09월_남_50~59세,"4,680","1,298",785,473,311,212,132,243,329,502,395
2020년09월_남_60~69세,"4,767","1,041",779,523,402,254,141,279,419,507,422
2020년09월_남_70~79세,"2,681",552,429,246,237,136,95,186,251,295,254
2020년09월_남_80~89세,"1,124",219,137,101,116,80,51,96,81,132,111
2020년09월_남_90~99세,109,21,18,11,16,4,4,9,10,9,7
2020년09월_남_100세 이상,6,1,2,0,1,0,1,0,1,0,0
2020년09월_여_총인구수,"20,863","6,748","2,794","1,670","1,577",994,565,"1,207","1,502","2,209","1,597"
2020년09월_여_연령구간인구수,"20,863","6,748","2,794","1,670","1,577",994,565,"1,207","1,502","2,209","1,597"
2020년09월_여_0~9세,954,480,88,60,39,27,11,43,56,89,61
2020년09월_여_10~19세,"1,002",556,80,40,54,21,15,48,38,96,54
2020년09월_여_20~29세,"1,444",646,176,89,62,49,25,79,80,138,100
2020년09월_여_30~39세,"1,479",667,194,91,79,34,18,60,83,145,108
2020년09월_여_40~49세,"1,899",950,171,120,97,55,34,88,79,187,118
2020년09월_여_50~59세,"3,876","1,175",624,325,295,199,94,191,287,394,292
2020년09월_여_60~69세,"4,348","1,040",669,401,347,252,138,271,378,482,370
2020년09월_여_70~79세,"3,135",703,439,271,282,178,107,242,269,374,270
2020년09월_여_80~89세,"2,335",452,301,232,269,155,109,158,192,272,195
2020년09월_여_90~99세,370,75,48,40,48,23,14,27,38,29,28
2020년09월_여_100세 이상,21,4,4,1,5,1,0,0,2,3,1
