카테고리,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2021년02월_계_총인구수,"110,868","17,868","13,196","15,523","7,551","1,609","3,428","2,819","3,530","6,107","5,129","6,419","15,327","6,813","5,286",263
2021년02월_계_연령구간인구수,"110,868","17,868","13,196","15,523","7,551","1,609","3,428","2,819","3,530","6,107","5,129","6,419","15,327","6,813","5,286",263
2021년02월_계_0~9세,"8,034","1,348","1,408","1,922",629,38,86,68,73,158,231,430,"1,006",339,295,3
2021년02월_계_10~19세,"10,230","1,838","1,514","2,045",627,42,144,81,141,302,294,498,"1,650",627,420,7
2021년02월_계_20~29세,"10,624","2,254","1,464","1,541",512,120,268,145,238,385,466,540,"1,580",692,409,10
2021년02월_계_30~39세,"11,744","2,292","1,891","2,315",839,95,177,129,162,426,452,668,"1,315",528,443,12
2021년02월_계_40~49세,"17,661","3,160","2,408","3,091","1,219",161,336,258,330,691,666,966,"2,501","1,138",705,31
2021년02월_계_50~59세,"18,447","3,051","1,980","1,888","1,197",284,611,530,677,"1,068",960,"1,108","2,888","1,273",887,45
2021년02월_계_60~69세,"16,771","2,051","1,296","1,348","1,234",407,762,687,784,"1,465","1,030","1,126","2,337","1,158","1,025",61
2021년02월_계_70~79세,"10,674","1,120",737,830,784,241,597,513,635,"1,077",670,744,"1,348",663,651,64
2021년02월_계_80~89세,"5,826",649,421,472,436,199,395,359,422,468,323,296,642,333,381,30
2021년02월_계_90~99세,823,95,76,70,72,22,47,47,66,65,37,38,59,61,68,0
2021년02월_계_100세 이상,34,10,1,1,2,0,5,2,2,2,0,5,1,1,2,0
2021년02월_남_총인구수,"55,939","9,304","6,652","8,096","3,779",853,"1,755","1,397","1,736","2,982","2,556","3,150","7,451","3,507","2,588",133
2021년02월_남_연령구간인구수,"55,939","9,304","6,652","8,096","3,779",853,"1,755","1,397","1,736","2,982","2,556","3,150","7,451","3,507","2,588",133
2021년02월_남_0~9세,"4,170",704,722,"1,023",297,24,53,41,38,84,120,219,524,161,158,2
2021년02월_남_10~19세,"5,270",896,800,"1,023",341,22,81,49,73,159,161,272,848,330,210,5
2021년02월_남_20~29세,"6,371","1,332",831,973,298,73,174,95,151,235,300,312,910,423,257,7
2021년02월_남_30~39세,"6,346","1,305",984,"1,232",432,60,103,70,93,261,254,352,661,302,231,6
2021년02월_남_40~49세,"9,375","1,716","1,195","1,626",679,102,204,166,209,401,378,511,"1,189",604,370,25
2021년02월_남_50~59세,"9,789","1,622","1,038","1,070",627,175,340,306,387,568,477,556,"1,454",694,448,27
2021년02월_남_60~69세,"8,085","1,028",643,638,596,218,388,339,377,670,477,503,"1,100",580,500,28
2021년02월_남_70~79세,"4,579",477,296,361,351,111,269,213,280,443,289,318,560,295,290,26
2021년02월_남_80~89세,"1,818",206,130,140,144,62,130,110,121,153,95,98,198,107,117,7
2021년02월_남_90~99세,127,17,13,10,13,6,12,7,6,8,5,7,7,10,6,0
2021년02월_남_100세 이상,9,1,0,0,1,0,1,1,1,0,0,2,0,1,1,0
2021년02월_여_총인구수,"54,929","8,564","6,544","7,427","3,772",756,"1,673","1,422","1,794","3,125","2,573","3,269","7,876","3,306","2,698",130
2021년02월_여_연령구간인구수,"54,929","8,564","6,544","7,427","3,772",756,"1,673","1,422","1,794","3,125","2,573","3,269","7,876","3,306","2,698",130
2021년02월_여_0~9세,"3,864",644,686,899,332,14,33,27,35,74,111,211,482,178,137,1
2021년02월_여_10~19세,"4,960",942,714,"1,022",286,20,63,32,68,143,133,226,802,297,210,2
2021년02월_여_20~29세,"4,253",922,633,568,214,47,94,50,87,150,166,228,670,269,152,3
2021년02월_여_30~39세,"5,398",987,907,"1,083",407,35,74,59,69,165,198,316,654,226,212,6
2021년02월_여_40~49세,"8,286","1,444","1,213","1,465",540,59,132,92,121,290,288,455,"1,312",534,335,6
2021년02월_여_50~59세,"8,658","1,429",942,818,570,109,271,224,290,500,483,552,"1,434",579,439,18
2021년02월_여_60~69세,"8,686","1,023",653,710,638,189,374,348,407,795,553,623,"1,237",578,525,33
2021년02월_여_70~79세,"6,095",643,441,469,433,130,328,300,355,634,381,426,788,368,361,38
2021년02월_여_80~89세,"4,008",443,291,332,292,137,265,249,301,315,228,198,444,226,264,23
2021년02월_여_90~99세,696,78,63,60,59,16,35,40,60,57,32,31,52,51,62,0
2021년02월_여_100세 이상,25,9,1,1,1,0,4,1,1,2,0,3,1,0,1,0
