,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2020년09월_계_총인구수,"846,850","80,091","17,456","85,236","40,871","7,255","5,833","6,921","10,924","7,119","9,905","10,247","4,007","11,367","21,295","43,763","28,204","24,499","32,607","13,761","23,284","51,242","35,998","42,197","53,705","40,518","31,016","81,808","25,721"
2020년09월_계_연령구간인구수,"846,850","80,091","17,456","85,236","40,871","7,255","5,833","6,921","10,924","7,119","9,905","10,247","4,007","11,367","21,295","43,763","28,204","24,499","32,607","13,761","23,284","51,242","35,998","42,197","53,705","40,518","31,016","81,808","25,721"
2020년09월_계_0~9세,"105,470","8,380",960,"10,802","4,126",310,227,270,464,180,304,396,106,440,"3,960","4,555","2,712","2,588","4,471","1,387","1,851","6,541","4,485","6,017","9,592","6,280","4,576","14,902","4,588"
2020년09월_계_10~19세,"95,854","9,783","1,458","9,944","3,479",486,338,418,792,304,474,614,163,807,"2,062","3,953","3,134","4,015","4,000","1,825","2,278","6,932","6,573","5,370","8,744","4,059","2,882","8,746","2,221"
2020년09월_계_20~29세,"102,719","9,934","1,806","10,178","5,541",843,591,719,992,551,989,984,395,"1,317","2,409","7,044","4,728","2,917","4,145","1,704","3,122","7,687","3,702","6,056","4,234","4,697","4,430","8,173","2,831"
2020년09월_계_30~39세,"151,219","11,287","1,631","15,880","7,075",673,506,747,880,530,"1,009",883,377,"1,151","4,829","8,975","4,513","3,192","5,987","1,625","3,023","9,750","4,438","8,459","9,682","9,908","7,768","19,454","6,987"
2020년09월_계_40~49세,"162,005","15,530","2,790","17,045","6,662",973,690,"1,010","1,433",832,"1,471","1,346",482,"1,671","3,972","7,779","5,108","5,416","6,013","2,708","3,960","10,438","8,751","8,515","13,194","7,792","5,684","16,221","4,519"
2020년09월_계_50~59세,"113,819","12,228","3,506","10,729","6,429","1,538","1,253","1,432","2,200","1,609","2,346","2,205",924,"2,421","2,612","5,869","4,015","3,249","4,532","2,232","4,189","6,248","4,649","4,127","5,236","3,988","3,250","8,334","2,469"
2020년09월_계_60~69세,"67,729","7,635","2,717","6,164","4,420","1,292","1,113","1,217","2,031","1,650","1,873","2,004",827,"1,900","1,068","3,363","2,332","1,677","2,346","1,341","2,921","2,312","1,962","2,024","1,975","2,375","1,578","4,143","1,469"
2020년09월_계_70~79세,"31,663","3,644","1,624","2,934","2,041",733,646,715,"1,252",846,839,"1,100",431,"1,020",247,"1,528","1,160",980,749,668,"1,312",930,"1,024","1,169",736,"1,019",579,"1,299",438
2020년09월_계_80~89세,"14,220","1,427",842,"1,381",940,356,393,343,732,531,516,649,270,553,119,615,439,416,306,238,554,357,370,404,271,348,229,453,168
2020년09월_계_90~99세,"2,040",230,116,170,154,48,73,46,139,77,78,58,31,79,16,80,62,49,56,32,66,45,40,55,41,50,39,79,31
2020년09월_계_100세 이상,112,13,6,9,4,3,3,4,9,9,6,8,1,8,1,2,1,0,2,1,8,2,4,1,0,2,1,4,0
2020년09월_남_총인구수,"439,243","40,680","9,480","45,535","22,303","3,828","3,299","4,123","5,877","3,943","5,999","5,881","2,447","6,567","10,719","23,464","14,425","11,933","16,514","7,034","12,277","26,317","17,730","21,664","26,782","20,287","16,071","41,070","12,994"
2020년09월_남_연령구간인구수,"439,243","40,680","9,480","45,535","22,303","3,828","3,299","4,123","5,877","3,943","5,999","5,881","2,447","6,567","10,719","23,464","14,425","11,933","16,514","7,034","12,277","26,317","17,730","21,664","26,782","20,287","16,071","41,070","12,994"
2020년09월_남_0~9세,"54,004","4,175",502,"5,619","2,138",158,128,155,239,90,164,227,60,233,"1,954","2,343","1,414","1,315","2,256",728,975,"3,302","2,297","3,075","4,936","3,245","2,346","7,608","2,322"
2020년09월_남_10~19세,"48,944","4,908",745,"5,074","1,793",260,179,227,441,162,249,339,91,432,"1,039","2,019","1,610","2,010","2,069",935,"1,206","3,559","3,320","2,790","4,387","2,061","1,517","4,420","1,102"
2020년09월_남_20~29세,"55,376","5,285","1,102","5,616","3,275",476,360,464,572,357,663,599,267,813,"1,229","3,992","2,574","1,470","2,217",926,"1,788","4,133","1,861","3,311","2,120","2,247","2,200","4,058","1,401"
2020년09월_남_30~39세,"78,715","5,702",975,"8,894","4,159",378,315,511,524,320,697,568,256,767,"2,415","5,098","2,385","1,539","2,966",831,"1,657","4,897","2,016","4,388","4,239","4,961","4,096","9,577","3,584"
2020년09월_남_40~49세,"86,404","8,073","1,656","9,474","3,769",547,442,687,829,516,998,880,345,"1,057","2,073","4,323","2,617","2,632","3,114","1,375","2,189","5,227","4,260","4,383","6,846","4,073","3,062","8,547","2,410"
2020년09월_남_50~59세,"61,058","6,460","2,009","5,924","3,466",868,727,877,"1,281",933,"1,514","1,350",601,"1,474","1,283","3,083","2,020","1,700","2,199","1,170","2,180","3,450","2,470","2,159","2,864","2,027","1,709","4,074","1,186"
2020년09월_남_60~69세,"34,479","3,834","1,398","3,114","2,337",673,657,686,"1,080",912,"1,087","1,128",504,"1,076",573,"1,674","1,126",731,"1,214",663,"1,471","1,165",925,886,973,"1,093",784,"2,006",709
2020년09월_남_70~79세,"14,750","1,699",771,"1,311",998,324,315,374,585,416,425,516,216,501,119,682,505,387,372,319,613,443,432,495,331,464,277,646,214
2020년09월_남_80~89세,"5,057",494,291,472,342,129,157,131,291,218,180,251,98,199,32,227,165,144,92,82,187,132,142,159,81,108,72,118,63
2020년09월_남_90~99세,421,46,28,32,26,13,17,11,35,16,22,17,9,13,2,22,9,5,14,5,9,9,6,18,5,8,7,14,3
2020년09월_남_100세 이상,35,4,3,5,0,2,2,0,0,3,0,6,0,2,0,1,0,0,1,0,2,0,1,0,0,0,1,2,0
2020년09월_여_총인구수,"407,607","39,411","7,976","39,701","18,568","3,427","2,534","2,798","5,047","3,176","3,906","4,366","1,560","4,800","10,576","20,299","13,779","12,566","16,093","6,727","11,007","24,925","18,268","20,533","26,923","20,231","14,945","40,738","12,727"
2020년09월_여_연령구간인구수,"407,607","39,411","7,976","39,701","18,568","3,427","2,534","2,798","5,047","3,176","3,906","4,366","1,560","4,800","10,576","20,299","13,779","12,566","16,093","6,727","11,007","24,925","18,268","20,533","26,923","20,231","14,945","40,738","12,727"
2020년09월_여_0~9세,"51,466","4,205",458,"5,183","1,988",152,99,115,225,90,140,169,46,207,"2,006","2,212","1,298","1,273","2,215",659,876,"3,239","2,188","2,942","4,656","3,035","2,230","7,294","2,266"
2020년09월_여_10~19세,"46,910","4,875",713,"4,870","1,686",226,159,191,351,142,225,275,72,375,"1,023","1,934","1,524","2,005","1,931",890,"1,072","3,373","3,253","2,580","4,357","1,998","1,365","4,326","1,119"
2020년09월_여_20~29세,"47,343","4,649",704,"4,562","2,266",367,231,255,420,194,326,385,128,504,"1,180","3,052","2,154","1,447","1,928",778,"1,334","3,554","1,841","2,745","2,114","2,450","2,230","4,115","1,430"
2020년09월_여_30~39세,"72,504","5,585",656,"6,986","2,916",295,191,236,356,210,312,315,121,384,"2,414","3,877","2,128","1,653","3,021",794,"1,366","4,853","2,422","4,071","5,443","4,947","3,672","9,877","3,403"
2020년09월_여_40~49세,"75,601","7,457","1,134","7,571","2,893",426,248,323,604,316,473,466,137,614,"1,899","3,456","2,491","2,784","2,899","1,333","1,771","5,211","4,491","4,132","6,348","3,719","2,622","7,674","2,109"
2020년09월_여_50~59세,"52,761","5,768","1,497","4,805","2,963",670,526,555,919,676,832,855,323,947,"1,329","2,786","1,995","1,549","2,333","1,062","2,009","2,798","2,179","1,968","2,372","1,961","1,541","4,260","1,283"
2020년09월_여_60~69세,"33,250","3,801","1,319","3,050","2,083",619,456,531,951,738,786,876,323,824,495,"1,689","1,206",946,"1,132",678,"1,450","1,147","1,037","1,138","1,002","1,282",794,"2,137",760
