,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년01월_계_총인구수,"357,871","43,227","2,745","3,176","6,235","8,907","6,770","7,474","5,679","3,566","2,451","19,229","29,617","40,200","23,551","29,510","34,397","32,925","19,366","11,161","27,685"
2021년01월_계_연령구간인구수,"357,871","43,227","2,745","3,176","6,235","8,907","6,770","7,474","5,679","3,566","2,451","19,229","29,617","40,200","23,551","29,510","34,397","32,925","19,366","11,161","27,685"
2021년01월_계_0~9세,"47,226","3,222",87,89,321,318,213,319,188,74,99,"2,611","4,282","5,769","3,520","4,657","5,983","5,814","3,172","1,646","4,842"
2021년01월_계_10~19세,"43,097","4,183",105,131,379,416,299,431,394,115,188,"3,340","3,940","5,388","4,315","4,199","4,808","3,510","2,516","1,085","3,355"
2021년01월_계_20~29세,"37,735","6,466",370,303,744,898,"1,021",880,563,296,272,"1,761","3,632","4,491","1,793","2,609","2,602","3,127","1,883","1,355","2,669"
2021년01월_계_30~39세,"61,528","5,460",347,286,719,899,874,725,522,249,187,"2,550","6,004","7,502","3,420","5,444","6,589","7,718","3,666","2,281","6,086"
2021년01월_계_40~49세,"69,371","6,890",338,336,836,"1,033",927,904,689,348,351,"4,474","6,139","8,575","5,963","6,290","7,512","6,331","3,929","1,935","5,571"
2021년01월_계_50~59세,"45,466","6,696",539,549,"1,094","1,634","1,272","1,251","1,043",701,443,"2,573","3,202","4,625","2,704","3,198","3,456","3,708","2,287","1,644","2,847"
2021년01월_계_60~69세,"30,553","5,418",513,681,"1,063","1,777","1,133","1,408","1,015",879,415,"1,191","1,643","2,303","1,186","1,943","2,346","1,875","1,294",844,"1,626"
2021년01월_계_70~79세,"14,468","3,131",263,417,629,"1,145",592,919,677,526,273,498,537,"1,006",454,797,823,597,442,235,507
2021년01월_계_80~89세,"7,164","1,515",154,315,398,668,387,561,499,321,196,194,188,451,159,332,231,191,145,109,150
2021년01월_계_90~99세,"1,213",232,27,65,50,114,50,73,84,51,26,35,50,90,37,41,47,50,32,27,32
2021년01월_계_100세 이상,50,14,2,4,2,5,2,3,5,6,1,2,0,0,0,0,0,4,0,0,0
2021년01월_남_총인구수,"178,656","22,388","1,547","1,657","3,435","4,693","3,894","4,071","3,020","1,937","1,305","9,455","14,354","19,459","11,669","14,313","16,814","16,252","9,496","5,535","13,362"
2021년01월_남_연령구간인구수,"178,656","22,388","1,547","1,657","3,435","4,693","3,894","4,071","3,020","1,937","1,305","9,455","14,354","19,459","11,669","14,313","16,814","16,252","9,496","5,535","13,362"
2021년01월_남_0~9세,"24,186","1,665",44,42,165,149,115,152,97,33,55,"1,355","2,203","2,972","1,827","2,367","3,038","2,982","1,617",876,"2,432"
2021년01월_남_10~19세,"21,631","2,133",52,69,209,205,152,232,224,61,92,"1,674","1,906","2,704","2,243","2,070","2,451","1,705","1,273",542,"1,634"
2021년01월_남_20~29세,"19,200","3,650",220,193,486,525,652,573,334,168,162,908,"1,615","2,001",909,"1,202","1,256","1,526",905,682,"1,233"
2021년01월_남_30~39세,"30,043","2,998",238,165,446,537,594,457,320,160,117,"1,150","2,862","3,470","1,527","2,559","3,058","3,726","1,688","1,125","2,846"
2021년01월_남_40~49세,"35,393","3,686",215,206,509,642,622,543,412,218,210,"2,148","3,054","4,219","2,862","3,157","3,790","3,183","1,978",958,"2,781"
2021년01월_남_50~59세,"23,693","3,552",321,304,646,908,710,730,589,415,253,"1,340","1,613","2,405","1,462","1,598","1,647","1,844","1,156",799,"1,401"
2021년01월_남_60~69세,"15,140","2,698",283,369,540,929,611,740,545,494,225,588,786,"1,090",562,878,"1,085",946,618,407,746
2021년01월_남_70~79세,"6,659","1,366",121,195,271,547,290,411,294,265,120,221,252,453,218,367,394,288,218,117,251
2021년01월_남_80~89세,"2,436",575,52,96,145,226,136,215,190,113,65,61,53,126,49,104,85,45,38,26,36
2021년01월_남_90~99세,265,62,1,17,17,24,12,18,15,8,5,10,10,19,10,11,10,6,5,3,2
2021년01월_남_100세 이상,10,3,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0
2021년01월_여_총인구수,"179,215","20,839","1,198","1,519","2,800","4,214","2,876","3,403","2,659","1,629","1,146","9,774","15,263","20,741","11,882","15,197","17,583","16,673","9,870","5,626","14,323"
2021년01월_여_연령구간인구수,"179,215","20,839","1,198","1,519","2,800","4,214","2,876","3,403","2,659","1,629","1,146","9,774","15,263","20,741","11,882","15,197","17,583","16,673","9,870","5,626","14,323"
2021년01월_여_0~9세,"23,040","1,557",43,47,156,169,98,167,91,41,44,"1,256","2,079","2,797","1,693","2,290","2,945","2,832","1,555",770,"2,410"
2021년01월_여_10~19세,"21,466","2,050",53,62,170,211,147,199,170,54,96,"1,666","2,034","2,684","2,072","2,129","2,357","1,805","1,243",543,"1,721"
2021년01월_여_20~29세,"18,535","2,816",150,110,258,373,369,307,229,128,110,853,"2,017","2,490",884,"1,407","1,346","1,601",978,673,"1,436"
2021년01월_여_30~39세,"31,485","2,462",109,121,273,362,280,268,202,89,70,"1,400","3,142","4,032","1,893","2,885","3,531","3,992","1,978","1,156","3,240"
2021년01월_여_40~49세,"33,978","3,204",123,130,327,391,305,361,277,130,141,"2,326","3,085","4,356","3,101","3,133","3,722","3,148","1,951",977,"2,790"
2021년01월_여_50~59세,"21,773","3,144",218,245,448,726,562,521,454,286,190,"1,233","1,589","2,220","1,242","1,600","1,809","1,864","1,131",845,"1,446"
2021년01월_여_60~69세,"15,413","2,720",230,312,523,848,522,668,470,385,190,603,857,"1,213",624,"1,065","1,261",929,676,437,880
2021년01월_여_70~79세,"7,809","1,765",142,222,358,598,302,508,383,261,153,277,285,553,236,430,429,309,224,118,256
2021년01월_여_80~89세,"4,728",940,102,219,253,442,251,346,309,208,131,133,135,325,110,228,146,146,107,83,114
2021년01월_여_90~99세,948,170,26,48,33,90,38,55,69,43,21,25,40,71,27,30,37,44,27,24,30
2021년01월_여_100세 이상,40,11,2,3,1,4,2,3,5,4,0,2,0,0,0,0,0,3,0,0,0
