카테고리,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2021년01월_계_총인구수,"42,245","7,175","1,103","10,323","1,611","2,141","3,913","2,232","4,538","2,094","3,323","3,792"
2021년01월_계_연령구간인구수,"42,245","7,175","1,103","10,323","1,611","2,141","3,913","2,232","4,538","2,094","3,323","3,792"
2021년01월_계_0~9세,"1,506",459,40,450,41,45,128,62,130,34,58,59
2021년01월_계_10~19세,"2,286",657,25,727,52,73,157,58,277,42,106,112
2021년01월_계_20~29세,"2,829",604,59,861,78,120,216,133,265,125,177,191
2021년01월_계_30~39세,"2,750",629,84,840,87,109,251,110,236,94,136,174
2021년01월_계_40~49세,"4,445","1,014",90,"1,344",143,164,341,147,474,178,265,285
2021년01월_계_50~59세,"7,258","1,202",172,"1,776",259,333,663,438,772,428,581,634
2021년01월_계_60~69세,"9,651","1,275",272,"2,109",447,533,986,589,"1,065",524,837,"1,014"
2021년01월_계_70~79세,"6,617",783,197,"1,335",304,438,634,407,760,353,663,743
2021년01월_계_80~89세,"4,278",475,142,775,176,276,473,257,476,280,430,518
2021년01월_계_90~99세,605,72,20,103,24,50,61,30,81,36,66,62
2021년01월_계_100세 이상,20,5,2,3,0,0,3,1,2,0,4,0
2021년01월_남_총인구수,"20,782","3,520",550,"5,048",781,"1,034","1,913","1,105","2,209","1,035","1,680","1,907"
2021년01월_남_연령구간인구수,"20,782","3,520",550,"5,048",781,"1,034","1,913","1,105","2,209","1,035","1,680","1,907"
2021년01월_남_0~9세,769,241,18,216,15,27,62,33,68,23,35,31
2021년01월_남_10~19세,"1,169",328,20,355,35,41,71,23,151,28,62,55
2021년01월_남_20~29세,"1,683",353,31,506,47,74,128,85,151,73,106,129
2021년01월_남_30~39세,"1,464",307,47,447,49,62,138,58,110,53,81,112
2021년01월_남_40~49세,"2,488",536,63,724,89,99,206,75,259,89,165,183
2021년01월_남_50~59세,"3,865",610,91,923,138,178,363,233,411,240,334,344
2021년01월_남_60~69세,"4,822",633,134,"1,042",210,264,482,317,509,289,429,513
2021년01월_남_70~79세,"3,038",344,86,581,140,194,294,181,387,147,322,362
2021년01월_남_80~89세,"1,362",153,55,235,55,84,150,98,149,84,134,165
2021년01월_남_90~99세,121,15,4,19,3,11,19,2,14,9,12,13
2021년01월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2021년01월_여_총인구수,"21,463","3,655",553,"5,275",830,"1,107","2,000","1,127","2,329","1,059","1,643","1,885"
2021년01월_여_연령구간인구수,"21,463","3,655",553,"5,275",830,"1,107","2,000","1,127","2,329","1,059","1,643","1,885"
2021년01월_여_0~9세,737,218,22,234,26,18,66,29,62,11,23,28
2021년01월_여_10~19세,"1,117",329,5,372,17,32,86,35,126,14,44,57
2021년01월_여_20~29세,"1,146",251,28,355,31,46,88,48,114,52,71,62
2021년01월_여_30~39세,"1,286",322,37,393,38,47,113,52,126,41,55,62
2021년01월_여_40~49세,"1,957",478,27,620,54,65,135,72,215,89,100,102
2021년01월_여_50~59세,"3,393",592,81,853,121,155,300,205,361,188,247,290
2021년01월_여_60~69세,"4,829",642,138,"1,067",237,269,504,272,556,235,408,501
2021년01월_여_70~79세,"3,579",439,111,754,164,244,340,226,373,206,341,381
2021년01월_여_80~89세,"2,916",322,87,540,121,192,323,159,327,196,296,353
2021년01월_여_90~99세,484,57,16,84,21,39,42,28,67,27,54,49
2021년01월_여_100세 이상,19,5,1,3,0,0,3,1,2,0,4,0
