,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2021년07월_계_총인구수,"99,425","37,857","8,322","28,883","3,503","3,427","2,875","2,272","2,090","3,224","3,501","3,471"
2021년07월_계_연령구간인구수,"99,425","37,857","8,322","28,883","3,503","3,427","2,875","2,272","2,090","3,224","3,501","3,471"
2021년07월_계_0~9세,"7,536","2,380",278,"4,314",93,115,68,38,24,72,74,80
2021년07월_계_10~19세,"9,534","4,231",525,"3,737",123,232,111,58,57,142,150,168
2021년07월_계_20~29세,"9,428","4,765",535,"2,732",226,216,143,126,107,189,192,197
2021년07월_계_30~39세,"10,169","3,493",448,"4,997",200,181,134,91,96,141,193,195
2021년07월_계_40~49세,"14,251","5,916",768,"5,519",318,352,219,174,120,278,265,322
2021년07월_계_50~59세,"15,645","6,716","1,401","3,537",622,568,434,347,345,508,538,629
2021년07월_계_60~69세,"15,390","5,404","1,856","2,253",829,743,659,553,532,831,874,856
2021년07월_계_70~79세,"10,061","3,133","1,512","1,069",587,526,555,463,420,598,632,566
2021년07월_계_80~89세,"6,479","1,592",871,634,435,441,503,347,344,399,509,404
2021년07월_계_90~99세,908,218,123,90,70,51,49,75,44,62,73,53
2021년07월_계_100세 이상,24,9,5,1,0,2,0,0,1,4,1,1
2021년07월_남_총인구수,"49,522","18,780","4,106","14,465","1,800","1,716","1,376","1,150","1,033","1,582","1,756","1,758"
2021년07월_남_연령구간인구수,"49,522","18,780","4,106","14,465","1,800","1,716","1,376","1,150","1,033","1,582","1,756","1,758"
2021년07월_남_0~9세,"3,911","1,211",150,"2,244",50,66,36,21,10,35,45,43
2021년07월_남_10~19세,"4,892","2,174",292,"1,901",68,113,53,28,26,67,84,86
2021년07월_남_20~29세,"5,216","2,635",317,"1,396",145,145,84,78,70,113,116,117
2021년07월_남_30~39세,"5,252","1,830",251,"2,440",129,99,78,59,66,80,118,102
2021년07월_남_40~49세,"7,428","2,891",446,"2,806",199,196,135,114,81,183,178,199
2021년07월_남_50~59세,"8,239","3,467",724,"1,857",346,310,240,204,179,265,293,354
2021년07월_남_60~69세,"7,583","2,560",920,"1,095",433,390,326,282,271,415,437,454
2021년07월_남_70~79세,"4,517","1,404",663,498,256,248,233,219,191,267,277,261
2021년07월_남_80~89세,"2,260",552,307,214,156,137,177,127,131,142,185,132
2021년07월_남_90~99세,220,53,36,14,18,12,14,18,8,14,23,10
2021년07월_남_100세 이상,4,3,0,0,0,0,0,0,0,1,0,0
2021년07월_여_총인구수,"49,903","19,077","4,216","14,418","1,703","1,711","1,499","1,122","1,057","1,642","1,745","1,713"
2021년07월_여_연령구간인구수,"49,903","19,077","4,216","14,418","1,703","1,711","1,499","1,122","1,057","1,642","1,745","1,713"
2021년07월_여_0~9세,"3,625","1,169",128,"2,070",43,49,32,17,14,37,29,37
2021년07월_여_10~19세,"4,642","2,057",233,"1,836",55,119,58,30,31,75,66,82
2021년07월_여_20~29세,"4,212","2,130",218,"1,336",81,71,59,48,37,76,76,80
2021년07월_여_30~39세,"4,917","1,663",197,"2,557",71,82,56,32,30,61,75,93
2021년07월_여_40~49세,"6,823","3,025",322,"2,713",119,156,84,60,39,95,87,123
2021년07월_여_50~59세,"7,406","3,249",677,"1,680",276,258,194,143,166,243,245,275
2021년07월_여_60~69세,"7,807","2,844",936,"1,158",396,353,333,271,261,416,437,402
2021년07월_여_70~79세,"5,544","1,729",849,571,331,278,322,244,229,331,355,305
2021년07월_여_80~89세,"4,219","1,040",564,420,279,304,326,220,213,257,324,272
2021년07월_여_90~99세,688,165,87,76,52,39,35,57,36,48,50,43
2021년07월_여_100세 이상,20,6,5,1,0,2,0,0,1,3,1,1
