카테고리,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2020년01월_계_총인구수,"53,145","20,753","2,037","3,062","2,388","3,586","2,514","4,628","2,432","2,671","2,296","2,863","2,731","1,184"
2020년01월_계_연령구간인구수,"53,145","20,753","2,037","3,062","2,388","3,586","2,514","4,628","2,432","2,671","2,296","2,863","2,731","1,184"
2020년01월_계_0~9세,"2,744","1,679",51,95,103,121,55,220,90,50,80,79,89,32
2020년01월_계_10~19세,"3,932","2,416",70,129,147,155,84,311,129,109,97,127,121,37
2020년01월_계_20~29세,"4,515","2,198",124,223,199,233,157,383,165,173,169,208,213,70
2020년01월_계_30~39세,"4,188","2,088",122,187,198,264,118,391,170,126,144,169,141,70
2020년01월_계_40~49세,"6,379","3,088",173,294,263,377,198,572,239,254,213,290,296,122
2020년01월_계_50~59세,"9,203","3,451",338,532,424,581,470,903,445,441,421,471,506,220
2020년01월_계_60~69세,"9,343","2,757",452,575,418,776,557,846,568,526,444,572,570,282
2020년01월_계_70~79세,"7,641","1,922",380,569,345,720,507,636,397,531,415,546,465,208
2020년01월_계_80~89세,"4,599","1,039",283,408,251,327,325,322,196,413,281,351,282,121
2020년01월_계_90~99세,562,109,41,48,37,30,41,42,29,46,28,47,43,21
2020년01월_계_100세 이상,39,6,3,2,3,2,2,2,4,2,4,3,5,1
2020년01월_남_총인구수,"26,409","10,167",985,"1,566","1,224","1,820","1,247","2,357","1,235","1,310","1,125","1,406","1,348",619
2020년01월_남_연령구간인구수,"26,409","10,167",985,"1,566","1,224","1,820","1,247","2,357","1,235","1,310","1,125","1,406","1,348",619
2020년01월_남_0~9세,"1,437",883,22,58,45,53,28,124,52,27,41,43,48,13
2020년01월_남_10~19세,"2,085","1,267",43,67,77,80,50,162,78,50,53,68,74,16
2020년01월_남_20~29세,"2,481","1,164",70,133,113,132,85,213,96,97,87,114,134,43
2020년01월_남_30~39세,"2,267","1,009",69,110,124,166,76,223,94,88,87,97,77,47
2020년01월_남_40~49세,"3,596","1,539",108,203,170,248,130,354,139,155,127,168,176,79
2020년01월_남_50~59세,"4,972","1,723",192,309,237,339,258,484,231,258,251,282,271,137
2020년01월_남_60~69세,"4,668","1,378",223,294,224,356,288,416,288,264,230,284,270,153
2020년01월_남_70~79세,"3,288",826,157,247,153,318,214,286,188,219,169,213,211,87
2020년01월_남_80~89세,"1,485",351,94,134,71,120,109,88,61,138,75,124,80,40
2020년01월_남_90~99세,125,26,7,11,10,8,9,7,7,14,3,13,6,4
2020년01월_남_100세 이상,5,1,0,0,0,0,0,0,1,0,2,0,1,0
2020년01월_여_총인구수,"26,736","10,586","1,052","1,496","1,164","1,766","1,267","2,271","1,197","1,361","1,171","1,457","1,383",565
2020년01월_여_연령구간인구수,"26,736","10,586","1,052","1,496","1,164","1,766","1,267","2,271","1,197","1,361","1,171","1,457","1,383",565
2020년01월_여_0~9세,"1,307",796,29,37,58,68,27,96,38,23,39,36,41,19
2020년01월_여_10~19세,"1,847","1,149",27,62,70,75,34,149,51,59,44,59,47,21
2020년01월_여_20~29세,"2,034","1,034",54,90,86,101,72,170,69,76,82,94,79,27
2020년01월_여_30~39세,"1,921","1,079",53,77,74,98,42,168,76,38,57,72,64,23
2020년01월_여_40~49세,"2,783","1,549",65,91,93,129,68,218,100,99,86,122,120,43
2020년01월_여_50~59세,"4,231","1,728",146,223,187,242,212,419,214,183,170,189,235,83
2020년01월_여_60~69세,"4,675","1,379",229,281,194,420,269,430,280,262,214,288,300,129
2020년01월_여_70~79세,"4,353","1,096",223,322,192,402,293,350,209,312,246,333,254,121
2020년01월_여_80~89세,"3,114",688,189,274,180,207,216,234,135,275,206,227,202,81
2020년01월_여_90~99세,437,83,34,37,27,22,32,35,22,32,25,34,37,17
2020년01월_여_100세 이상,34,5,3,2,3,2,2,2,3,2,2,3,4,1
