카테고리,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2020년07월_계_총인구수,"158,765","6,453","4,144","3,067","3,580","5,895","2,818","1,822","2,115","2,904","2,736","1,760","1,896","1,648","1,773","5,139","5,117","22,355","9,280","13,461","6,487","6,341","21,999","15,608","10,367"
2020년07월_계_연령구간인구수,"158,765","6,453","4,144","3,067","3,580","5,895","2,818","1,822","2,115","2,904","2,736","1,760","1,896","1,648","1,773","5,139","5,117","22,355","9,280","13,461","6,487","6,341","21,999","15,608","10,367"
2020년07월_계_0~9세,"10,898",207,95,74,90,310,49,31,52,63,52,32,44,29,30,261,324,"1,968",679,937,411,378,"2,137","1,503","1,142"
2020년07월_계_10~19세,"13,803",295,215,97,126,308,127,69,85,111,78,47,55,46,72,354,422,"2,367",898,993,566,608,"2,640","1,682","1,542"
2020년07월_계_20~29세,"16,580",471,310,151,325,763,148,79,167,199,137,87,89,68,65,523,535,"2,977",852,"1,462",667,669,"2,741","1,865","1,230"
2020년07월_계_30~39세,"15,657",383,205,176,216,752,125,82,139,160,123,63,88,70,76,527,463,"2,587",870,"1,599",634,595,"2,554","2,014","1,156"
2020년07월_계_40~49세,"22,530",604,350,332,371,687,257,168,179,280,188,153,123,121,149,653,731,"3,623","1,407","1,894",937,891,"3,819","2,544","2,069"
2020년07월_계_50~59세,"26,643","1,119",705,573,620,874,463,299,443,540,518,307,394,303,304,836,965,"3,518","1,488","2,276","1,072","1,216","3,612","2,668","1,530"
2020년07월_계_60~69세,"24,931","1,371",882,620,826,916,622,394,460,681,671,462,462,426,449,906,820,"2,739","1,470","2,177","1,141","1,103","2,536","1,887",910
2020년07월_계_70~79세,"16,715","1,113",755,561,552,756,570,371,325,487,565,344,367,343,356,712,560,"1,620","1,025","1,409",688,616,"1,222",898,500
2020년07월_계_80~89세,"9,531",769,547,418,373,460,390,280,229,318,360,238,246,206,244,316,262,838,518,631,313,232,633,468,242
2020년07월_계_90~99세,"1,414",114,77,64,81,65,65,48,36,62,43,22,26,36,27,49,35,112,67,76,56,33,103,74,43
2020년07월_계_100세 이상,63,7,3,1,0,4,2,1,0,3,1,5,2,0,1,2,0,6,6,7,2,0,2,5,3
2020년07월_남_총인구수,"78,614","3,256","2,147","1,603","1,877","3,046","1,367",899,"1,077","1,522","1,377",907,976,865,925,"2,508","2,489","11,059","4,469","6,697","3,156","3,158","10,494","7,595","5,145"
2020년07월_남_연령구간인구수,"78,614","3,256","2,147","1,603","1,877","3,046","1,367",899,"1,077","1,522","1,377",907,976,865,925,"2,508","2,489","11,059","4,469","6,697","3,156","3,158","10,494","7,595","5,145"
2020년07월_남_0~9세,"5,733",113,53,37,46,159,26,15,29,26,22,21,25,15,21,145,180,"1,029",366,478,202,207,"1,116",801,601
2020년07월_남_10~19세,"7,225",158,128,59,74,161,81,42,42,57,40,21,36,26,34,179,207,"1,224",460,547,301,314,"1,356",859,819
2020년07월_남_20~29세,"9,094",275,184,101,182,417,85,46,100,124,79,53,57,42,38,296,289,"1,661",452,819,380,358,"1,409","1,007",640
2020년07월_남_30~39세,"8,104",217,116,113,131,431,69,53,85,97,74,42,54,45,51,253,227,"1,306",443,845,339,333,"1,224","1,021",535
2020년07월_남_40~49세,"11,733",370,218,222,227,394,163,110,109,180,137,101,81,90,100,364,394,"1,805",709,990,481,453,"1,835","1,220",980
2020년07월_남_50~59세,"13,599",616,401,335,360,505,259,168,242,327,300,179,211,177,168,437,484,"1,756",734,"1,105",500,586,"1,695","1,247",807
2020년07월_남_60~69세,"12,069",692,460,311,438,453,291,205,235,362,357,251,243,212,251,391,382,"1,276",650,"1,020",507,505,"1,184",940,453
2020년07월_남_70~79세,"7,459",521,352,260,270,345,253,162,152,232,223,147,169,164,176,323,246,699,452,639,314,299,479,357,225
2020년07월_남_80~89세,"3,267",261,213,151,130,161,126,93,74,97,133,84,92,83,79,113,72,278,185,236,123,93,183,130,77
2020년07월_남_90~99세,315,31,22,14,19,18,14,5,9,19,12,8,8,11,6,5,8,22,18,16,9,10,12,11,8
2020년07월_남_100세 이상,16,2,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,3,0,2,0,0,1,2,0
2020년07월_여_총인구수,"80,151","3,197","1,997","1,464","1,703","2,849","1,451",923,"1,038","1,382","1,359",853,920,783,848,"2,631","2,628","11,296","4,811","6,764","3,331","3,183","11,505","8,013","5,222"
2020년07월_여_연령구간인구수,"80,151","3,197","1,997","1,464","1,703","2,849","1,451",923,"1,038","1,382","1,359",853,920,783,848,"2,631","2,628","11,296","4,811","6,764","3,331","3,183","11,505","8,013","5,222"
2020년07월_여_0~9세,"5,165",94,42,37,44,151,23,16,23,37,30,11,19,14,9,116,144,939,313,459,209,171,"1,021",702,541
2020년07월_여_10~19세,"6,578",137,87,38,52,147,46,27,43,54,38,26,19,20,38,175,215,"1,143",438,446,265,294,"1,284",823,723
2020년07월_여_20~29세,"7,486",196,126,50,143,346,63,33,67,75,58,34,32,26,27,227,246,"1,316",400,643,287,311,"1,332",858,590
2020년07월_여_30~39세,"7,553",166,89,63,85,321,56,29,54,63,49,21,34,25,25,274,236,"1,281",427,754,295,262,"1,330",993,621
2020년07월_여_40~49세,"10,797",234,132,110,144,293,94,58,70,100,51,52,42,31,49,289,337,"1,818",698,904,456,438,"1,984","1,324","1,089"
2020년07월_여_50~59세,"13,044",503,304,238,260,369,204,131,201,213,218,128,183,126,136,399,481,"1,762",754,"1,171",572,630,"1,917","1,421",723
2020년07월_여_60~69세,"12,862",679,422,309,388,463,331,189,225,319,314,211,219,214,198,515,438,"1,463",820,"1,157",634,598,"1,352",947,457
2020년07월_여_70~79세,"9,256",592,403,301,282,411,317,209,173,255,342,197,198,179,180,389,314,921,573,770,374,317,743,541,275
2020년07월_여_80~89세,"6,264",508,334,267,243,299,264,187,155,221,227,154,154,123,165,203,190,560,333,395,190,139,450,338,165
