,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2021년02월_계_총인구수,"82,193","2,667","2,492","2,563","3,558","3,835","1,329","2,533","1,782","1,809","2,636","4,996","2,230","1,886","4,625","1,353","11,173","12,737","11,411","6,578"
2021년02월_계_연령구간인구수,"82,193","2,667","2,492","2,563","3,558","3,835","1,329","2,533","1,782","1,809","2,636","4,996","2,230","1,886","4,625","1,353","11,173","12,737","11,411","6,578"
2021년02월_계_0~9세,"4,235",94,57,72,90,129,42,72,50,50,40,186,65,43,132,45,746,897,992,433
2021년02월_계_10~19세,"6,129",132,107,111,158,212,63,125,80,77,102,296,93,68,207,60,"1,021","1,360","1,358",499
2021년02월_계_20~29세,"7,137",151,121,159,261,261,85,187,89,107,128,420,124,134,320,82,"1,288","1,356","1,284",580
2021년02월_계_30~39세,"6,522",164,128,172,209,269,85,162,107,106,144,316,127,94,276,79,"1,116","1,192","1,148",628
2021년02월_계_40~49세,"9,977",259,220,247,328,401,109,218,174,177,240,568,184,178,445,140,"1,575","1,898","1,847",769
2021년02월_계_50~59세,"13,611",434,355,450,584,665,190,437,267,275,382,942,323,348,847,207,"1,833","2,138","1,854","1,080"
2021년02월_계_60~69세,"14,673",645,589,543,778,774,291,559,391,394,576,993,498,403,991,265,"1,722","1,752","1,431","1,078"
2021년02월_계_70~79세,"11,418",417,495,481,640,645,252,414,331,356,577,775,425,339,798,283,"1,128","1,279",907,876
2021년02월_계_80~89세,"7,200",311,360,272,418,408,181,307,244,221,377,433,347,247,502,164,622,761,497,528
2021년02월_계_90~99세,"1,217",59,55,49,87,70,29,50,47,44,69,65,43,30,95,28,113,104,92,88
2021년02월_계_100세 이상,74,1,5,7,5,1,2,2,2,2,1,2,1,2,12,0,9,0,1,19
2021년02월_남_총인구수,"40,756","1,358","1,233","1,356","1,802","1,879",630,"1,299",887,908,"1,270","2,555","1,101",957,"2,328",697,"5,494","6,202","5,520","3,280"
2021년02월_남_연령구간인구수,"40,756","1,358","1,233","1,356","1,802","1,879",630,"1,299",887,908,"1,270","2,555","1,101",957,"2,328",697,"5,494","6,202","5,520","3,280"
2021년02월_남_0~9세,"2,204",57,33,39,43,67,21,38,31,22,22,96,39,21,61,24,388,467,505,230
2021년02월_남_10~19세,"3,153",81,63,62,90,97,37,62,43,47,50,161,47,40,121,28,492,698,683,251
2021년02월_남_20~29세,"3,992",95,77,97,143,135,51,112,54,64,79,233,76,78,192,52,697,736,689,332
2021년02월_남_30~39세,"3,476",96,76,113,120,147,48,90,61,62,86,178,77,61,162,48,569,608,559,315
2021년02월_남_40~49세,"5,582",160,141,157,217,243,71,141,113,114,158,343,128,120,268,99,820,958,902,429
2021년02월_남_50~59세,"7,419",235,209,285,322,364,101,256,147,161,220,526,183,197,475,122,953,"1,082",977,604
2021년02월_남_60~69세,"7,386",339,290,281,421,396,138,300,192,212,294,519,251,216,517,133,813,845,683,546
2021년02월_남_70~79세,"4,983",193,231,223,291,286,104,191,147,151,227,340,177,147,345,124,515,538,366,387
2021년02월_남_80~89세,"2,283",89,105,90,129,119,53,94,89,66,124,140,117,70,161,57,215,245,145,175
2021년02월_남_90~99세,263,13,6,8,24,24,6,15,9,9,9,19,6,7,26,10,27,25,11,9
2021년02월_남_100세 이상,15,0,2,1,2,1,0,0,1,0,1,0,0,0,0,0,5,0,0,2
2021년02월_여_총인구수,"41,437","1,309","1,259","1,207","1,756","1,956",699,"1,234",895,901,"1,366","2,441","1,129",929,"2,297",656,"5,679","6,535","5,891","3,298"
2021년02월_여_연령구간인구수,"41,437","1,309","1,259","1,207","1,756","1,956",699,"1,234",895,901,"1,366","2,441","1,129",929,"2,297",656,"5,679","6,535","5,891","3,298"
2021년02월_여_0~9세,"2,031",37,24,33,47,62,21,34,19,28,18,90,26,22,71,21,358,430,487,203
2021년02월_여_10~19세,"2,976",51,44,49,68,115,26,63,37,30,52,135,46,28,86,32,529,662,675,248
2021년02월_여_20~29세,"3,145",56,44,62,118,126,34,75,35,43,49,187,48,56,128,30,591,620,595,248
2021년02월_여_30~39세,"3,046",68,52,59,89,122,37,72,46,44,58,138,50,33,114,31,547,584,589,313
2021년02월_여_40~49세,"4,395",99,79,90,111,158,38,77,61,63,82,225,56,58,177,41,755,940,945,340
2021년02월_여_50~59세,"6,192",199,146,165,262,301,89,181,120,114,162,416,140,151,372,85,880,"1,056",877,476
2021년02월_여_60~69세,"7,287",306,299,262,357,378,153,259,199,182,282,474,247,187,474,132,909,907,748,532
2021년02월_여_70~79세,"6,435",224,264,258,349,359,148,223,184,205,350,435,248,192,453,159,613,741,541,489
2021년02월_여_80~89세,"4,917",222,255,182,289,289,128,213,155,155,253,293,230,177,341,107,407,516,352,353
2021년02월_여_90~99세,954,46,49,41,63,46,23,35,38,35,60,46,37,23,69,18,86,79,81,79
2021년02월_여_100세 이상,59,1,3,6,3,0,2,2,1,2,0,2,1,2,12,0,4,0,1,17
