카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2021년06월_계_총인구수,"465,209","41,881","38,683","26,033","17,431","25,070","22,512","34,825","15,338","18,001","27,121","33,299","26,315","20,214","23,961","23,377","46,019",134,"24,995"
2021년06월_계_연령구간인구수,"465,209","41,881","38,683","26,033","17,431","25,070","22,512","34,825","15,338","18,001","27,121","33,299","26,315","20,214","23,961","23,377","46,019",134,"24,995"
2021년06월_계_0~9세,"35,388","3,906","5,056","2,137","1,142","2,868","2,562","2,108","1,412","1,922","1,387","1,638","1,277","1,549","1,065","1,230","2,421",3,"1,705"
2021년06월_계_10~19세,"39,098","4,931","3,944","2,463","2,466","3,464","1,992","2,555",993,"1,919","1,744","1,773","1,252","1,714","1,172","1,753","2,879",6,"2,078"
2021년06월_계_20~29세,"61,387","4,865","3,986","3,161","2,223","2,300","2,368","4,774","1,968","1,954","3,789","4,809","4,259","2,761","3,902","3,654","7,116",17,"3,481"
2021년06월_계_30~39세,"72,596","5,962","6,029","4,049","1,893","3,228","3,941","5,130","2,871","2,443","3,996","6,054","4,772","3,299","4,286","3,491","7,518",13,"3,621"
2021년06월_계_40~49세,"75,103","6,799","7,213","4,229","3,060","5,340","3,911","5,485","2,389","3,256","4,000","4,854","3,720","3,342","3,353","3,578","6,817",25,"3,732"
2021년06월_계_50~59세,"71,889","6,008","5,393","4,027","2,714","3,400","3,219","5,855","2,236","2,636","4,566","5,451","4,155","2,997","3,767","3,983","7,325",18,"4,139"
2021년06월_계_60~69세,"65,729","5,339","4,805","3,663","2,535","2,801","2,884","5,121","1,970","2,382","4,476","5,012","3,990","2,658","3,733","3,337","7,241",32,"3,750"
2021년06월_계_70~79세,"31,189","2,730","1,686","1,625",990,"1,092","1,165","2,723","1,089","1,057","2,270","2,653","2,042","1,362","1,892","1,701","3,368",11,"1,733"
2021년06월_계_80~89세,"10,867","1,106",473,567,320,436,393,923,359,363,765,925,747,460,703,562,"1,136",5,624
2021년06월_계_90~99세,"1,844",226,95,109,84,112,75,142,49,67,124,128,94,70,78,82,187,3,119
2021년06월_계_100세 이상,119,9,3,3,4,29,2,9,2,2,4,2,7,2,10,6,11,1,13
2021년06월_남_총인구수,"228,652","20,099","19,080","12,683","8,625","12,745","11,356","17,283","7,422","8,828","13,290","16,414","12,902","9,791","11,777","11,484","22,480",77,"12,316"
2021년06월_남_연령구간인구수,"228,652","20,099","19,080","12,683","8,625","12,745","11,356","17,283","7,422","8,828","13,290","16,414","12,902","9,791","11,777","11,484","22,480",77,"12,316"
2021년06월_남_0~9세,"18,343","2,020","2,612","1,094",582,"1,519","1,328","1,049",728,984,689,849,693,825,550,647,"1,274",2,898
2021년06월_남_10~19세,"20,633","2,548","2,009","1,294","1,369","1,968","1,054","1,325",491,"1,010",913,922,635,863,581,"1,036","1,500",3,"1,112"
2021년06월_남_20~29세,"30,104","2,388","2,041","1,591","1,111","1,235","1,244","2,506",928,981,"1,881","2,259","1,859","1,369","1,752","1,875","3,337",10,"1,737"
2021년06월_남_30~39세,"36,063","2,817","2,762","2,018",937,"1,520","1,896","2,652","1,420","1,109","2,085","3,105","2,408","1,606","2,248","1,783","3,850",7,"1,840"
2021년06월_남_40~49세,"37,675","3,312","3,654","2,019","1,377","2,663","2,022","2,828","1,212","1,615","2,093","2,507","1,924","1,618","1,745","1,726","3,480",12,"1,868"
2021년06월_남_50~59세,"35,186","2,907","2,584","1,942","1,346","1,732","1,630","2,869","1,070","1,292","2,172","2,733","2,161","1,426","1,884","1,908","3,538",11,"1,981"
2021년06월_남_60~69세,"30,991","2,368","2,344","1,699","1,230","1,379","1,403","2,436",891,"1,139","2,091","2,409","1,941","1,209","1,779","1,477","3,410",19,"1,767"
2021년06월_남_70~79세,"15,086","1,280",885,791,539,534,600,"1,237",520,526,"1,064","1,247",985,662,923,801,"1,627",7,858
2021년06월_남_80~89세,"4,171",399,176,215,117,164,163,350,150,158,288,360,277,190,297,209,428,5,225
2021년06월_남_90~99세,370,59,12,19,16,21,15,29,12,12,14,23,17,22,15,20,34,1,29
2021년06월_남_100세 이상,30,1,1,1,1,10,1,2,0,2,0,0,2,1,3,2,2,0,1
2021년06월_여_총인구수,"236,557","21,782","19,603","13,350","8,806","12,325","11,156","17,542","7,916","9,173","13,831","16,885","13,413","10,423","12,184","11,893","23,539",57,"12,679"
2021년06월_여_연령구간인구수,"236,557","21,782","19,603","13,350","8,806","12,325","11,156","17,542","7,916","9,173","13,831","16,885","13,413","10,423","12,184","11,893","23,539",57,"12,679"
2021년06월_여_0~9세,"17,045","1,886","2,444","1,043",560,"1,349","1,234","1,059",684,938,698,789,584,724,515,583,"1,147",1,807
2021년06월_여_10~19세,"18,465","2,383","1,935","1,169","1,097","1,496",938,"1,230",502,909,831,851,617,851,591,717,"1,379",3,966
2021년06월_여_20~29세,"31,283","2,477","1,945","1,570","1,112","1,065","1,124","2,268","1,040",973,"1,908","2,550","2,400","1,392","2,150","1,779","3,779",7,"1,744"
2021년06월_여_30~39세,"36,533","3,145","3,267","2,031",956,"1,708","2,045","2,478","1,451","1,334","1,911","2,949","2,364","1,693","2,038","1,708","3,668",6,"1,781"
2021년06월_여_40~49세,"37,428","3,487","3,559","2,210","1,683","2,677","1,889","2,657","1,177","1,641","1,907","2,347","1,796","1,724","1,608","1,852","3,337",13,"1,864"
2021년06월_여_50~59세,"36,703","3,101","2,809","2,085","1,368","1,668","1,589","2,986","1,166","1,344","2,394","2,718","1,994","1,571","1,883","2,075","3,787",7,"2,158"
2021년06월_여_60~69세,"34,738","2,971","2,461","1,964","1,305","1,422","1,481","2,685","1,079","1,243","2,385","2,603","2,049","1,449","1,954","1,860","3,831",13,"1,983"
2021년06월_여_70~79세,"16,103","1,450",801,834,451,558,565,"1,486",569,531,"1,206","1,406","1,057",700,969,900,"1,741",4,875
2021년06월_여_80~89세,"6,696",707,297,352,203,272,230,573,209,205,477,565,470,270,406,353,708,0,399
2021년06월_여_90~99세,"1,474",167,83,90,68,91,60,113,37,55,110,105,77,48,63,62,153,2,90
2021년06월_여_100세 이상,89,8,2,2,3,19,1,7,2,0,4,2,5,1,7,4,9,1,12
