,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020년06월_계_총인구수,"25,228","5,236","1,877","2,505","2,094","2,542","2,618","1,807","6,549"
2020년06월_계_연령구간인구수,"25,228","5,236","1,877","2,505","2,094","2,542","2,618","1,807","6,549"
2020년06월_계_0~9세,"1,007",295,47,69,78,64,77,51,326
2020년06월_계_10~19세,"1,264",366,62,98,104,100,92,51,391
2020년06월_계_20~29세,"1,766",479,104,134,134,132,124,98,561
2020년06월_계_30~39세,"1,760",490,125,112,110,129,117,108,569
2020년06월_계_40~49세,"2,456",631,154,160,209,204,204,138,756
2020년06월_계_50~59세,"4,779","1,002",368,510,414,493,497,290,"1,205"
2020년06월_계_60~69세,"5,389",904,462,631,432,668,623,435,"1,234"
2020년06월_계_70~79세,"4,055",633,343,469,350,452,516,343,949
2020년06월_계_80~89세,"2,424",381,193,284,235,261,316,246,508
2020년06월_계_90~99세,307,46,19,35,26,38,51,45,47
2020년06월_계_100세 이상,21,9,0,3,2,1,1,2,3
2020년06월_남_총인구수,"12,616","2,610",929,"1,232","1,055","1,259","1,254",895,"3,382"
2020년06월_남_연령구간인구수,"12,616","2,610",929,"1,232","1,055","1,259","1,254",895,"3,382"
2020년06월_남_0~9세,526,159,23,35,40,39,40,25,165
2020년06월_남_10~19세,671,182,38,55,56,53,53,20,214
2020년06월_남_20~29세,"1,071",285,58,82,83,68,74,59,362
2020년06월_남_30~39세,"1,039",261,82,68,68,78,66,74,342
2020년06월_남_40~49세,"1,411",348,97,85,128,116,117,84,436
2020년06월_남_50~59세,"2,521",530,186,264,218,247,252,161,663
2020년06월_남_60~69세,"2,687",443,239,307,219,331,316,238,594
2020년06월_남_70~79세,"1,766",269,144,210,148,209,214,153,419
2020년06월_남_80~89세,854,125,59,117,88,109,110,71,175
2020년06월_남_90~99세,65,6,3,8,7,9,12,9,11
2020년06월_남_100세 이상,5,2,0,1,0,0,0,1,1
2020년06월_여_총인구수,"12,612","2,626",948,"1,273","1,039","1,283","1,364",912,"3,167"
2020년06월_여_연령구간인구수,"12,612","2,626",948,"1,273","1,039","1,283","1,364",912,"3,167"
2020년06월_여_0~9세,481,136,24,34,38,25,37,26,161
2020년06월_여_10~19세,593,184,24,43,48,47,39,31,177
2020년06월_여_20~29세,695,194,46,52,51,64,50,39,199
2020년06월_여_30~39세,721,229,43,44,42,51,51,34,227
2020년06월_여_40~49세,"1,045",283,57,75,81,88,87,54,320
2020년06월_여_50~59세,"2,258",472,182,246,196,246,245,129,542
2020년06월_여_60~69세,"2,702",461,223,324,213,337,307,197,640
2020년06월_여_70~79세,"2,289",364,199,259,202,243,302,190,530
2020년06월_여_80~89세,"1,570",256,134,167,147,152,206,175,333
2020년06월_여_90~99세,242,40,16,27,19,29,39,36,36
2020년06월_여_100세 이상,16,7,0,2,2,1,1,1,2
