카테고리,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020년12월_계_총인구수,"402,169","23,031","31,196","28,674","26,523","15,863","18,263","32,243","16,329","23,436","9,984","35,333","13,306","9,017","16,489","14,394","24,250","38,404","25,434"
2020년12월_계_연령구간인구수,"402,169","23,031","31,196","28,674","26,523","15,863","18,263","32,243","16,329","23,436","9,984","35,333","13,306","9,017","16,489","14,394","24,250","38,404","25,434"
2020년12월_계_0~9세,"28,511","1,305","2,873","2,868","2,065","1,248","1,255","2,077","1,093","1,758",509,"2,646",510,253,"1,292",378,955,"4,108","1,318"
2020년12월_계_10~19세,"38,150","1,599","3,167","3,133","2,431","1,151","2,055","2,915","1,837","3,038",500,"4,234",674,531,"1,582",783,"1,532","4,937","2,051"
2020년12월_계_20~29세,"49,068","3,051","3,532","2,884","3,377","1,696","2,837","5,100","1,983","3,004","1,203","4,246","1,481",991,"2,136","1,653","2,474","4,183","3,237"
2020년12월_계_30~39세,"46,789","2,981","3,850","3,481","3,326","2,234","2,097","4,468","1,648","2,362","1,284","3,709","1,587",823,"2,026","1,175","2,037","4,826","2,875"
2020년12월_계_40~49세,"65,829","3,474","5,328","4,970","4,556","2,718","3,240","5,031","2,535","4,092","1,333","6,319","1,778","1,155","2,628","1,772","3,207","7,802","3,891"
2020년12월_계_50~59세,"70,290","3,871","5,399","4,837","4,627","2,757","3,179","5,734","2,995","4,326","1,736","6,290","2,461","1,743","2,996","2,765","4,299","5,515","4,760"
2020년12월_계_60~69세,"57,902","3,657","3,914","3,775","3,385","2,446","1,820","3,798","2,234","2,671","1,919","4,669","2,574","1,881","2,445","2,834","5,117","4,278","4,485"
2020년12월_계_70~79세,"30,796","2,163","2,086","1,842","1,860","1,131","1,076","1,955","1,195","1,367",972,"2,210","1,574","1,118","1,015","2,062","3,168","1,999","2,003"
2020년12월_계_80~89세,"12,974",796,890,772,795,409,625,"1,042",715,721,460,871,594,466,324,841,"1,271",661,721
2020년12월_계_90~99세,"1,698",108,149,108,84,65,77,121,94,97,64,135,58,50,43,104,167,88,86
2020년12월_계_100세 이상,162,26,8,4,17,8,2,2,0,0,4,4,15,6,2,27,23,7,7
2020년12월_남_총인구수,"193,618","10,969","14,836","13,571","12,782","7,543","8,522","14,888","7,696","11,156","4,820","17,525","6,442","4,416","8,118","7,235","11,778","18,954","12,367"
2020년12월_남_연령구간인구수,"193,618","10,969","14,836","13,571","12,782","7,543","8,522","14,888","7,696","11,156","4,820","17,525","6,442","4,416","8,118","7,235","11,778","18,954","12,367"
2020년12월_남_0~9세,"14,753",640,"1,474","1,488","1,089",609,623,"1,083",553,932,285,"1,370",256,132,668,191,508,"2,180",672
2020년12월_남_10~19세,"19,727",820,"1,608","1,562","1,265",603,"1,097","1,490",962,"1,552",269,"2,227",357,285,804,404,800,"2,561","1,061"
2020년12월_남_20~29세,"25,733","1,516","1,847","1,518","1,751",897,"1,343","2,403","1,072","1,575",650,"2,324",812,547,"1,163",942,"1,356","2,229","1,788"
2020년12월_남_30~39세,"22,796","1,496","1,755","1,500","1,585","1,062",953,"2,116",791,"1,092",690,"1,793",880,477,"1,013",689,"1,136","2,266","1,502"
2020년12월_남_40~49세,"31,223","1,646","2,414","2,277","2,108","1,317","1,405","2,203","1,119","1,805",717,"2,953",929,623,"1,284","1,026","1,741","3,727","1,929"
