,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2020년03월_계_총인구수,"2,952,689","137,587","64,039","406,829","370,796","531,960","506,682","301,395","544,034","68,996","20,371"
2020년03월_계_연령구간인구수,"2,952,689","137,587","64,039","406,829","370,796","531,960","506,682","301,395","544,034","68,996","20,371"
2020년03월_계_0~9세,"238,763","12,221","4,200","28,606","36,894","44,774","35,512","19,955","52,316","3,298",987
2020년03월_계_10~19세,"279,780","12,462","5,326","32,685","41,589","51,189","45,336","28,042","57,269","4,738","1,144"
2020년03월_계_20~29세,"405,826","19,210","6,803","57,106","50,839","72,221","72,539","45,468","73,429","5,520","2,691"
2020년03월_계_30~39세,"416,119","21,065","7,433","57,082","55,096","76,076","70,887","39,164","81,906","5,442","1,968"
2020년03월_계_40~49세,"489,213","24,289","10,358","64,309","65,903","90,244","80,011","47,514","96,275","7,859","2,451"
2020년03월_계_50~59세,"515,257","19,851","10,354","68,093","62,435","91,050","92,586","61,835","93,186","12,192","3,675"
2020년03월_계_60~69세,"347,493","15,238","9,804","53,758","34,874","62,459","63,169","36,176","54,577","13,627","3,811"
2020년03월_계_70~79세,"172,868","9,056","6,529","30,692","14,919","29,909","30,859","15,110","23,503","10,002","2,289"
2020년03월_계_80~89세,"74,768","3,524","2,748","12,434","6,983","11,979","13,554","7,025","9,905","5,501","1,115"
2020년03월_계_90~99세,"11,685",596,410,"1,888","1,209","1,936","2,033","1,044","1,563",776,230
2020년03월_계_100세 이상,917,75,74,176,55,123,196,62,105,41,10
2020년03월_남_총인구수,"1,479,839","71,205","32,314","204,964","184,450","264,508","251,023","150,492","274,696","34,595","11,592"
2020년03월_남_연령구간인구수,"1,479,839","71,205","32,314","204,964","184,450","264,508","251,023","150,492","274,696","34,595","11,592"
2020년03월_남_0~9세,"122,481","6,315","2,221","14,620","18,845","23,036","18,140","10,142","26,948","1,710",504
2020년03월_남_10~19세,"143,995","6,440","2,741","16,894","21,364","26,169","23,500","14,487","29,327","2,446",627
2020년03월_남_20~29세,"211,904","9,731","3,688","30,278","26,374","37,338","37,407","23,728","38,214","3,191","1,955"
2020년03월_남_30~39세,"214,926","11,355","3,927","30,569","27,218","39,047","36,657","20,258","41,786","2,872","1,237"
2020년03월_남_40~49세,"249,847","13,335","5,602","33,917","32,370","45,918","40,215","23,610","49,041","4,272","1,567"
2020년03월_남_50~59세,"257,735","10,859","5,455","34,090","30,990","44,858","45,456","30,337","47,331","6,250","2,109"
2020년03월_남_60~69세,"172,319","7,542","4,732","25,782","17,983","30,215","30,820","18,687","27,763","6,764","2,031"
2020년03월_남_70~79세,"78,381","4,189","2,875","13,879","6,788","13,475","13,840","6,754","10,736","4,726","1,119"
2020년03월_남_80~89세,"25,441","1,262",948,"4,462","2,222","4,024","4,516","2,244","3,210","2,162",391
2020년03월_남_90~99세,"2,565",150,102,426,280,399,428,230,311,191,48
2020년03월_남_100세 이상,245,27,23,47,16,29,44,15,29,11,4
2020년03월_여_총인구수,"1,472,850","66,382","31,725","201,865","186,346","267,452","255,659","150,903","269,338","34,401","8,779"
2020년03월_여_연령구간인구수,"1,472,850","66,382","31,725","201,865","186,346","267,452","255,659","150,903","269,338","34,401","8,779"
2020년03월_여_0~9세,"116,282","5,906","1,979","13,986","18,049","21,738","17,372","9,813","25,368","1,588",483
2020년03월_여_10~19세,"135,785","6,022","2,585","15,791","20,225","25,020","21,836","13,555","27,942","2,292",517
2020년03월_여_20~29세,"193,922","9,479","3,115","26,828","24,465","34,883","35,132","21,740","35,215","2,329",736
2020년03월_여_30~39세,"201,193","9,710","3,506","26,513","27,878","37,029","34,230","18,906","40,120","2,570",731
2020년03월_여_40~49세,"239,366","10,954","4,756","30,392","33,533","44,326","39,796","23,904","47,234","3,587",884
2020년03월_여_50~59세,"257,522","8,992","4,899","34,003","31,445","46,192","47,130","31,498","45,855","5,942","1,566"
2020년03월_여_60~69세,"175,174","7,696","5,072","27,976","16,891","32,244","32,349","17,489","26,814","6,863","1,780"
2020년03월_여_70~79세,"94,487","4,867","3,654","16,813","8,131","16,434","17,019","8,356","12,767","5,276","1,170"
2020년03월_여_80~89세,"49,327","2,262","1,800","7,972","4,761","7,955","9,038","4,781","6,695","3,339",724
2020년03월_여_90~99세,"9,120",446,308,"1,462",929,"1,537","1,605",814,"1,252",585,182
2020년03월_여_100세 이상,672,48,51,129,39,94,152,47,76,30,6
