,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2020년12월_계_총인구수,"296,750","25,188","29,940","19,909","16,115","19,893","23,671","28,553","20,280","31,300","21,432","34,315","26,154"
2020년12월_계_연령구간인구수,"296,750","25,188","29,940","19,909","16,115","19,893","23,671","28,553","20,280","31,300","21,432","34,315","26,154"
2020년12월_계_0~9세,"18,490","1,326","1,956",823,635,961,"1,544","1,856","1,027","2,214","1,509","1,799","2,840"
2020년12월_계_10~19세,"26,706","2,308","2,770","1,280","1,008","1,586","2,604","2,805","1,443","3,422","1,813","2,803","2,864"
2020년12월_계_20~29세,"44,194","3,623","4,321","3,015","2,527","3,445","3,989","4,277","2,988","4,807","3,050","5,206","2,946"
2020년12월_계_30~39세,"37,858","2,797","3,615","2,564","2,096","2,869","2,623","3,611","2,832","3,972","2,648","4,398","3,833"
2020년12월_계_40~49세,"45,784","3,655","4,492","2,797","2,094","2,657","4,016","4,481","2,706","5,280","3,247","5,214","5,145"
2020년12월_계_50~59세,"60,609","5,255","6,099","4,290","3,528","4,408","5,283","5,758","4,154","6,398","4,253","7,143","4,040"
2020년12월_계_60~69세,"39,089","3,808","4,234","3,172","2,650","2,697","2,397","3,687","3,170","3,135","2,912","4,433","2,794"
2020년12월_계_70~79세,"15,551","1,580","1,698","1,300","1,064",779,633,"1,363","1,321","1,268","1,279","2,106","1,160"
2020년12월_계_80~89세,"7,277",718,676,598,430,408,472,619,542,687,624,"1,041",462
2020년12월_계_90~99세,"1,121",103,76,63,78,78,107,90,89,110,95,163,69
2020년12월_계_100세 이상,71,15,3,7,5,5,3,6,8,7,2,9,1
2020년12월_남_총인구수,"147,976","12,679","15,162","10,432","8,008","9,551","11,937","14,079","10,078","15,590","10,617","16,997","12,846"
2020년12월_남_연령구간인구수,"147,976","12,679","15,162","10,432","8,008","9,551","11,937","14,079","10,078","15,590","10,617","16,997","12,846"
2020년12월_남_0~9세,"9,385",656,"1,010",441,305,492,775,927,514,"1,123",790,906,"1,446"
2020년12월_남_10~19세,"13,733","1,227","1,429",673,527,831,"1,347","1,422",732,"1,699",934,"1,439","1,473"
2020년12월_남_20~29세,"23,157","1,944","2,351","1,628","1,305","1,777","2,043","2,259","1,531","2,570","1,548","2,755","1,446"
2020년12월_남_30~39세,"19,725","1,476","1,928","1,441","1,148","1,450","1,331","1,835","1,549","2,046","1,362","2,329","1,830"
2020년12월_남_40~49세,"22,761","1,824","2,250","1,521","1,070","1,170","1,947","2,169","1,390","2,545","1,618","2,574","2,683"
2020년12월_남_50~59세,"29,541","2,621","2,958","2,259","1,682","1,977","2,635","2,777","1,960","3,170","2,050","3,518","1,934"
2020년12월_남_60~69세,"20,087","1,924","2,177","1,660","1,329","1,388","1,411","1,876","1,584","1,663","1,496","2,258","1,321"
2020년12월_남_70~79세,"6,988",732,811,606,490,342,289,610,594,532,575,876,531
2020년12월_남_80~89세,"2,338",244,234,187,138,106,141,176,203,219,223,304,163
2020년12월_남_90~99세,243,28,14,14,14,16,18,26,18,20,20,36,19
2020년12월_남_100세 이상,18,3,0,2,0,2,0,2,3,3,1,2,0
2020년12월_여_총인구수,"148,774","12,509","14,778","9,477","8,107","10,342","11,734","14,474","10,202","15,710","10,815","17,318","13,308"
2020년12월_여_연령구간인구수,"148,774","12,509","14,778","9,477","8,107","10,342","11,734","14,474","10,202","15,710","10,815","17,318","13,308"
2020년12월_여_0~9세,"9,105",670,946,382,330,469,769,929,513,"1,091",719,893,"1,394"
2020년12월_여_10~19세,"12,973","1,081","1,341",607,481,755,"1,257","1,383",711,"1,723",879,"1,364","1,391"
2020년12월_여_20~29세,"21,037","1,679","1,970","1,387","1,222","1,668","1,946","2,018","1,457","2,237","1,502","2,451","1,500"
2020년12월_여_30~39세,"18,133","1,321","1,687","1,123",948,"1,419","1,292","1,776","1,283","1,926","1,286","2,069","2,003"
2020년12월_여_40~49세,"23,023","1,831","2,242","1,276","1,024","1,487","2,069","2,312","1,316","2,735","1,629","2,640","2,462"
2020년12월_여_50~59세,"31,068","2,634","3,141","2,031","1,846","2,431","2,648","2,981","2,194","3,228","2,203","3,625","2,106"
2020년12월_여_60~69세,"19,002","1,884","2,057","1,512","1,321","1,309",986,"1,811","1,586","1,472","1,416","2,175","1,473"
2020년12월_여_70~79세,"8,563",848,887,694,574,437,344,753,727,736,704,"1,230",629
2020년12월_여_80~89세,"4,939",474,442,411,292,302,331,443,339,468,401,737,299
2020년12월_여_90~99세,878,75,62,49,64,62,89,64,71,90,75,127,50
2020년12월_여_100세 이상,53,12,3,5,5,3,3,4,5,4,1,7,1
