,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2021년05월_계_총인구수,"390,476","24,445","19,153","14,644","34,165","22,122","25,240","24,575","20,148","20,000","25,124","34,964","19,138","30,165","16,686","39,018","20,889"
2021년05월_계_연령구간인구수,"390,476","24,445","19,153","14,644","34,165","22,122","25,240","24,575","20,148","20,000","25,124","34,964","19,138","30,165","16,686","39,018","20,889"
2021년05월_계_0~9세,"22,147","1,198","1,056","1,332","1,502","1,166","1,085","1,813",773,"1,227","1,022","2,272","1,017","1,459",741,"3,182","1,302"
2021년05월_계_10~19세,"26,043","1,561","1,199",885,"1,892","1,230","1,453","1,919",762,"1,308","1,163","3,063","1,195","1,848","1,122","3,746","1,697"
2021년05월_계_20~29세,"55,651","3,328","2,517","1,775","5,365","3,089","3,774","3,556","4,184","2,850","3,716","4,983","2,682","4,173","2,287","4,861","2,511"
2021년05월_계_30~39세,"57,123","3,231","2,711","2,675","5,264","3,347","3,528","3,630","4,287","3,156","3,633","4,809","3,024","4,044","2,029","4,877","2,878"
2021년05월_계_40~49세,"56,632","3,626","2,960","2,231","4,937","3,159","3,440","3,559","2,582","2,807","3,383","5,711","2,819","4,053","2,332","5,892","3,141"
2021년05월_계_50~59세,"68,444","4,817","3,291","2,461","6,298","3,845","4,646","4,288","3,103","3,301","4,813","5,549","3,233","5,609","3,251","6,443","3,496"
2021년05월_계_60~69세,"59,581","3,758","2,967","1,922","5,022","3,594","4,111","3,459","2,544","3,153","4,192","4,814","2,998","5,191","2,809","5,706","3,341"
2021년05월_계_70~79세,"31,122","2,043","1,818",972,"2,762","1,924","2,255","1,576","1,361","1,574","2,217","2,590","1,529","2,613","1,456","2,803","1,629"
2021년05월_계_80~89세,"12,074",769,560,356,"1,016",675,832,684,477,555,892,"1,034",577,"1,016",566,"1,275",790
2021년05월_계_90~99세,"1,582",110,70,34,105,92,112,89,64,68,86,126,61,151,91,223,100
2021년05월_계_100세 이상,77,4,4,1,2,1,4,2,11,1,7,13,3,8,2,10,4
2021년05월_남_총인구수,"192,923","12,194","9,536","7,378","16,945","11,116","12,541","12,001","9,747","9,793","12,911","16,912","9,428","15,120","8,384","18,983","9,934"
2021년05월_남_연령구간인구수,"192,923","12,194","9,536","7,378","16,945","11,116","12,541","12,001","9,747","9,793","12,911","16,912","9,428","15,120","8,384","18,983","9,934"
2021년05월_남_0~9세,"11,442",609,554,657,769,640,554,942,382,636,561,"1,163",523,750,399,"1,646",657
2021년05월_남_10~19세,"13,224",771,619,458,927,644,754,"1,015",406,638,613,"1,550",622,918,518,"1,915",856
2021년05월_남_20~29세,"27,533","1,662","1,299",904,"2,698","1,571","1,897","1,754","1,743","1,396","1,844","2,395","1,310","2,101","1,172","2,493","1,294"
2021년05월_남_30~39세,"29,400","1,700","1,407","1,351","2,762","1,713","1,876","1,833","2,195","1,652","1,929","2,419","1,572","2,106","1,108","2,384","1,393"
2021년05월_남_40~49세,"29,256","1,919","1,574","1,214","2,590","1,675","1,812","1,762","1,353","1,462","1,841","2,797","1,437","2,166","1,183","2,919","1,552"
2021년05월_남_50~59세,"33,844","2,465","1,657","1,248","3,140","1,907","2,268","2,054","1,561","1,546","2,566","2,666","1,586","2,821","1,656","3,058","1,645"
2021년05월_남_60~69세,"28,910","1,830","1,388",953,"2,435","1,760","1,985","1,674","1,230","1,510","2,151","2,260","1,411","2,602","1,425","2,756","1,540"
2021년05월_남_70~79세,"14,215",918,798,448,"1,202",916,"1,023",690,652,715,"1,017","1,197",718,"1,255",672,"1,296",698
2021년05월_남_80~89세,"4,730",295,218,134,402,272,338,262,206,225,361,437,235,364,234,479,268
2021년05월_남_90~99세,348,25,21,10,19,18,33,15,17,12,26,22,13,34,17,37,29
2021년05월_남_100세 이상,21,0,1,1,1,0,1,0,2,1,2,6,1,3,0,0,2
2021년05월_여_총인구수,"197,553","12,251","9,617","7,266","17,220","11,006","12,699","12,574","10,401","10,207","12,213","18,052","9,710","15,045","8,302","20,035","10,955"
2021년05월_여_연령구간인구수,"197,553","12,251","9,617","7,266","17,220","11,006","12,699","12,574","10,401","10,207","12,213","18,052","9,710","15,045","8,302","20,035","10,955"
2021년05월_여_0~9세,"10,705",589,502,675,733,526,531,871,391,591,461,"1,109",494,709,342,"1,536",645
2021년05월_여_10~19세,"12,819",790,580,427,965,586,699,904,356,670,550,"1,513",573,930,604,"1,831",841
2021년05월_여_20~29세,"28,118","1,666","1,218",871,"2,667","1,518","1,877","1,802","2,441","1,454","1,872","2,588","1,372","2,072","1,115","2,368","1,217"
2021년05월_여_30~39세,"27,723","1,531","1,304","1,324","2,502","1,634","1,652","1,797","2,092","1,504","1,704","2,390","1,452","1,938",921,"2,493","1,485"
2021년05월_여_40~49세,"27,376","1,707","1,386","1,017","2,347","1,484","1,628","1,797","1,229","1,345","1,542","2,914","1,382","1,887","1,149","2,973","1,589"
2021년05월_여_50~59세,"34,600","2,352","1,634","1,213","3,158","1,938","2,378","2,234","1,542","1,755","2,247","2,883","1,647","2,788","1,595","3,385","1,851"
2021년05월_여_60~69세,"30,671","1,928","1,579",969,"2,587","1,834","2,126","1,785","1,314","1,643","2,041","2,554","1,587","2,589","1,384","2,950","1,801"
2021년05월_여_70~79세,"16,907","1,125","1,020",524,"1,560","1,008","1,232",886,709,859,"1,200","1,393",811,"1,358",784,"1,507",931
2021년05월_여_80~89세,"7,344",474,342,222,614,403,494,422,271,330,531,597,342,652,332,796,522
2021년05월_여_90~99세,"1,234",85,49,24,86,74,79,74,47,56,60,104,48,117,74,186,71
2021년05월_여_100세 이상,56,4,3,0,1,1,3,2,9,0,5,7,2,5,2,10,2
