,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년10월_계_총인구수,"1,075,490","258,355","33,392","25,975","20,173","23,447","8,227","8,954","20,077","24,528","44,547","35,912","13,123","440,826","38,837","30,757","17,570","42,183","13,459","33,687","21,309","25,741","39,462","32,447","33,070","27,302","23,480","24,945","36,577","376,309","36,801","41,799","38,268","56,974","18,526","49,463","48,820","34,174","51,484"
2020년10월_계_연령구간인구수,"1,075,490","258,355","33,392","25,975","20,173","23,447","8,227","8,954","20,077","24,528","44,547","35,912","13,123","440,826","38,837","30,757","17,570","42,183","13,459","33,687","21,309","25,741","39,462","32,447","33,070","27,302","23,480","24,945","36,577","376,309","36,801","41,799","38,268","56,974","18,526","49,463","48,820","34,174","51,484"
2020년10월_계_0~9세,"101,647","21,356","2,340","1,926","1,595","3,221",332,236,"1,294","1,596","4,921","3,204",691,"43,259","3,415","3,569","1,899","4,399","1,001","3,118","1,859","3,223","3,404","2,727","3,565","2,683","2,980","2,021","3,396","37,032","2,784","4,751","3,591","5,177","1,532","5,764","4,852","3,433","5,148"
2020년10월_계_10~19세,"123,211","26,553","3,901","2,353","1,796","1,836",576,949,"2,954","2,217","4,451","4,363","1,157","51,035","3,644","3,569","1,296","3,419","1,304","4,360","2,150","2,446","4,861","3,118","5,746","4,730","2,992","2,841","4,559","45,623","3,716","5,822","5,312","7,167","1,618","5,378","6,208","4,242","6,160"
2020년10월_계_20~29세,"137,286","34,486","4,743","3,294","2,118","1,945",750,906,"2,517","4,341","7,119","4,859","1,894","56,418","5,152","3,815","2,477","6,702","1,951","4,017","2,512","4,913","4,287","4,101","3,520","3,136","2,206","3,419","4,210","46,382","5,427","4,901","4,079","7,805","2,794","5,564","6,356","3,900","5,556"
2020년10월_계_30~39세,"146,212","33,938","3,957","3,037","2,343","4,226",729,730,"2,346","3,148","7,425","4,581","1,416","60,051","6,216","4,788","3,220","7,926","1,895","3,965","2,777","4,603","4,310","4,137","3,471","2,495","3,176","2,840","4,232","52,223","6,216","6,327","4,131","7,093","3,295","7,992","6,858","4,366","5,945"
2020년10월_계_40~49세,"200,386","43,526","6,015","4,416","3,336","4,067","1,086","1,014","3,097","3,885","7,780","6,818","2,012","84,080","6,664","6,062","2,774","7,078","2,436","6,589","3,800","4,387","7,814","5,431","7,952","6,302","4,950","4,515","7,326","72,780","6,158","9,064","8,037","10,955","3,049","9,587","9,407","6,612","9,911"
2020년10월_계_50~59세,"164,329","43,107","5,843","4,629","3,700","3,107","1,612","1,629","3,386","4,199","6,338","6,066","2,598","66,322","6,245","4,749","2,764","6,539","2,262","5,135","3,488","3,182","5,788","5,070","4,565","4,196","2,666","4,366","5,307","54,900","5,441","5,740","5,698","8,655","2,888","6,981","7,022","5,026","7,449"
2020년10월_계_60~69세,"105,111","30,836","3,628","3,556","2,903","2,826","1,637","1,785","2,577","2,907","3,743","3,309","1,965","40,829","3,924","2,533","1,661","3,500","1,250","3,303","2,648","1,803","4,308","3,730","2,080","1,943","2,003","2,670","3,473","33,446","3,611","2,420","3,447","5,056","1,744","4,584","4,074","3,045","5,465"
2020년10월_계_70~79세,"65,580","15,968","1,914","1,854","1,501","1,495",941,956,"1,183","1,457","1,884","1,822",961,"26,215","2,384","1,147",742,"1,857",907,"2,218","1,426",809,"3,193","2,810","1,474","1,206","1,684","1,535","2,823","23,397","2,328","1,754","2,791","3,368","1,052","2,591","2,797","2,486","4,230"
