,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2021년05월_계_총인구수,"540,790","45,577","41,061","31,521","48,863","31,016","28,205","6,580","9,767","22,584","13,243","13,972","31,857","12,218","20,208","16,547","10,696","32,958","22,693","24,605","28,195","25,350","23,074"
2021년05월_계_연령구간인구수,"540,790","45,577","41,061","31,521","48,863","31,016","28,205","6,580","9,767","22,584","13,243","13,972","31,857","12,218","20,208","16,547","10,696","32,958","22,693","24,605","28,195","25,350","23,074"
2021년05월_계_0~9세,"48,382","4,447","2,302","3,807","6,549","4,719","3,233",331,437,"1,167",646,570,"2,688",614,"1,346",658,766,"2,600","1,844","2,454","2,854","2,293","2,057"
2021년05월_계_10~19세,"56,252","4,430","3,455","4,391","6,440","3,934","2,139",390,740,"1,571",911,"1,205","2,956",869,"1,877","1,228",780,"3,431","2,775","3,545","3,280","2,684","3,221"
2021년05월_계_20~29세,"71,777","6,397","6,493","3,950","5,667","3,362","3,437","1,037","1,554","3,183","1,707","2,099","4,196","1,717","2,874","2,347","1,286","4,696","2,829","2,772","3,812","3,198","3,164"
2021년05월_계_30~39세,"78,025","8,121","4,909","5,669","8,036","5,600","4,782",915,"1,205","2,939","1,516","1,541","4,369","1,556","2,530","1,809","1,629","4,565","2,499","3,225","4,447","3,363","2,800"
2021년05월_계_40~49세,"94,885","8,484","6,123","6,498","10,114","6,382","4,586",799,"1,292","3,187","1,870","2,017","4,961","1,821","2,986","2,250","1,561","5,802","4,399","5,523","5,425","4,455","4,350"
2021년05월_계_50~59세,"93,435","6,971","8,596","4,171","6,722","4,010","4,614","1,590","2,219","4,642","2,699","2,908","5,901","2,501","3,930","3,342","1,934","5,855","4,044","3,777","4,608","4,494","3,907"
2021년05월_계_60~69세,"61,079","4,215","5,546","2,007","3,650","2,147","3,459","1,056","1,535","3,685","2,362","2,212","4,493","1,885","2,988","2,933","1,742","3,671","2,283","1,842","2,329","2,947","2,092"
2021년05월_계_70~79세,"24,580","1,747","2,258",676,"1,139",594,"1,324",285,496,"1,525","1,060",948,"1,622",858,"1,075","1,293",646,"1,573","1,318",981,926,"1,252",984
2021년05월_계_80~89세,"10,570",651,"1,167",310,460,218,527,135,253,583,402,414,568,356,505,586,295,669,636,415,445,550,425
2021년05월_계_90~99세,"1,730",110,199,41,81,49,100,36,33,98,68,56,100,38,94,98,55,91,63,68,68,110,74
2021년05월_계_100세 이상,75,4,13,1,5,1,4,6,3,4,2,2,3,3,3,3,2,5,3,3,1,4,0
