,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2020년11월_계_총인구수,"326,082","25,364","29,683","14,362","27,261","25,254","21,662","27,904","21,879","19,304","16,812","19,300","29,043","20,326","27,928"
2020년11월_계_연령구간인구수,"326,082","25,364","29,683","14,362","27,261","25,254","21,662","27,904","21,879","19,304","16,812","19,300","29,043","20,326","27,928"
2020년11월_계_0~9세,"18,941","1,594","1,843",783,"1,813","1,580",872,"1,651","1,217","1,031",819,"1,218","1,562",956,"2,002"
2020년11월_계_10~19세,"25,824","2,190","2,303","1,101","2,644","1,961","1,211","1,759","1,628","1,417","1,028","2,055","2,248","1,495","2,784"
2020년11월_계_20~29세,"43,572","3,318","4,141","1,839","3,737","3,754","2,643","3,378","3,110","2,544","2,502","2,569","3,917","2,724","3,396"
2020년11월_계_30~39세,"41,166","3,456","4,148","1,715","3,427","3,568","2,393","3,681","2,625","2,640","2,391","2,338","3,349","2,223","3,212"
2020년11월_계_40~49세,"48,735","4,142","4,598","2,180","4,454","3,583","2,936","3,837","3,243","2,813","2,449","3,012","4,270","2,959","4,259"
2020년11월_계_50~59세,"57,209","4,207","5,185","2,635","4,934","4,462","3,825","4,534","3,717","3,333","2,844","3,451","5,428","3,798","4,856"
2020년11월_계_60~69세,"49,573","3,471","4,121","2,153","3,480","3,617","3,936","4,922","3,319","3,020","2,450","2,783","4,595","3,335","4,371"
2020년11월_계_70~79세,"27,661","1,984","2,302","1,373","1,738","1,779","2,705","2,796","2,060","1,641","1,647","1,186","2,584","1,966","1,900"
2020년11월_계_80~89세,"11,578",880,931,520,888,808,"1,003","1,146",837,735,599,573,931,742,985
2020년11월_계_90~99세,"1,643",114,108,53,137,130,120,172,106,111,74,108,147,110,153
2020년11월_계_100세 이상,180,8,3,10,9,12,18,28,17,19,9,7,12,18,10
2020년11월_남_총인구수,"159,076","12,089","14,517","7,176","13,105","12,137","10,972","13,660","10,539","9,293","8,156","9,125","14,438","10,275","13,594"
2020년11월_남_연령구간인구수,"159,076","12,089","14,517","7,176","13,105","12,137","10,972","13,660","10,539","9,293","8,156","9,125","14,438","10,275","13,594"
2020년11월_남_0~9세,"9,791",816,960,408,938,820,433,840,623,543,416,641,776,490,"1,087"
2020년11월_남_10~19세,"13,318","1,105","1,207",579,"1,353","1,006",649,912,790,750,535,"1,021","1,135",794,"1,482"
2020년11월_남_20~29세,"22,217","1,645","2,060",963,"1,901","1,837","1,425","1,716","1,472","1,299","1,227","1,300","2,032","1,486","1,854"
2020년11월_남_30~39세,"21,041","1,731","2,092",916,"1,652","1,835","1,326","1,875","1,347","1,351","1,234","1,123","1,724","1,223","1,612"
2020년11월_남_40~49세,"24,132","2,008","2,334","1,125","2,093","1,696","1,594","1,946","1,650","1,407","1,265","1,368","2,115","1,534","1,997"
2020년11월_남_50~59세,"27,255","1,949","2,477","1,305","2,335","2,051","1,914","2,203","1,784","1,512","1,318","1,552","2,733","1,871","2,251"
2020년11월_남_60~69세,"23,658","1,611","1,935","1,051","1,674","1,713","1,884","2,341","1,566","1,415","1,153","1,341","2,231","1,661","2,082"
2020년11월_남_70~79세,"12,718",865,"1,033",614,797,823,"1,289","1,329",952,703,727,549,"1,284",891,862
2020년11월_남_80~89세,"4,448",322,390,202,311,317,411,450,325,278,259,197,370,289,327
2020년11월_남_90~99세,449,35,29,10,47,36,44,42,23,27,21,32,36,31,36
2020년11월_남_100세 이상,49,2,0,3,4,3,3,6,7,8,1,1,2,5,4
2020년11월_여_총인구수,"167,006","13,275","15,166","7,186","14,156","13,117","10,690","14,244","11,340","10,011","8,656","10,175","14,605","10,051","14,334"
2020년11월_여_연령구간인구수,"167,006","13,275","15,166","7,186","14,156","13,117","10,690","14,244","11,340","10,011","8,656","10,175","14,605","10,051","14,334"
2020년11월_여_0~9세,"9,150",778,883,375,875,760,439,811,594,488,403,577,786,466,915
2020년11월_여_10~19세,"12,506","1,085","1,096",522,"1,291",955,562,847,838,667,493,"1,034","1,113",701,"1,302"
2020년11월_여_20~29세,"21,355","1,673","2,081",876,"1,836","1,917","1,218","1,662","1,638","1,245","1,275","1,269","1,885","1,238","1,542"
2020년11월_여_30~39세,"20,125","1,725","2,056",799,"1,775","1,733","1,067","1,806","1,278","1,289","1,157","1,215","1,625","1,000","1,600"
2020년11월_여_40~49세,"24,603","2,134","2,264","1,055","2,361","1,887","1,342","1,891","1,593","1,406","1,184","1,644","2,155","1,425","2,262"
2020년11월_여_50~59세,"29,954","2,258","2,708","1,330","2,599","2,411","1,911","2,331","1,933","1,821","1,526","1,899","2,695","1,927","2,605"
2020년11월_여_60~69세,"25,915","1,860","2,186","1,102","1,806","1,904","2,052","2,581","1,753","1,605","1,297","1,442","2,364","1,674","2,289"
2020년11월_여_70~79세,"14,943","1,119","1,269",759,941,956,"1,416","1,467","1,108",938,920,637,"1,300","1,075","1,038"
2020년11월_여_80~89세,"7,130",558,541,318,577,491,592,696,512,457,340,376,561,453,658
2020년11월_여_90~99세,"1,194",79,79,43,90,94,76,130,83,84,53,76,111,79,117
2020년11월_여_100세 이상,131,6,3,7,5,9,15,22,10,11,8,6,10,13,6
