,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2021년01월_계_총인구수,"52,038","20,972","1,955","2,889","2,237","3,437","2,453","4,530","2,321","2,572","2,215","2,682","2,628","1,147"
2021년01월_계_연령구간인구수,"52,038","20,972","1,955","2,889","2,237","3,437","2,453","4,530","2,321","2,572","2,215","2,682","2,628","1,147"
2021년01월_계_0~9세,"2,536","1,640",44,62,75,97,49,212,71,48,65,70,77,26
2021년01월_계_10~19세,"3,732","2,362",65,115,123,150,78,279,110,99,89,116,117,29
2021년01월_계_20~29세,"4,263","2,181",118,202,166,204,130,383,157,143,160,178,178,63
2021년01월_계_30~39세,"3,876","2,054",106,157,171,229,113,354,136,114,125,130,122,65
2021년01월_계_40~49세,"6,116","3,103",152,261,226,380,189,534,221,231,178,255,276,110
2021년01월_계_50~59세,"8,815","3,440",314,492,402,508,444,864,404,420,404,450,462,211
2021년01월_계_60~69세,"9,660","2,982",450,567,448,758,562,909,580,533,453,566,577,275
2021년01월_계_70~79세,"7,715","1,997",376,572,344,719,493,626,416,520,411,529,495,217
2021년01월_계_80~89세,"4,671","1,089",282,402,239,352,350,326,195,407,293,340,272,124
2021년01월_계_90~99세,616,117,44,58,41,38,42,41,28,55,34,46,47,25
2021년01월_계_100세 이상,38,7,4,1,2,2,3,2,3,2,3,2,5,2
2021년01월_남_총인구수,"25,873","10,276",948,"1,465","1,155","1,734","1,218","2,329","1,185","1,266","1,086","1,315","1,287",609
2021년01월_남_연령구간인구수,"25,873","10,276",948,"1,465","1,155","1,734","1,218","2,329","1,185","1,266","1,086","1,315","1,287",609
2021년01월_남_0~9세,"1,330",849,24,39,27,42,25,119,41,24,38,40,47,15
2021년01월_남_10~19세,"1,964","1,225",40,63,67,76,47,145,63,52,46,60,65,15
2021년01월_남_20~29세,"2,399","1,202",69,118,86,109,73,216,104,83,81,104,117,37
2021년01월_남_30~39세,"2,100","1,016",62,92,105,146,67,205,73,78,78,70,65,43
2021년01월_남_40~49세,"3,426","1,545",98,182,143,245,129,332,129,145,102,143,162,71
2021년01월_남_50~59세,"4,811","1,707",181,289,238,302,244,467,227,249,240,274,253,140
2021년01월_남_60~69세,"4,842","1,479",219,300,256,361,290,455,277,267,244,282,270,142
2021년01월_남_70~79세,"3,358",867,155,241,148,315,221,288,202,213,173,213,223,99
2021년01월_남_80~89세,"1,508",363,93,127,76,126,112,94,64,139,80,116,77,41
2021년01월_남_90~99세,129,22,7,14,8,12,9,8,5,16,3,13,7,5
2021년01월_남_100세 이상,6,1,0,0,1,0,1,0,0,0,1,0,1,1
2021년01월_여_총인구수,"26,165","10,696","1,007","1,424","1,082","1,703","1,235","2,201","1,136","1,306","1,129","1,367","1,341",538
2021년01월_여_연령구간인구수,"26,165","10,696","1,007","1,424","1,082","1,703","1,235","2,201","1,136","1,306","1,129","1,367","1,341",538
2021년01월_여_0~9세,"1,206",791,20,23,48,55,24,93,30,24,27,30,30,11
2021년01월_여_10~19세,"1,768","1,137",25,52,56,74,31,134,47,47,43,56,52,14
2021년01월_여_20~29세,"1,864",979,49,84,80,95,57,167,53,60,79,74,61,26
2021년01월_여_30~39세,"1,776","1,038",44,65,66,83,46,149,63,36,47,60,57,22
2021년01월_여_40~49세,"2,690","1,558",54,79,83,135,60,202,92,86,76,112,114,39
2021년01월_여_50~59세,"4,004","1,733",133,203,164,206,200,397,177,171,164,176,209,71
2021년01월_여_60~69세,"4,818","1,503",231,267,192,397,272,454,303,266,209,284,307,133
2021년01월_여_70~79세,"4,357","1,130",221,331,196,404,272,338,214,307,238,316,272,118
2021년01월_여_80~89세,"3,163",726,189,275,163,226,238,232,131,268,213,224,195,83
2021년01월_여_90~99세,487,95,37,44,33,26,33,33,23,39,31,33,40,20
2021년01월_여_100세 이상,32,6,4,1,1,2,2,2,3,2,2,2,4,1
