카테고리,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2021년08월_계_총인구수,"23,834","9,421","2,202","4,008","2,588","4,209","1,406"
2021년08월_계_연령구간인구수,"23,834","9,421","2,202","4,008","2,588","4,209","1,406"
2021년08월_계_0~9세,"1,103",677,50,157,62,122,35
2021년08월_계_10~19세,"1,794",989,105,282,117,246,55
2021년08월_계_20~29세,"1,724",876,107,323,138,225,55
2021년08월_계_30~39세,"1,645",866,125,246,111,231,66
2021년08월_계_40~49세,"2,759","1,414",179,474,223,367,102
2021년08월_계_50~59세,"4,125","1,501",440,769,436,744,235
2021년08월_계_60~69세,"4,600","1,337",531,806,589,966,371
2021년08월_계_70~79세,"3,298",984,351,542,462,691,268
2021년08월_계_80~89세,"2,424",666,276,364,395,542,181
2021년08월_계_90~99세,340,103,37,43,53,67,37
2021년08월_계_100세 이상,22,8,1,2,2,8,1
2021년08월_남_총인구수,"11,866","4,698","1,098","2,009","1,274","2,081",706
2021년08월_남_연령구간인구수,"11,866","4,698","1,098","2,009","1,274","2,081",706
2021년08월_남_0~9세,594,365,29,88,30,66,16
2021년08월_남_10~19세,909,488,60,161,55,119,26
2021년08월_남_20~29세,951,473,62,160,88,132,36
2021년08월_남_30~39세,907,454,70,139,70,136,38
2021년08월_남_40~49세,"1,531",738,110,265,126,226,66
2021년08월_남_50~59세,"2,278",833,227,432,246,405,135
2021년08월_남_60~69세,"2,383",669,274,416,319,505,200
2021년08월_남_70~79세,"1,389",423,161,216,180,294,115
2021년08월_남_80~89세,846,234,94,125,147,182,64
2021년08월_남_90~99세,74,21,10,7,13,13,10
2021년08월_남_100세 이상,4,0,1,0,0,3,0
2021년08월_여_총인구수,"11,968","4,723","1,104","1,999","1,314","2,128",700
2021년08월_여_연령구간인구수,"11,968","4,723","1,104","1,999","1,314","2,128",700
2021년08월_여_0~9세,509,312,21,69,32,56,19
2021년08월_여_10~19세,885,501,45,121,62,127,29
2021년08월_여_20~29세,773,403,45,163,50,93,19
2021년08월_여_30~39세,738,412,55,107,41,95,28
2021년08월_여_40~49세,"1,228",676,69,209,97,141,36
2021년08월_여_50~59세,"1,847",668,213,337,190,339,100
2021년08월_여_60~69세,"2,217",668,257,390,270,461,171
2021년08월_여_70~79세,"1,909",561,190,326,282,397,153
2021년08월_여_80~89세,"1,578",432,182,239,248,360,117
2021년08월_여_90~99세,266,82,27,36,40,54,27
2021년08월_여_100세 이상,18,8,0,2,2,5,1
