카테고리,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2021년05월_계_총인구수,"140,629","7,037","3,042","3,122","2,455","3,312","4,043","3,139","3,427","1,958","2,221","2,820","1,562","1,270","2,311","1,040","6,665","7,634","3,951","25,498","20,392","11,086","22,644"
2021년05월_계_연령구간인구수,"140,629","7,037","3,042","3,122","2,455","3,312","4,043","3,139","3,427","1,958","2,221","2,820","1,562","1,270","2,311","1,040","6,665","7,634","3,951","25,498","20,392","11,086","22,644"
2021년05월_계_0~9세,"10,178",334,125,68,56,71,156,88,79,59,52,58,43,26,47,9,190,208,136,"2,011","1,361",883,"4,118"
2021년05월_계_10~19세,"12,396",410,130,140,101,106,172,141,185,72,85,81,55,37,325,33,357,422,230,"3,222","2,384","1,066","2,642"
2021년05월_계_20~29세,"14,532",522,254,223,171,166,293,243,286,147,132,168,80,61,112,44,644,815,318,"3,762","2,322","1,444","2,325"
2021년05월_계_30~39세,"14,771",533,219,194,146,169,217,174,199,119,126,126,71,54,107,23,538,685,250,"2,857","1,959","1,304","4,701"
2021년05월_계_40~49세,"19,287",825,300,304,200,240,409,275,312,181,188,186,101,105,146,84,804,854,406,"4,092","2,953","1,817","4,505"
2021년05월_계_50~59세,"23,649","1,412",554,591,472,585,730,592,709,375,423,530,260,212,360,212,"1,067","1,330",654,"4,314","3,693","1,937","2,637"
2021년05월_계_60~69세,"22,837","1,497",667,716,621,856,941,801,828,436,546,707,380,328,497,302,"1,546","1,624",876,"2,894","3,132","1,510","1,132"
2021년05월_계_70~79세,"13,349",856,435,473,385,563,644,500,449,289,344,501,300,222,370,156,989,"1,051",668,"1,419","1,601",749,385
2021년05월_계_80~89세,"8,319",545,316,345,259,474,407,282,321,242,282,385,236,192,303,158,474,568,366,821,860,318,165
2021년05월_계_90~99세,"1,280",101,41,66,43,82,73,43,56,38,41,78,34,31,41,19,56,75,46,100,126,57,33
2021년05월_계_100세 이상,31,2,1,2,1,0,1,0,3,0,2,0,2,2,3,0,0,2,1,6,1,1,1
2021년05월_남_총인구수,"70,590","3,552","1,598","1,607","1,249","1,645","2,064","1,616","1,746","1,010","1,110","1,400",785,635,"1,151",501,"3,401","3,726","1,911","12,654","10,192","5,656","11,381"
2021년05월_남_연령구간인구수,"70,590","3,552","1,598","1,607","1,249","1,645","2,064","1,616","1,746","1,010","1,110","1,400",785,635,"1,151",501,"3,401","3,726","1,911","12,654","10,192","5,656","11,381"
2021년05월_남_0~9세,"5,261",173,61,40,38,44,87,45,42,42,27,30,23,17,30,6,106,105,76,"1,030",688,447,"2,104"
2021년05월_남_10~19세,"6,743",213,72,74,49,55,107,85,97,43,46,52,35,20,170,18,174,231,125,"1,686","1,451",599,"1,341"
2021년05월_남_20~29세,"8,146",300,154,144,112,113,182,132,181,80,76,91,51,35,69,27,378,467,165,"2,073","1,353",802,"1,161"
