카테고리,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2020년12월_계_총인구수,"229,725","36,118","20,124","60,851","31,988","16,209","64,435"
2020년12월_계_연령구간인구수,"229,725","36,118","20,124","60,851","31,988","16,209","64,435"
2020년12월_계_0~9세,"23,784","4,070",931,"7,142","4,055","1,415","6,171"
2020년12월_계_10~19세,"24,873","4,237","1,157","6,930","3,301","1,974","7,274"
2020년12월_계_20~29세,"31,321","4,458","3,785","7,112","4,097","2,215","9,654"
2020년12월_계_30~39세,"38,973","5,619","4,856","9,961","6,045","2,376","10,116"
2020년12월_계_40~49세,"43,237","6,785","3,700","11,565","6,042","3,101","12,044"
2020년12월_계_50~59세,"33,266","5,393","2,812","8,477","4,226","2,503","9,855"
2020년12월_계_60~69세,"19,943","3,167","1,728","5,585","2,624","1,479","5,360"
2020년12월_계_70~79세,"9,779","1,606",810,"2,776","1,096",772,"2,719"
2020년12월_계_80~89세,"3,998",696,306,"1,149",426,337,"1,084"
2020년12월_계_90~99세,509,81,33,142,71,32,150
2020년12월_계_100세 이상,42,6,6,12,5,5,8
2020년12월_남_총인구수,"118,785","18,123","11,829","30,735","16,375","8,335","33,388"
2020년12월_남_연령구간인구수,"118,785","18,123","11,829","30,735","16,375","8,335","33,388"
2020년12월_남_0~9세,"12,105","2,111",460,"3,628","2,040",740,"3,126"
2020년12월_남_10~19세,"12,682","2,084",577,"3,510","1,672","1,028","3,811"
2020년12월_남_20~29세,"16,928","2,330","2,139","3,772","2,187","1,197","5,303"
2020년12월_남_30~39세,"21,067","2,897","3,133","5,147","3,155","1,310","5,425"
2020년12월_남_40~49세,"22,913","3,445","2,288","6,120","3,165","1,579","6,316"
2020년12월_남_50~59세,"17,350","2,751","1,774","4,273","2,128","1,303","5,121"
2020년12월_남_60~69세,"9,839","1,558",940,"2,650","1,317",720,"2,654"
2020년12월_남_70~79세,"4,321",672,382,"1,221",545,331,"1,170"
2020년12월_남_80~89세,"1,466",261,128,381,156,117,423
2020년12월_남_90~99세,102,12,6,30,9,7,38
2020년12월_남_100세 이상,12,2,2,3,1,3,1
2020년12월_여_총인구수,"110,940","17,995","8,295","30,116","15,613","7,874","31,047"
2020년12월_여_연령구간인구수,"110,940","17,995","8,295","30,116","15,613","7,874","31,047"
2020년12월_여_0~9세,"11,679","1,959",471,"3,514","2,015",675,"3,045"
2020년12월_여_10~19세,"12,191","2,153",580,"3,420","1,629",946,"3,463"
2020년12월_여_20~29세,"14,393","2,128","1,646","3,340","1,910","1,018","4,351"
2020년12월_여_30~39세,"17,906","2,722","1,723","4,814","2,890","1,066","4,691"
2020년12월_여_40~49세,"20,324","3,340","1,412","5,445","2,877","1,522","5,728"
2020년12월_여_50~59세,"15,916","2,642","1,038","4,204","2,098","1,200","4,734"
2020년12월_여_60~69세,"10,104","1,609",788,"2,935","1,307",759,"2,706"
2020년12월_여_70~79세,"5,458",934,428,"1,555",551,441,"1,549"
2020년12월_여_80~89세,"2,532",435,178,768,270,220,661
2020년12월_여_90~99세,407,69,27,112,62,25,112
2020년12월_여_100세 이상,30,4,4,9,4,2,7
