,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2020년11월_계_총인구수,"218,882","37,513","40,280","39,088","16,575","29,960","35,303","10,051","10,112"
2020년11월_계_연령구간인구수,"218,882","37,513","40,280","39,088","16,575","29,960","35,303","10,051","10,112"
2020년11월_계_0~9세,"25,313","4,711","5,458","3,772","2,694","2,722","4,442",746,768
2020년11월_계_10~19세,"23,667","3,944","4,685","6,316","1,311","2,275","3,585",763,788
2020년11월_계_20~29세,"27,885","4,277","4,546","4,973","1,241","4,776","5,011","1,742","1,319"
2020년11월_계_30~39세,"34,316","5,918","6,722","3,982","3,520","4,928","6,195","1,618","1,433"
2020년11월_계_40~49세,"38,559","6,704","7,492","8,513","2,768","4,379","5,717","1,442","1,544"
2020년11월_계_50~59세,"38,730","6,245","6,340","7,113","2,209","6,422","6,431","2,023","1,947"
2020년11월_계_60~69세,"19,566","3,598","3,246","2,588","1,750","3,064","2,601","1,171","1,548"
2020년11월_계_70~79세,"7,387","1,484","1,203","1,253",670,953,870,393,561
2020년11월_계_80~89세,"2,998",542,513,504,351,385,389,131,183
2020년11월_계_90~99세,440,85,74,71,56,55,62,21,16
2020년11월_계_100세 이상,21,5,1,3,5,1,0,1,5
2020년11월_남_총인구수,"113,325","19,154","20,596","19,895","8,488","15,993","18,018","5,765","5,416"
2020년11월_남_연령구간인구수,"113,325","19,154","20,596","19,895","8,488","15,993","18,018","5,765","5,416"
2020년11월_남_0~9세,"12,998","2,395","2,836","1,948","1,337","1,434","2,294",374,380
2020년11월_남_10~19세,"12,352","2,032","2,443","3,329",661,"1,202","1,844",408,433
2020년11월_남_20~29세,"15,725","2,354","2,479","2,757",687,"2,705","2,751","1,183",809
2020년11월_남_30~39세,"17,862","2,983","3,378","1,909","1,773","2,835","3,165",993,826
2020년11월_남_40~49세,"19,717","3,490","3,877","4,007","1,559","2,326","2,759",820,879
2020년11월_남_50~59세,"20,014","3,167","3,217","3,872","1,105","3,280","3,275","1,121",977
2020년11월_남_60~69세,"10,278","1,885","1,640","1,358",928,"1,637","1,401",630,799
2020년11월_남_70~79세,"3,427",676,562,547,324,456,420,202,240
2020년11월_남_80~89세,883,158,154,153,104,110,103,31,70
2020년11월_남_90~99세,65,13,10,15,10,7,6,3,1
2020년11월_남_100세 이상,4,1,0,0,0,1,0,0,2
2020년11월_여_총인구수,"105,557","18,359","19,684","19,193","8,087","13,967","17,285","4,286","4,696"
2020년11월_여_연령구간인구수,"105,557","18,359","19,684","19,193","8,087","13,967","17,285","4,286","4,696"
2020년11월_여_0~9세,"12,315","2,316","2,622","1,824","1,357","1,288","2,148",372,388
2020년11월_여_10~19세,"11,315","1,912","2,242","2,987",650,"1,073","1,741",355,355
2020년11월_여_20~29세,"12,160","1,923","2,067","2,216",554,"2,071","2,260",559,510
2020년11월_여_30~39세,"16,454","2,935","3,344","2,073","1,747","2,093","3,030",625,607
2020년11월_여_40~49세,"18,842","3,214","3,615","4,506","1,209","2,053","2,958",622,665
2020년11월_여_50~59세,"18,716","3,078","3,123","3,241","1,104","3,142","3,156",902,970
2020년11월_여_60~69세,"9,288","1,713","1,606","1,230",822,"1,427","1,200",541,749
2020년11월_여_70~79세,"3,960",808,641,706,346,497,450,191,321
2020년11월_여_80~89세,"2,115",384,359,351,247,275,286,100,113
2020년11월_여_90~99세,375,72,64,56,46,48,56,18,15
2020년11월_여_100세 이상,17,4,1,3,5,0,0,1,3
