,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 진월동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2021년07월_계_총인구수,"214,111","7,085","6,759","9,019","13,594","28,777","5,233","7,159","8,604","6,459","12,293","6,414","21,627","8,153","29,448","16,171","20,966","6,350"
2021년07월_계_연령구간인구수,"214,111","7,085","6,759","9,019","13,594","28,777","5,233","7,159","8,604","6,459","12,293","6,414","21,627","8,153","29,448","16,171","20,966","6,350"
2021년07월_계_0~9세,"17,032",437,522,462,812,"2,845",266,349,323,246,933,471,"1,638",471,"2,150","1,600","3,105",402
2021년07월_계_10~19세,"22,609",748,656,760,"1,289","4,862",283,392,569,355,"1,132",424,"2,225",569,"4,074","1,721","2,148",402
2021년07월_계_20~29세,"27,629",807,835,"1,214","1,960","3,249",660,815,"1,142",911,"1,482",971,"3,140","1,080","4,217","2,140","2,475",531
2021년07월_계_30~39세,"25,149",658,816,854,"1,559","2,749",614,774,"1,036",747,"1,413",905,"2,548",887,"2,938","2,267","3,792",592
2021년07월_계_40~49세,"33,982","1,028","1,075","1,233","2,050","5,536",725,964,"1,152",803,"1,865",878,"3,409","1,098","4,932","2,741","3,687",806
2021년07월_계_50~59세,"32,792","1,096",993,"1,472","2,114","4,292",851,"1,173","1,445","1,160","1,890",938,"3,562","1,373","4,737","2,094","2,619",983
2021년07월_계_60~69세,"28,688","1,021",912,"1,427","1,944","2,960",839,"1,165","1,545","1,236","1,891",914,"2,843","1,430","3,420","1,998","1,943","1,200"
2021년07월_계_70~79세,"17,463",861,653,"1,073","1,156","1,438",671,"1,029",967,692,"1,120",629,"1,589",891,"1,987","1,108",783,816
2021년07월_계_80~89세,"7,575",370,261,455,608,715,291,430,375,273,479,249,588,315,870,420,338,538
2021년07월_계_90~99세,"1,152",57,30,67,99,128,32,68,48,36,87,34,80,38,123,76,74,75
2021년07월_계_100세 이상,40,2,6,2,3,3,1,0,2,0,1,1,5,1,0,6,2,5
