,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2020년04월_계_총인구수,"31,506","9,209",507,"4,074","8,382","5,073","2,731","1,530"
2020년04월_계_연령구간인구수,"31,506","9,209",507,"4,074","8,382","5,073","2,731","1,530"
2020년04월_계_0~9세,"2,551",803,18,368,653,412,248,49
2020년04월_계_10~19세,"2,302",794,24,281,639,328,146,90
2020년04월_계_20~29세,"4,148","1,196",39,526,"1,093",584,587,123
2020년04월_계_30~39세,"3,887","1,168",31,593,925,680,404,86
2020년04월_계_40~49세,"3,963","1,312",61,422,"1,126",628,258,156
2020년04월_계_50~59세,"5,374","1,502",117,627,"1,533",909,353,333
2020년04월_계_60~69세,"4,862","1,279",111,676,"1,262",804,365,365
2020년04월_계_70~79세,"2,738",724,74,326,723,440,237,214
2020년04월_계_80~89세,"1,432",368,29,219,360,246,117,93
2020년04월_계_90~99세,235,56,3,36,64,40,16,20
2020년04월_계_100세 이상,14,7,0,0,4,2,0,1
2020년04월_남_총인구수,"17,027","4,871",273,"2,190","4,533","2,729","1,600",831
2020년04월_남_연령구간인구수,"17,027","4,871",273,"2,190","4,533","2,729","1,600",831
2020년04월_남_0~9세,"1,323",419,8,191,328,217,134,26
2020년04월_남_10~19세,"1,190",423,13,135,338,159,72,50
2020년04월_남_20~29세,"2,740",736,25,347,724,368,456,84
2020년04월_남_30~39세,"2,228",636,22,351,511,402,247,59
2020년04월_남_40~49세,"2,207",708,36,239,633,347,155,89
2020년04월_남_50~59세,"2,847",796,63,326,823,465,197,177
2020년04월_남_60~69세,"2,628",660,56,370,694,460,186,202
2020년04월_남_70~79세,"1,298",347,39,150,335,215,108,104
2020년04월_남_80~89세,494,130,10,69,126,86,41,32
2020년04월_남_90~99세,67,14,1,12,19,9,4,8
2020년04월_남_100세 이상,5,2,0,0,2,1,0,0
2020년04월_여_총인구수,"14,479","4,338",234,"1,884","3,849","2,344","1,131",699
2020년04월_여_연령구간인구수,"14,479","4,338",234,"1,884","3,849","2,344","1,131",699
2020년04월_여_0~9세,"1,228",384,10,177,325,195,114,23
2020년04월_여_10~19세,"1,112",371,11,146,301,169,74,40
2020년04월_여_20~29세,"1,408",460,14,179,369,216,131,39
2020년04월_여_30~39세,"1,659",532,9,242,414,278,157,27
2020년04월_여_40~49세,"1,756",604,25,183,493,281,103,67
2020년04월_여_50~59세,"2,527",706,54,301,710,444,156,156
2020년04월_여_60~69세,"2,234",619,55,306,568,344,179,163
2020년04월_여_70~79세,"1,440",377,35,176,388,225,129,110
2020년04월_여_80~89세,938,238,19,150,234,160,76,61
2020년04월_여_90~99세,168,42,2,24,45,31,12,12
2020년04월_여_100세 이상,9,5,0,0,2,1,0,1
