카테고리,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020년12월_계_총인구수,"44,464","13,517","3,694","3,726","1,852","3,378","6,152","4,098","1,556","1,387","2,886","2,218"
2020년12월_계_연령구간인구수,"44,464","13,517","3,694","3,726","1,852","3,378","6,152","4,098","1,556","1,387","2,886","2,218"
2020년12월_계_0~9세,"2,781","1,004",330,163,49,149,682,174,60,29,85,56
2020년12월_계_10~19세,"3,283","1,211",297,177,75,190,651,257,93,61,174,97
2020년12월_계_20~29세,"4,273","1,301",312,365,151,411,760,415,127,111,187,133
2020년12월_계_30~39세,"3,661","1,187",281,332,125,194,809,271,102,71,152,137
2020년12월_계_40~49세,"5,536","1,919",468,422,180,387,902,513,170,111,263,201
2020년12월_계_50~59세,"7,481","2,171",615,698,362,582,829,790,279,236,488,431
2020년12월_계_60~69세,"7,260","2,024",617,703,368,593,621,753,293,284,518,486
2020년12월_계_70~79세,"5,937","1,646",441,507,283,493,539,535,254,276,560,403
2020년12월_계_80~89세,"3,710",917,294,313,220,346,319,330,150,182,416,223
2020년12월_계_90~99세,502,125,33,45,38,32,40,56,25,25,41,42
2020년12월_계_100세 이상,40,12,6,1,1,1,0,4,3,1,2,9
2020년12월_남_총인구수,"22,781","6,693","1,864","2,005",977,"1,873","3,191","2,073",816,695,"1,446","1,148"
2020년12월_남_연령구간인구수,"22,781","6,693","1,864","2,005",977,"1,873","3,191","2,073",816,695,"1,446","1,148"
2020년12월_남_0~9세,"1,403",527,177,81,18,80,320,83,30,12,45,30
2020년12월_남_10~19세,"1,731",628,160,93,41,106,336,124,52,37,102,52
2020년12월_남_20~29세,"2,542",704,169,212,96,346,458,243,67,69,103,75
2020년12월_남_30~39세,"1,941",589,126,213,77,101,441,143,64,39,78,70
2020년12월_남_40~49세,"3,166","1,040",244,275,118,249,496,302,105,60,159,118
2020년12월_남_50~59세,"4,268","1,194",380,395,209,333,483,440,163,135,280,256
2020년12월_남_60~69세,"3,812",988,305,393,215,313,337,409,159,147,278,268
2020년12월_남_70~79세,"2,612",723,203,228,117,216,214,224,118,122,251,196
2020년12월_남_80~89세,"1,183",277,90,101,75,121,94,92,51,68,140,74
2020년12월_남_90~99세,118,22,9,14,11,8,12,13,5,6,10,8
2020년12월_남_100세 이상,5,1,1,0,0,0,0,0,2,0,0,1
2020년12월_여_총인구수,"21,683","6,824","1,830","1,721",875,"1,505","2,961","2,025",740,692,"1,440","1,070"
2020년12월_여_연령구간인구수,"21,683","6,824","1,830","1,721",875,"1,505","2,961","2,025",740,692,"1,440","1,070"
2020년12월_여_0~9세,"1,378",477,153,82,31,69,362,91,30,17,40,26
2020년12월_여_10~19세,"1,552",583,137,84,34,84,315,133,41,24,72,45
2020년12월_여_20~29세,"1,731",597,143,153,55,65,302,172,60,42,84,58
2020년12월_여_30~39세,"1,720",598,155,119,48,93,368,128,38,32,74,67
2020년12월_여_40~49세,"2,370",879,224,147,62,138,406,211,65,51,104,83
2020년12월_여_50~59세,"3,213",977,235,303,153,249,346,350,116,101,208,175
2020년12월_여_60~69세,"3,448","1,036",312,310,153,280,284,344,134,137,240,218
2020년12월_여_70~79세,"3,325",923,238,279,166,277,325,311,136,154,309,207
2020년12월_여_80~89세,"2,527",640,204,212,145,225,225,238,99,114,276,149
2020년12월_여_90~99세,384,103,24,31,27,24,28,43,20,19,31,34
2020년12월_여_100세 이상,35,11,5,1,1,1,0,4,1,1,2,8
