,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2021년05월_계_총인구수,"659,446","13,404","25,179","12,711","19,043","19,245","19,177","15,864","26,365","18,279","38,843","24,345","19,490","31,961","30,950","26,662","27,403","32,673","20,322","29,187","29,644","32,292","28,261","35,484","34,706","21,380","16,894","9,682"
2021년05월_계_연령구간인구수,"659,446","13,404","25,179","12,711","19,043","19,245","19,177","15,864","26,365","18,279","38,843","24,345","19,490","31,961","30,950","26,662","27,403","32,673","20,322","29,187","29,644","32,292","28,261","35,484","34,706","21,380","16,894","9,682"
2021년05월_계_0~9세,"48,832",666,"1,904",620,"1,328",887,865,"1,022","1,148","1,270","2,771","1,176","1,517","1,542","1,493","1,573","3,121","2,535","1,293","1,637","2,282","5,091","1,227","3,981","3,192","2,705","1,414",572
2021년05월_계_10~19세,"58,037",850,"2,004",946,"1,499","1,579","1,322","1,638","1,239","2,692","3,080","1,364","1,830","1,848","1,972","1,836","2,279","3,451","1,479","1,437","2,691","4,266","1,723","5,831","4,048","2,399","1,722","1,012"
2021년05월_계_20~29세,"92,386","1,656","3,850","1,841","2,221","2,320","2,422","2,418","5,337","2,170","5,436","4,503","2,717","5,495","5,274","4,110","3,288","4,508","3,164","5,190","4,039","3,069","5,075","3,276","3,769","1,992","1,994","1,252"
2021년05월_계_30~39세,"107,745","1,849","4,180","1,726","2,692","2,168","2,232","2,242","6,076","1,688","5,545","5,319","2,853","6,888","6,538","4,686","5,040","4,744","3,493","7,454","4,695","5,416","6,094","3,797","4,227","2,914","2,213",976
2021년05월_계_40~49세,"107,671","1,889","4,016","1,831","2,950","2,746","2,703","2,567","3,663","3,261","5,707","3,468","3,061","4,825","5,082","3,832","4,403","5,582","2,879","4,346","4,700","6,531","4,394","8,557","6,196","4,353","2,782","1,347"
2021년05월_계_50~59세,"101,448","2,304","3,635","2,292","3,298","3,550","3,635","2,679","3,613","3,140","6,789","3,399","3,148","4,669","4,466","4,660","3,978","5,228","3,322","3,510","4,814","3,818","4,087","4,955","5,212","2,951","2,628","1,668"
2021년05월_계_60~69세,"85,761","2,481","3,321","1,969","2,820","3,279","3,456","2,003","3,216","2,519","5,750","3,072","2,715","3,957","3,726","3,750","3,488","4,155","2,981","3,175","3,865","2,563","3,449","2,939","4,723","2,465","2,455","1,469"
2021년05월_계_70~79세,"40,597","1,190","1,618","1,049","1,563","1,898","1,732",858,"1,513","1,069","2,527","1,473","1,156","1,994","1,734","1,541","1,402","1,698","1,224","1,627","1,738","1,081","1,617","1,595","2,484","1,166","1,149",901
