카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 상일제1동,서울특별시 강동구 상일제2동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2021년07월_남_50~59세,"35,235","2,164",0,"2,599",747,"1,963","1,354","1,733","1,646","2,881","1,075","1,288","2,169","2,714","2,159","1,433","1,891","1,894","3,530",12,"1,983"
2021년07월_남_60~69세,"31,115","1,962",0,"2,362",439,"1,692","1,233","1,387","1,404","2,445",889,"1,148","2,107","2,418","1,949","1,213","1,782","1,480","3,417",19,"1,769"
2021년07월_남_70~79세,"15,082","1,015",0,891,266,799,544,531,606,"1,232",516,525,"1,065","1,242",982,662,920,799,"1,626",7,854
2021년07월_남_80~89세,"4,212",287,0,176,112,213,116,166,164,355,154,160,293,359,277,194,300,218,437,5,226
2021년07월_남_90~99세,369,44,0,13,16,18,16,21,15,28,13,10,14,24,16,22,15,20,34,1,29
2021년07월_남_100세 이상,30,1,0,1,0,1,0,10,1,2,0,3,0,0,2,1,3,2,2,0,1
2021년07월_여_총인구수,"236,549","16,819",0,"19,655","5,153","13,337","8,863","12,305","11,184","17,541","7,879","9,137","13,802","16,867","13,364","10,422","12,151","11,874","23,508",57,"12,631"
2021년07월_여_연령구간인구수,"236,549","16,819",0,"19,655","5,153","13,337","8,863","12,305","11,184","17,541","7,879","9,137","13,802","16,867","13,364","10,422","12,151","11,874","23,508",57,"12,631"
2021년07월_여_0~9세,"16,958","1,447",0,"2,440",448,"1,040",550,"1,334","1,232","1,040",674,926,696,796,584,724,507,576,"1,142",1,801
2021년07월_여_10~19세,"18,448","1,764",0,"1,948",633,"1,176","1,100","1,503",942,"1,231",494,909,823,842,605,840,589,714,"1,372",3,960
2021년07월_여_20~29세,"31,272","1,794",0,"1,951",732,"1,547","1,137","1,060","1,129","2,281","1,026",962,"1,895","2,557","2,382","1,393","2,131","1,779","3,780",7,"1,729"
2021년07월_여_30~39세,"36,448","2,475",0,"3,256",714,"2,011",970,"1,702","2,043","2,454","1,445","1,314","1,902","2,953","2,353","1,690","2,042","1,689","3,653",6,"1,776"
2021년07월_여_40~49세,"37,446","2,700",0,"3,582",814,"2,214","1,698","2,682","1,896","2,666","1,170","1,629","1,899","2,340","1,791","1,724","1,606","1,842","3,320",13,"1,860"
2021년07월_여_50~59세,"36,660","2,392",0,"2,822",710,"2,077","1,365","1,665","1,593","2,995","1,165","1,344","2,384","2,701","1,990","1,571","1,874","2,070","3,786",7,"2,149"
2021년07월_여_60~69세,"34,851","2,452",0,"2,473",541,"1,982","1,316","1,415","1,489","2,687","1,080","1,257","2,399","2,603","2,046","1,460","1,950","1,866","3,837",13,"1,985"
2021년07월_여_70~79세,"16,185","1,129",0,799,340,848,452,558,567,"1,494",577,533,"1,210","1,405","1,068",704,968,910,"1,750",4,869
2021년07월_여_80~89세,"6,718",534,0,299,178,348,202,274,234,575,209,206,476,566,464,268,415,360,709,0,401
2021년07월_여_90~99세,"1,473",128,0,83,39,92,70,93,58,111,37,57,114,102,75,47,63,64,150,2,88
2021년07월_여_100세 이상,90,4,0,2,4,2,3,19,1,7,2,0,4,2,6,1,6,4,9,1,13
