,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년05월_계_총인구수,"522,111","27,505","43,802","24,037","25,773","11,381","3,634","19,178","6,759","5,426","44,081","26,051","19,352","12,071","22,036","7,233","5,772","22,843","10,765","4,152","76,088","52,935","24,825","26,412"
2020년05월_계_연령구간인구수,"522,111","27,505","43,802","24,037","25,773","11,381","3,634","19,178","6,759","5,426","44,081","26,051","19,352","12,071","22,036","7,233","5,772","22,843","10,765","4,152","76,088","52,935","24,825","26,412"
2020년05월_계_0~9세,"48,483","1,569","4,237","2,068","4,118",533,115,"2,234",337,164,"3,117","1,467","2,312",719,"1,700",560,187,"1,160",584,131,"9,735","5,678","3,523","2,235"
2020년05월_계_10~19세,"52,782","1,728","5,945","2,018","2,932",846,213,"1,626",498,305,"5,161","2,456","1,831",955,"2,222",496,310,"1,811",715,224,"8,527","6,204","3,019","2,740"
2020년05월_계_20~29세,"70,912","2,962","5,700","2,966","2,204","1,508",355,"2,697",728,464,"7,044","3,730","2,528","2,226","2,976","1,010",718,"3,898","1,595",611,"10,286","7,364","3,247","4,095"
2020년05월_계_30~39세,"78,067","2,989","5,835","4,013","4,908","1,349",366,"3,465",622,383,"5,421","3,135","3,338","2,132","2,674","1,211",624,"2,929","1,520",400,"14,447","8,071","4,671","3,564"
2020년05월_계_40~49세,"91,309","3,946","8,703","4,625","4,989","1,718",465,"3,079",900,636,"7,789","4,325","3,496","2,000","3,732","1,196",803,"3,485","1,611",556,"14,547","9,328","5,057","4,323"
2020년05월_계_50~59세,"85,026","5,194","6,782","3,861","2,879","2,137",696,"2,853","1,344","1,057","8,057","4,930","3,129","1,876","4,096","1,102","1,021","4,307","1,939",849,"10,330","8,501","3,149","4,937"
2020년05월_계_60~69세,"51,749","4,501","3,564","2,470","2,016","1,737",698,"1,738","1,107","1,099","4,177","3,182","1,590","1,159","2,549",855,964,"2,848","1,448",715,"4,941","4,497","1,351","2,543"
2020년05월_계_70~79세,"28,060","2,846","1,924","1,293","1,090","1,015",446,924,725,790,"2,167","1,856",722,680,"1,348",514,712,"1,586",869,453,"2,163","2,114",541,"1,282"
2020년05월_계_80~89세,"13,585","1,525",957,627,526,478,254,481,438,457,"1,001",837,346,279,628,233,355,717,412,187,974,"1,028",236,609
2020년05월_계_90~99세,"1,899",196,145,92,101,54,23,75,58,68,129,116,54,40,99,45,56,91,57,23,130,137,31,79
2020년05월_계_100세 이상,239,49,10,4,10,6,3,6,2,3,18,17,6,5,12,11,22,11,15,3,8,13,0,5
2020년05월_남_총인구수,"269,109","14,052","22,419","14,295","13,632","6,240","1,985","10,076","3,577","2,860","22,525","13,101","10,074","6,387","10,978","3,590","2,915","11,685","5,547","2,184","38,570","26,285","12,884","13,248"
2020년05월_남_연령구간인구수,"269,109","14,052","22,419","14,295","13,632","6,240","1,985","10,076","3,577","2,860","22,525","13,101","10,074","6,387","10,978","3,590","2,915","11,685","5,547","2,184","38,570","26,285","12,884","13,248"
2020년05월_남_0~9세,"24,754",813,"2,093","1,037","2,157",273,53,"1,120",183,85,"1,608",737,"1,178",356,845,282,100,615,285,66,"4,999","2,898","1,827","1,144"
2020년05월_남_10~19세,"27,255",906,"3,018","1,078","1,502",456,122,815,255,163,"2,671","1,256",908,465,"1,127",262,161,939,374,124,"4,418","3,289","1,548","1,398"
2020년05월_남_20~29세,"38,709","1,714","3,068","1,906","1,233",905,211,"1,569",412,267,"3,929","2,023","1,343","1,253","1,619",560,397,"2,109",882,353,"5,293","3,775","1,721","2,167"
