,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2021년01월_계_총인구수,"82,652","4,520","3,760","6,208","9,742","21,242","29,541","4,517","3,122"
2021년01월_계_연령구간인구수,"82,652","4,520","3,760","6,208","9,742","21,242","29,541","4,517","3,122"
2021년01월_계_0~9세,"5,820",170,245,223,543,"1,344","2,985",236,74
2021년01월_계_10~19세,"7,460",250,266,455,878,"2,217","3,025",252,117
2021년01월_계_20~29세,"8,981",433,322,623,"1,115","2,362","3,499",373,254
2021년01월_계_30~39세,"9,166",408,363,453,989,"2,157","4,074",499,223
2021년01월_계_40~49세,"12,463",508,508,769,"1,399","3,386","5,025",546,322
2021년01월_계_50~59세,"15,134",906,737,"1,257","1,757","3,986","4,978",865,648
2021년01월_계_60~69세,"12,936","1,023",672,"1,251","1,718","3,234","3,408",878,752
2021년01월_계_70~79세,"6,809",538,427,715,854,"1,617","1,677",506,475
2021년01월_계_80~89세,"3,229",239,189,373,403,789,736,288,212
2021년01월_계_90~99세,623,42,29,85,81,147,128,69,42
2021년01월_계_100세 이상,31,3,2,4,5,3,6,5,3
2021년01월_남_총인구수,"40,940","2,339","1,901","3,044","4,794","10,542","14,456","2,263","1,601"
2021년01월_남_연령구간인구수,"40,940","2,339","1,901","3,044","4,794","10,542","14,456","2,263","1,601"
2021년01월_남_0~9세,"2,963",87,137,125,276,659,"1,519",125,35
2021년01월_남_10~19세,"3,859",140,143,229,471,"1,131","1,547",125,73
2021년01월_남_20~29세,"5,063",271,173,368,620,"1,348","1,923",213,147
2021년01월_남_30~39세,"4,898",231,195,267,543,"1,154","2,087",283,138
2021년01월_남_40~49세,"6,216",282,275,396,714,"1,650","2,431",293,175
2021년01월_남_50~59세,"7,455",480,382,594,837,"1,970","2,384",467,341
2021년01월_남_60~69세,"6,257",503,317,610,830,"1,623","1,558",442,374
2021년01월_남_70~79세,"2,979",252,209,306,352,719,717,205,219
2021년01월_남_80~89세,"1,110",85,63,135,133,255,258,91,90
2021년01월_남_90~99세,127,6,7,12,16,33,29,16,8
2021년01월_남_100세 이상,13,2,0,2,2,0,3,3,1
2021년01월_여_총인구수,"41,712","2,181","1,859","3,164","4,948","10,700","15,085","2,254","1,521"
2021년01월_여_연령구간인구수,"41,712","2,181","1,859","3,164","4,948","10,700","15,085","2,254","1,521"
2021년01월_여_0~9세,"2,857",83,108,98,267,685,"1,466",111,39
2021년01월_여_10~19세,"3,601",110,123,226,407,"1,086","1,478",127,44
2021년01월_여_20~29세,"3,918",162,149,255,495,"1,014","1,576",160,107
2021년01월_여_30~39세,"4,268",177,168,186,446,"1,003","1,987",216,85
2021년01월_여_40~49세,"6,247",226,233,373,685,"1,736","2,594",253,147
2021년01월_여_50~59세,"7,679",426,355,663,920,"2,016","2,594",398,307
2021년01월_여_60~69세,"6,679",520,355,641,888,"1,611","1,850",436,378
2021년01월_여_70~79세,"3,830",286,218,409,502,898,960,301,256
2021년01월_여_80~89세,"2,119",154,126,238,270,534,478,197,122
2021년01월_여_90~99세,496,36,22,73,65,114,99,53,34
2021년01월_여_100세 이상,18,1,2,2,3,3,3,2,2
