,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2021년07월_계_총인구수,"103,986","5,282","1,275","7,052","5,158","3,068","2,818","3,898","4,272","8,330","3,397","4,956","1,785","2,655","16,169","20,125","7,889","5,857"
2021년07월_계_연령구간인구수,"103,986","5,282","1,275","7,052","5,158","3,068","2,818","3,898","4,272","8,330","3,397","4,956","1,785","2,655","16,169","20,125","7,889","5,857"
2021년07월_계_0~9세,"5,386",131,14,262,120,55,59,84,71,440,80,94,38,64,"1,345","1,845",374,310
2021년07월_계_10~19세,"7,612",235,53,398,224,83,111,200,140,515,121,254,52,144,"1,401","2,528",599,554
2021년07월_계_20~29세,"8,873",305,121,478,354,148,173,205,206,641,159,297,90,213,"1,913","2,134",777,659
2021년07월_계_30~39세,"8,610",310,62,457,324,148,145,154,243,615,164,235,67,191,"2,157","2,055",694,589
2021년07월_계_40~49세,"12,743",489,97,743,471,204,259,348,304,978,298,368,124,298,"2,448","3,451","1,021",842
2021년07월_계_50~59세,"18,321",952,222,"1,304",956,515,541,726,846,"1,453",562,847,266,494,"2,800","3,302","1,412","1,123"
2021년07월_계_60~69세,"21,702","1,410",326,"1,643","1,356",951,760,"1,085","1,305","1,823",944,"1,321",516,601,"2,431","2,688","1,503","1,039"
2021년07월_계_70~79세,"12,761",914,222,"1,070",777,564,473,687,722,"1,140",644,854,350,418,"1,097","1,380",933,516
2021년07월_계_80~89세,"7,034",469,136,622,503,347,260,355,377,635,390,606,251,214,484,665,518,202
2021년07월_계_90~99세,918,64,22,71,71,53,34,52,55,89,33,78,31,18,92,75,58,22
2021년07월_계_100세 이상,26,3,0,4,2,0,3,2,3,1,2,2,0,0,1,2,0,1
2021년07월_남_총인구수,"51,065","2,637",635,"3,536","2,666","1,474","1,439","2,001","2,112","4,143","1,681","2,426",861,"1,289","7,982","9,683","3,666","2,834"
2021년07월_남_연령구간인구수,"51,065","2,637",635,"3,536","2,666","1,474","1,439","2,001","2,112","4,143","1,681","2,426",861,"1,289","7,982","9,683","3,666","2,834"
2021년07월_남_0~9세,"2,757",73,7,143,71,28,34,47,40,219,38,48,16,33,649,968,198,145
2021년07월_남_10~19세,"3,988",121,27,211,124,42,65,111,72,262,70,145,27,77,728,"1,344",289,273
2021년07월_남_20~29세,"5,147",189,68,293,232,95,113,130,129,392,89,167,56,142,"1,075","1,189",408,380
2021년07월_남_30~39세,"4,571",182,40,270,202,87,81,91,140,329,99,136,40,95,"1,117",994,369,299
2021년07월_남_40~49세,"6,751",294,66,445,281,132,160,219,176,555,191,205,77,160,"1,252","1,624",495,419
2021년07월_남_50~59세,"9,277",492,127,698,533,258,288,387,423,755,298,464,119,248,"1,397","1,556",695,539
2021년07월_남_60~69세,"10,633",715,151,791,701,457,387,570,667,929,463,672,279,286,"1,150","1,214",711,490
2021년07월_남_70~79세,"5,608",411,102,488,345,271,221,335,346,492,303,387,160,175,446,570,330,226
2021년07월_남_80~89세,"2,153",148,44,186,163,92,84,104,111,190,125,189,80,70,144,209,156,58
2021년07월_남_90~99세,176,11,3,11,14,12,5,7,7,20,4,13,7,3,24,15,15,5
2021년07월_남_100세 이상,4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
2021년07월_여_총인구수,"52,921","2,645",640,"3,516","2,492","1,594","1,379","1,897","2,160","4,187","1,716","2,530",924,"1,366","8,187","10,442","4,223","3,023"
2021년07월_여_연령구간인구수,"52,921","2,645",640,"3,516","2,492","1,594","1,379","1,897","2,160","4,187","1,716","2,530",924,"1,366","8,187","10,442","4,223","3,023"
2021년07월_여_0~9세,"2,629",58,7,119,49,27,25,37,31,221,42,46,22,31,696,877,176,165
2021년07월_여_10~19세,"3,624",114,26,187,100,41,46,89,68,253,51,109,25,67,673,"1,184",310,281
2021년07월_여_20~29세,"3,726",116,53,185,122,53,60,75,77,249,70,130,34,71,838,945,369,279
2021년07월_여_30~39세,"4,039",128,22,187,122,61,64,63,103,286,65,99,27,96,"1,040","1,061",325,290
2021년07월_여_40~49세,"5,992",195,31,298,190,72,99,129,128,423,107,163,47,138,"1,196","1,827",526,423
2021년07월_여_50~59세,"9,044",460,95,606,423,257,253,339,423,698,264,383,147,246,"1,403","1,746",717,584
2021년07월_여_60~69세,"11,069",695,175,852,655,494,373,515,638,894,481,649,237,315,"1,281","1,474",792,549
2021년07월_여_70~79세,"7,153",503,120,582,432,293,252,352,376,648,341,467,190,243,651,810,603,290
2021년07월_여_80~89세,"4,881",321,92,436,340,255,176,251,266,445,265,417,171,144,340,456,362,144
2021년07월_여_90~99세,742,53,19,60,57,41,29,45,48,69,29,65,24,15,68,60,43,17
2021년07월_여_100세 이상,22,2,0,4,2,0,2,2,2,1,1,2,0,0,1,2,0,1
