,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2021년02월_계_총인구수,"423,829","20,878","22,148","32,158","31,404","28,024","11,750","32,180","16,069","22,406","19,379","21,062","17,151","20,164","21,001","23,715","44,058","22,345","17,937"
2021년02월_계_연령구간인구수,"423,829","20,878","22,148","32,158","31,404","28,024","11,750","32,180","16,069","22,406","19,379","21,062","17,151","20,164","21,001","23,715","44,058","22,345","17,937"
2021년02월_계_0~9세,"33,408","1,480","1,901","1,766","2,983","2,125",552,"3,073","1,839","2,001","1,677","1,499","1,154","1,172","1,290","1,665","3,869","1,414","1,948"
2021년02월_계_10~19세,"45,231","1,947","1,973","2,840","4,209","3,428","1,863","3,499","2,804","2,964","2,193","2,753","1,316","1,621","1,967","2,618","4,308","1,612","1,316"
2021년02월_계_20~29세,"54,429","2,789","3,092","5,213","3,576","3,611","1,464","4,129","1,339","2,503","2,287","2,666","2,464","2,832","2,703","3,165","5,344","3,337","1,915"
2021년02월_계_30~39세,"62,646","3,545","4,387","5,490","3,636","3,793",865,"5,428","1,517","2,620","2,613","2,418","2,955","3,130","2,861","3,577","6,644","4,496","2,671"
2021년02월_계_40~49세,"77,217","3,808","4,010","5,111","6,406","5,441","2,159","6,613","3,715","4,559","3,583","3,951","2,785","3,098","3,204","4,290","7,715","3,711","3,058"
2021년02월_계_50~59세,"63,390","3,003","2,946","4,896","4,806","4,626","2,189","4,162","2,149","3,539","2,894","3,431","2,459","3,142","3,467","3,577","6,271","3,342","2,491"
2021년02월_계_60~69세,"47,917","2,382","2,117","3,703","3,062","2,852","1,267","2,997","1,345","2,260","2,342","2,283","2,129","2,863","3,166","2,407","5,624","2,650","2,468"
2021년02월_계_70~79세,"27,605","1,343","1,253","2,182","1,867","1,413",993,"1,646",954,"1,328","1,254","1,335","1,328","1,652","1,636","1,645","3,018","1,303","1,455"
2021년02월_계_80~89세,"9,916",484,375,803,715,590,343,518,320,513,429,613,474,543,593,674,"1,036",380,513
2021년02월_계_90~99세,"1,831",94,75,136,124,125,43,96,61,103,100,105,75,97,110,85,222,90,90
2021년02월_계_100세 이상,239,3,19,18,20,20,12,19,26,16,7,8,12,14,4,12,7,10,12
2021년02월_남_총인구수,"202,692","10,048","10,540","15,657","15,264","13,452","5,564","15,553","7,670","10,618","9,140","9,775","8,040","9,429","10,142","10,820","21,061","11,189","8,730"
2021년02월_남_연령구간인구수,"202,692","10,048","10,540","15,657","15,264","13,452","5,564","15,553","7,670","10,618","9,140","9,775","8,040","9,429","10,142","10,820","21,061","11,189","8,730"
2021년02월_남_0~9세,"17,237",769,930,933,"1,585","1,128",291,"1,529",978,"1,044",876,767,585,593,667,820,"1,989",776,977
2021년02월_남_10~19세,"23,083","1,010","1,055","1,641","2,171","1,743",944,"1,804","1,382","1,514","1,134","1,282",706,813,"1,009","1,193","2,204",808,670
2021년02월_남_20~29세,"26,129","1,330","1,388","2,431","1,731","1,731",720,"1,859",653,"1,245","1,103","1,259","1,173","1,402","1,403","1,395","2,624","1,680","1,002"
2021년02월_남_30~39세,"28,859","1,630","1,985","2,608","1,556","1,736",394,"2,498",585,"1,156","1,143","1,063","1,331","1,449","1,376","1,587","3,183","2,342","1,237"
2021년02월_남_40~49세,"36,294","1,830","1,917","2,425","2,971","2,491",882,"3,302","1,702","2,041","1,634","1,745","1,289","1,446","1,466","1,926","3,770","1,895","1,562"
2021년02월_남_50~59세,"31,175","1,460","1,479","2,404","2,508","2,337","1,111","2,163","1,154","1,787","1,380","1,714","1,137","1,427","1,613","1,719","2,972","1,646","1,164"
2021년02월_남_60~69세,"22,104","1,130",985,"1,745","1,443","1,358",601,"1,400",622,"1,021","1,061","1,063",961,"1,243","1,495","1,100","2,468","1,248","1,160"
